Armstrong, Al Smith, Democrat, 100
Aurora, Herbert Hoover, Republican, 51.72
Beadle, Herbert Hoover, Republican, 61.43
Bennett, Herbert Hoover, Republican, 58.16
Bon Homme, Herbert Hoover, Republican, 50.93
Brookings, Herbert Hoover, Republican, 70.05
Brown, Herbert Hoover, Republican, 58.03
Brule, Al Smith, Democrat, 51.92
Buffalo, Herbert Hoover, Republican, 51.01
Butte, Herbert Hoover, Republican, 69.36
Campbell, Herbert Hoover, Republican, 69.13
Charles Mix, Herbert Hoover, Republican, 50.28
Clark, Herbert Hoover, Republican, 65.46
Clay, Herbert Hoover, Republican, 63.42
Codington, Herbert Hoover, Republican, 53.08
Corson, Herbert Hoover, Republican, 56.92
Custer, Herbert Hoover, Republican, 66.85
Davison, Herbert Hoover, Republican, 58.15
Day, Herbert Hoover, Republican, 54.22
Deuel, Herbert Hoover, Republican, 64.4
Dewey, Herbert Hoover, Republican, 56.39
Douglas, Herbert Hoover, Republican, 68.68
Edmunds, Herbert Hoover, Republican, 51.95
Fall River, Herbert Hoover, Republican, 63.51
Faulk, Herbert Hoover, Republican, 62.46
Grant, Herbert Hoover, Republican, 59.49
Gregory, Herbert Hoover, Republican, 53.04
Haakon, Herbert Hoover, Republican, 64.33
Hamlin, Herbert Hoover, Republican, 63.19
Hand, Herbert Hoover, Republican, 63.26
Hanson, Herbert Hoover, Republican, 58.13
Harding, Herbert Hoover, Republican, 72.78
Hughes, Herbert Hoover, Republican, 61.56
Hutchinson, Herbert Hoover, Republican, 52.61
Hyde, Herbert Hoover, Republican, 60.8
Jackson, Herbert Hoover, Republican, 62.63
Jerauld, Herbert Hoover, Republican, 62.69
Jones, Herbert Hoover, Republican, 66.43
Kingsbury, Herbert Hoover, Republican, 71.88
Lake, Herbert Hoover, Republican, 63.41
Lawrence, Herbert Hoover, Republican, 69.63
Lincoln, Herbert Hoover, Republican, 71.4
Lyman, Herbert Hoover, Republican, 54.75
Marshall, Herbert Hoover, Republican, 57.13
McCook, Herbert Hoover, Republican, 55.78
McPherson, Al Smith, Democrat, 54.15
Meade, Herbert Hoover, Republican, 66.04
Mellette, Herbert Hoover, Republican, 50.13
Miner, Herbert Hoover, Republican, 59.37
Minnehaha, Herbert Hoover, Republican, 66.68
Moody, Herbert Hoover, Republican, 59.63
Pennington, Herbert Hoover, Republican, 66.97
Perkins, Herbert Hoover, Republican, 68.57
Potter, Herbert Hoover, Republican, 52.77
Roberts, Herbert Hoover, Republican, 52.73
Sanborn, Herbert Hoover, Republican, 54.08
Shannon, Al Smith, Democrat, 55.91
Spink, Herbert Hoover, Republican, 60.89
Stanley, Herbert Hoover, Republican, 62.32
Sully, Herbert Hoover, Republican, 70.5
Todd, Al Smith, Democrat, 51.01
Tripp, Herbert Hoover, Republican, 53.02
Turner, Herbert Hoover, Republican, 70.65
Union, Herbert Hoover, Republican, 53.19
Walworth, Herbert Hoover, Republican, 59.96
Washabaugh, Herbert Hoover, Republican, 50.69
Washington, Al Smith, Democrat, 52.66
Yankton, Herbert Hoover, Republican, 50.88
Ziebach, Herbert Hoover, Republican, 55
