Anderson, Herbert Hoover, Republican, 81.11
Bedford, Al Smith, Democrat, 52.16
Benton, Al Smith, Democrat, 56.33
Bledsoe, Herbert Hoover, Republican, 59.97
Blount, Herbert Hoover, Republican, 85.17
Bradley, Herbert Hoover, Republican, 75.7
Campbell, Herbert Hoover, Republican, 83.6
Cannon, Al Smith, Democrat, 51.4
Carroll, Herbert Hoover, Republican, 62.87
Carter, Herbert Hoover, Republican, 90.37
Cheatham, Al Smith, Democrat, 65.07
Chester, Al Smith, Democrat, 55.56
Claiborne, Herbert Hoover, Republican, 67.68
Clay, Al Smith, Democrat, 50.79
Cocke, Herbert Hoover, Republican, 80.05
Coffee, Al Smith, Democrat, 50.84
Crockett, Al Smith, Democrat, 51.34
Cumberland, Herbert Hoover, Republican, 70.09
Davidson, Herbert Hoover, Republican, 53.26
Decatur, Al Smith, Democrat, 52.05
DeKalb, Herbert Hoover, Republican, 57.23
Dickson, Al Smith, Democrat, 61.58
Dyer, Al Smith, Democrat, 75.96
Fayette, Al Smith, Democrat, 90.02
Fentress, Herbert Hoover, Republican, 78.07
Franklin, Al Smith, Democrat, 64.51
Gibson, Al Smith, Democrat, 67.84
Giles, Al Smith, Democrat, 72.06
Grainger, Herbert Hoover, Republican, 75.39
Greene, Herbert Hoover, Republican, 61.04
Grundy, Al Smith, Democrat, 61.29
Hamblen, Herbert Hoover, Republican, 59.96
Hamilton, Herbert Hoover, Republican, 64.49
Hancock, Herbert Hoover, Republican, 82.79
Hardeman, Al Smith, Democrat, 74.44
Hardin, Herbert Hoover, Republican, 68.88
Hawkins, Herbert Hoover, Republican, 71.28
Haywood, Al Smith, Democrat, 91.92
Henderson, Herbert Hoover, Republican, 72.86
Henry, Al Smith, Democrat, 71.83
Hickman, Al Smith, Democrat, 67.03
Houston, Herbert Hoover, Republican, 59.18
Humphreys, Al Smith, Democrat, 63.3
Jackson, Al Smith, Democrat, 56.83
Jefferson, Herbert Hoover, Republican, 85.53
Johnson, Herbert Hoover, Republican, 93.74
Knox, Herbert Hoover, Republican, 71.57
Lake, Al Smith, Democrat, 85.26
Lauderdale, Al Smith, Democrat, 86.68
Lawrence, Herbert Hoover, Republican, 56.19
Lewis, Al Smith, Democrat, 60.61
Lincoln, Al Smith, Democrat, 76.02
Loudon, Herbert Hoover, Republican, 78.26
Macon, Herbert Hoover, Republican, 82.22
Madison, Al Smith, Democrat, 65.38
Marion, Herbert Hoover, Republican, 58.83
Marshall, Al Smith, Democrat, 68.31
Maury, Al Smith, Democrat, 72.84
McMinn, Herbert Hoover, Republican, 68.51
McNairy, Herbert Hoover, Republican, 65.8
Meigs, Herbert Hoover, Republican, 55.07
Monroe, Herbert Hoover, Republican, 61.99
Montgomery, Al Smith, Democrat, 51.66
Moore, Al Smith, Democrat, 75.48
Morgan, Herbert Hoover, Republican, 76.93
Obion, Al Smith, Democrat, 75.95
Overton, Herbert Hoover, Republican, 51.8
Perry, Al Smith, Democrat, 63.34
Pickett, Herbert Hoover, Republican, 65.64
Polk, Herbert Hoover, Republican, 63.22
Putnam, Al Smith, Democrat, 57.09
Rhea, Herbert Hoover, Republican, 65.24
Roane, Herbert Hoover, Republican, 79.14
Robertson, Al Smith, Democrat, 64.24
Rutherford, Al Smith, Democrat, 59.68
Scott, Herbert Hoover, Republican, 91.59
Sequatchie, Al Smith, Democrat, 56.24
Sevier, Herbert Hoover, Republican, 92.57
Shelby, Al Smith, Democrat, 59.93
Smith, Al Smith, Democrat, 55.49
Stewart, Al Smith, Democrat, 75.72
Sullivan, Herbert Hoover, Republican, 56.35
Sumner, Al Smith, Democrat, 70.8
Tipton, Al Smith, Democrat, 81.11
Trousdale, Al Smith, Democrat, 77.13
Unicoi, Herbert Hoover, Republican, 84.22
Union, Herbert Hoover, Republican, 83.3
Van Buren, Al Smith, Democrat, 50.29
Warren, Al Smith, Democrat, 54.38
Washington, Herbert Hoover, Republican, 75.99
Wayne, Herbert Hoover, Republican, 81.71
Weakley, Al Smith, Democrat, 64.75
White, Al Smith, Democrat, 56.84
Williamson, Al Smith, Democrat, 69.5
Wilson, Al Smith, Democrat, 60.83
