Adair, Franklin D Roosevelt, Democrat, 66.26
Alfalfa, Franklin D Roosevelt, Democrat, 64.13
Atoka, Franklin D Roosevelt, Democrat, 86.75
Beaver, Franklin D Roosevelt, Democrat, 65.28
Beckham, Franklin D Roosevelt, Democrat, 87.02
Blaine, Franklin D Roosevelt, Democrat, 73.2
Bryan, Franklin D Roosevelt, Democrat, 90.3
Caddo, Franklin D Roosevelt, Democrat, 78.73
Canadian, Franklin D Roosevelt, Democrat, 72.64
Carter, Franklin D Roosevelt, Democrat, 84.75
Cherokee, Franklin D Roosevelt, Democrat, 67.07
Choctaw, Franklin D Roosevelt, Democrat, 82.52
Cimarron, Franklin D Roosevelt, Democrat, 76.85
Cleveland, Franklin D Roosevelt, Democrat, 76.16
Coal, Franklin D Roosevelt, Democrat, 90.28
Comanche, Franklin D Roosevelt, Democrat, 78.76
Cotton, Franklin D Roosevelt, Democrat, 85.38
Craig, Franklin D Roosevelt, Democrat, 69.59
Creek, Franklin D Roosevelt, Democrat, 65.64
Custer, Franklin D Roosevelt, Democrat, 79.61
Delaware, Franklin D Roosevelt, Democrat, 71.49
Dewey, Franklin D Roosevelt, Democrat, 78.58
Ellis, Franklin D Roosevelt, Democrat, 71.96
Garfield, Franklin D Roosevelt, Democrat, 61.18
Garvin, Franklin D Roosevelt, Democrat, 88.34
Grady, Franklin D Roosevelt, Democrat, 81.97
Grant, Franklin D Roosevelt, Democrat, 69.97
Greer, Franklin D Roosevelt, Democrat, 91.03
Harmon, Franklin D Roosevelt, Democrat, 94.15
Harper, Franklin D Roosevelt, Democrat, 73.2
Haskell, Franklin D Roosevelt, Democrat, 75.17
Hughes, Franklin D Roosevelt, Democrat, 85.34
Jackson, Franklin D Roosevelt, Democrat, 90.52
Jefferson, Franklin D Roosevelt, Democrat, 88.03
Johnston, Franklin D Roosevelt, Democrat, 90.88
Kay, Franklin D Roosevelt, Democrat, 68.58
Kingfisher, Franklin D Roosevelt, Democrat, 65.46
Kiowa, Franklin D Roosevelt, Democrat, 84.34
Latimer, Franklin D Roosevelt, Democrat, 81.08
Le Flore, Franklin D Roosevelt, Democrat, 78.6
Lincoln, Franklin D Roosevelt, Democrat, 68.55
Logan, Franklin D Roosevelt, Democrat, 59.32
Love, Franklin D Roosevelt, Democrat, 92.84
Major, Franklin D Roosevelt, Democrat, 64.76
Marshall, Franklin D Roosevelt, Democrat, 91.03
Mayes, Franklin D Roosevelt, Democrat, 73.58
McClain, Franklin D Roosevelt, Democrat, 86.15
McCurtain, Franklin D Roosevelt, Democrat, 90.93
McIntosh, Franklin D Roosevelt, Democrat, 80.8
Murray, Franklin D Roosevelt, Democrat, 85.3
Muskogee, Franklin D Roosevelt, Democrat, 70.23
Noble, Franklin D Roosevelt, Democrat, 72.97
Nowata, Franklin D Roosevelt, Democrat, 66.51
Okfuskee, Franklin D Roosevelt, Democrat, 78.37
Oklahoma, Franklin D Roosevelt, Democrat, 65.94
Okmulgee, Franklin D Roosevelt, Democrat, 70.33
Osage, Franklin D Roosevelt, Democrat, 69.41
Ottawa, Franklin D Roosevelt, Democrat, 71.81
Pawnee, Franklin D Roosevelt, Democrat, 68.68
Payne, Franklin D Roosevelt, Democrat, 66.87
Pittsburg, Franklin D Roosevelt, Democrat, 81.47
Pontotoc, Franklin D Roosevelt, Democrat, 85.69
Pottawatomie, Franklin D Roosevelt, Democrat, 74.73
Pushmataha, Franklin D Roosevelt, Democrat, 87.46
Roger Mills, Franklin D Roosevelt, Democrat, 87.71
Rogers, Franklin D Roosevelt, Democrat, 74
Seminole, Franklin D Roosevelt, Democrat, 78.4
Sequoyah, Franklin D Roosevelt, Democrat, 71.96
Stephens, Franklin D Roosevelt, Democrat, 88.39
Texas, Franklin D Roosevelt, Democrat, 74.62
Tillman, Franklin D Roosevelt, Democrat, 90.46
Tulsa, Franklin D Roosevelt, Democrat, 58.04
Wagoner, Franklin D Roosevelt, Democrat, 72.74
Washington, Franklin D Roosevelt, Democrat, 59.29
Washita, Franklin D Roosevelt, Democrat, 87.21
Woods, Franklin D Roosevelt, Democrat, 68.06
Woodward, Franklin D Roosevelt, Democrat, 71.19
