Androscoggin, Franklin D Roosevelt, Democrat, 60.62
Aroostook, Alf Landon, Republican, 64.69
Cumberland, Alf Landon, Republican, 55.56
Franklin, Alf Landon, Republican, 62.53
Hancock, Alf Landon, Republican, 72.06
Kennebec, Alf Landon, Republican, 55.34
Knox, Alf Landon, Republican, 60.36
Lincoln, Alf Landon, Republican, 72.62
Oxford, Alf Landon, Republican, 57.13
Penobscot, Alf Landon, Republican, 60.82
Piscataquis, Alf Landon, Republican, 55.61
Sagadahoc, Alf Landon, Republican, 51.99
Somerset, Alf Landon, Republican, 56.91
Waldo, Alf Landon, Republican, 64.97
Washington, Franklin D Roosevelt, Democrat, 54.67
York, Franklin D Roosevelt, Democrat, 48.6
