Barnstable, Alf Landon, Republican, 68.77
Berkshire, Franklin D Roosevelt, Democrat, 54.3
Bristol, Franklin D Roosevelt, Democrat, 57.25
Dukes, Alf Landon, Republican, 63.29
Essex, Franklin D Roosevelt, Democrat, 47.57
Franklin, Alf Landon, Republican, 57.99
Hampden, Franklin D Roosevelt, Democrat, 57.19
Hampshire, Franklin D Roosevelt, Democrat, 49.87
Middlesex, Alf Landon, Republican, 47.6
Nantucket, Alf Landon, Republican, 62.76
Norfolk, Alf Landon, Republican, 55.44
Plymouth, Alf Landon, Republican, 53.76
Suffolk, Franklin D Roosevelt, Democrat, 63.92
Worcester, Franklin D Roosevelt, Democrat, 54.15
