Adams, Franklin D Roosevelt, Democrat, 93.12
Alcorn, Franklin D Roosevelt, Democrat, 97.52
Amite, Franklin D Roosevelt, Democrat, 95.24
Attala, Franklin D Roosevelt, Democrat, 97.79
Benton, Franklin D Roosevelt, Democrat, 99.42
Bolivar, Franklin D Roosevelt, Democrat, 95.79
Calhoun, Franklin D Roosevelt, Democrat, 97.58
Carroll, Franklin D Roosevelt, Democrat, 98.1
Chickasaw, Franklin D Roosevelt, Democrat, 98.8
Choctaw, Franklin D Roosevelt, Democrat, 96.83
Claiborne, Franklin D Roosevelt, Democrat, 96.03
Clarke, Franklin D Roosevelt, Democrat, 98.4
Clay, Franklin D Roosevelt, Democrat, 97.54
Coahoma, Franklin D Roosevelt, Democrat, 97.68
Copiah, Franklin D Roosevelt, Democrat, 98.12
Covington, Franklin D Roosevelt, Democrat, 96.65
DeSoto, Franklin D Roosevelt, Democrat, 99.04
Forrest, Franklin D Roosevelt, Democrat, 93.62
Franklin, Franklin D Roosevelt, Democrat, 96.83
George, Franklin D Roosevelt, Democrat, 97.17
Greene, Franklin D Roosevelt, Democrat, 94.43
Grenada, Franklin D Roosevelt, Democrat, 98.97
Hancock, Franklin D Roosevelt, Democrat, 87.7
Harrison, Franklin D Roosevelt, Democrat, 88.78
Hinds, Franklin D Roosevelt, Democrat, 96.33
Holmes, Franklin D Roosevelt, Democrat, 99.37
Humphreys, Franklin D Roosevelt, Democrat, 99.4
Issaquena, Franklin D Roosevelt, Democrat, 100
Itawamba, Franklin D Roosevelt, Democrat, 96.89
Jackson, Franklin D Roosevelt, Democrat, 93.06
Jasper, Franklin D Roosevelt, Democrat, 98.87
Jefferson, Franklin D Roosevelt, Democrat, 98.88
Jefferson Davis, Franklin D Roosevelt, Democrat, 95.05
Jones, Franklin D Roosevelt, Democrat, 95.02
Kemper, Franklin D Roosevelt, Democrat, 99.46
Lafayette, Franklin D Roosevelt, Democrat, 98.16
Lamar, Franklin D Roosevelt, Democrat, 92.65
Lauderdale, Franklin D Roosevelt, Democrat, 98.72
Lawrence, Franklin D Roosevelt, Democrat, 97.35
Leake, Franklin D Roosevelt, Democrat, 99.3
Lee, Franklin D Roosevelt, Democrat, 98.84
Leflore, Franklin D Roosevelt, Democrat, 98.34
Lincoln, Franklin D Roosevelt, Democrat, 96.7
Lowndes, Franklin D Roosevelt, Democrat, 97.24
Madison, Franklin D Roosevelt, Democrat, 98.24
Marion, Franklin D Roosevelt, Democrat, 98.07
Marshall, Franklin D Roosevelt, Democrat, 97.97
Monroe, Franklin D Roosevelt, Democrat, 98.22
Montgomery, Franklin D Roosevelt, Democrat, 99.64
Neshoba, Franklin D Roosevelt, Democrat, 98.04
Newton, Franklin D Roosevelt, Democrat, 98.42
Noxubee, Franklin D Roosevelt, Democrat, 97.94
Oktibbeha, Franklin D Roosevelt, Democrat, 98.73
Panola, Franklin D Roosevelt, Democrat, 99.8
Pearl River, Franklin D Roosevelt, Democrat, 93.23
Perry, Franklin D Roosevelt, Democrat, 97.88
Pike, Franklin D Roosevelt, Democrat, 97.21
Pontotoc, Franklin D Roosevelt, Democrat, 95.73
Prentiss, Franklin D Roosevelt, Democrat, 97.1
Quitman, Franklin D Roosevelt, Democrat, 99.03
Rankin, Franklin D Roosevelt, Democrat, 97.06
Scott, Franklin D Roosevelt, Democrat, 98.4
Sharkey, Franklin D Roosevelt, Democrat, 98.78
Simpson, Franklin D Roosevelt, Democrat, 98.04
Smith, Franklin D Roosevelt, Democrat, 98.94
Stone, Franklin D Roosevelt, Democrat, 96.43
Sunflower, Franklin D Roosevelt, Democrat, 99.17
Tallahatchie, Franklin D Roosevelt, Democrat, 99.68
Tate, Franklin D Roosevelt, Democrat, 99.36
Tippah, Franklin D Roosevelt, Democrat, 98.84
Tishomingo, Franklin D Roosevelt, Democrat, 92.83
Tunica, Franklin D Roosevelt, Democrat, 99.29
Union, Franklin D Roosevelt, Democrat, 97.11
Walthall, Franklin D Roosevelt, Democrat, 97.7
Warren, Franklin D Roosevelt, Democrat, 96.19
Washington, Franklin D Roosevelt, Democrat, 95.63
Wayne, Franklin D Roosevelt, Democrat, 96.81
Webster, Franklin D Roosevelt, Democrat, 95.49
Wilkinson, Franklin D Roosevelt, Democrat, 97.09
Winston, Franklin D Roosevelt, Democrat, 99.34
Yalobusha, Franklin D Roosevelt, Democrat, 98.04
Yazoo, Franklin D Roosevelt, Democrat, 99.07
