Adams, Franklin D Roosevelt, Democrat, 57.68
Antelope, Alf Landon, Republican, 49.52
Arthur, Alf Landon, Republican, 56.73
Banner, Franklin D Roosevelt, Democrat, 56.46
Blaine, Franklin D Roosevelt, Democrat, 50.98
Boone, Franklin D Roosevelt, Democrat, 51.37
Box Butte, Franklin D Roosevelt, Democrat, 62.19
Boyd, Franklin D Roosevelt, Democrat, 53.62
Brown, Alf Landon, Republican, 53.79
Buffalo, Franklin D Roosevelt, Democrat, 54.7
Burt, Franklin D Roosevelt, Democrat, 52.87
Butler, Franklin D Roosevelt, Democrat, 62.95
Cass, Franklin D Roosevelt, Democrat, 56.93
Cedar, Franklin D Roosevelt, Democrat, 55.66
Chase, Franklin D Roosevelt, Democrat, 57.71
Cherry, Franklin D Roosevelt, Democrat, 51.03
Cheyenne, Franklin D Roosevelt, Democrat, 66.41
Clay, Franklin D Roosevelt, Democrat, 49.54
Colfax, Franklin D Roosevelt, Democrat, 63.25
Cuming, Franklin D Roosevelt, Democrat, 53.32
Custer, Franklin D Roosevelt, Democrat, 51.39
Dakota, Franklin D Roosevelt, Democrat, 64.01
Dawes, Franklin D Roosevelt, Democrat, 54.35
Dawson, Franklin D Roosevelt, Democrat, 52.21
Deuel, Franklin D Roosevelt, Democrat, 56.42
Dixon, Franklin D Roosevelt, Democrat, 54.21
Dodge, Franklin D Roosevelt, Democrat, 55.71
Douglas, Franklin D Roosevelt, Democrat, 65.6
Dundy, Franklin D Roosevelt, Democrat, 55.15
Fillmore, Franklin D Roosevelt, Democrat, 52.03
Franklin, Franklin D Roosevelt, Democrat, 56.42
Frontier, Franklin D Roosevelt, Democrat, 53.66
Furnas, Alf Landon, Republican, 52.4
Gage, Franklin D Roosevelt, Democrat, 56.7
Garden, Alf Landon, Republican, 49.63
Garfield, Alf Landon, Republican, 50.41
Gosper, Franklin D Roosevelt, Democrat, 62.7
Grant, Franklin D Roosevelt, Democrat, 54.41
Greeley, Franklin D Roosevelt, Democrat, 56.4
Hall, Franklin D Roosevelt, Democrat, 53.3
Hamilton, Alf Landon, Republican, 50.43
Harlan, Franklin D Roosevelt, Democrat, 54.64
Hayes, Franklin D Roosevelt, Democrat, 55.2
Hitchcock, Franklin D Roosevelt, Democrat, 57.08
Holt, Franklin D Roosevelt, Democrat, 50.26
Hooker, Alf Landon, Republican, 59.75
Howard, Franklin D Roosevelt, Democrat, 70.05
Jefferson, Franklin D Roosevelt, Democrat, 59.37
Johnson, Franklin D Roosevelt, Democrat, 52.13
Kearney, Franklin D Roosevelt, Democrat, 65.89
Keith, Franklin D Roosevelt, Democrat, 63.45
Keya Paha, Alf Landon, Republican, 59.58
Kimball, Franklin D Roosevelt, Democrat, 55.95
Knox, Franklin D Roosevelt, Democrat, 58.67
Lancaster, Franklin D Roosevelt, Democrat, 50.71
Lincoln, Franklin D Roosevelt, Democrat, 62.45
Logan, Franklin D Roosevelt, Democrat, 52.17
Loup, Alf Landon, Republican, 55.65
Madison, Franklin D Roosevelt, Democrat, 53.3
McPherson, Alf Landon, Republican, 55.82
Merrick, Franklin D Roosevelt, Democrat, 49.13
Morrill, Franklin D Roosevelt, Democrat, 58.73
Nance, Franklin D Roosevelt, Democrat, 52.52
Nemaha, Franklin D Roosevelt, Democrat, 55.77
Nuckolls, Franklin D Roosevelt, Democrat, 53.72
Otoe, Alf Landon, Republican, 50.95
Pawnee, Franklin D Roosevelt, Democrat, 52.16
Perkins, Franklin D Roosevelt, Democrat, 64.39
Phelps, Franklin D Roosevelt, Democrat, 57.62
Pierce, Franklin D Roosevelt, Democrat, 52.44
Platte, Franklin D Roosevelt, Democrat, 65.7
Polk, Franklin D Roosevelt, Democrat, 52.23
Red Willow, Franklin D Roosevelt, Democrat, 60.52
Richardson, Franklin D Roosevelt, Democrat, 59.57
Rock, Alf Landon, Republican, 56.46
Saline, Franklin D Roosevelt, Democrat, 66.78
Sarpy, Franklin D Roosevelt, Democrat, 65.18
Saunders, Franklin D Roosevelt, Democrat, 57.52
Scotts Bluff, Franklin D Roosevelt, Democrat, 57.7
Seward, Franklin D Roosevelt, Democrat, 54.92
Sheridan, Franklin D Roosevelt, Democrat, 54.14
Sherman, Franklin D Roosevelt, Democrat, 66.81
Sioux, Franklin D Roosevelt, Democrat, 57.66
Stanton, Franklin D Roosevelt, Democrat, 59.94
Thayer, Franklin D Roosevelt, Democrat, 55.8
Thomas, Franklin D Roosevelt, Democrat, 49.67
Thurston, Franklin D Roosevelt, Democrat, 65.88
Valley, Alf Landon, Republican, 49.65
Washington, Franklin D Roosevelt, Democrat, 59.75
Wayne, Franklin D Roosevelt, Democrat, 51.07
Webster, Franklin D Roosevelt, Democrat, 55.13
Wheeler, Franklin D Roosevelt, Democrat, 52.61
York, Alf Landon, Republican, 54.12
