Atlantic, Franklin D Roosevelt, Democrat, 61.22
Bergen, Franklin D Roosevelt, Democrat, 50.09
Burlington, Franklin D Roosevelt, Democrat, 57.78
Camden, Franklin D Roosevelt, Democrat, 69.74
Cape May, Franklin D Roosevelt, Democrat, 52.16
Cumberland, Franklin D Roosevelt, Democrat, 58.06
Essex, Franklin D Roosevelt, Democrat, 54.74
Gloucester, Franklin D Roosevelt, Democrat, 56.02
Hudson, Franklin D Roosevelt, Democrat, 77.65
Hunterdon, Franklin D Roosevelt, Democrat, 51.75
Mercer, Franklin D Roosevelt, Democrat, 61.52
Middlesex, Franklin D Roosevelt, Democrat, 64.69
Monmouth, Alf Landon, Republican, 51.33
Morris, Alf Landon, Republican, 55.86
Ocean, Alf Landon, Republican, 52.84
Passaic, Franklin D Roosevelt, Democrat, 58.42
Salem, Franklin D Roosevelt, Democrat, 59.86
Somerset, Franklin D Roosevelt, Democrat, 50.14
Sussex, Alf Landon, Republican, 53.46
Union, Franklin D Roosevelt, Democrat, 53.61
Warren, Franklin D Roosevelt, Democrat, 56.82
