Martin, Franklin D Roosevelt, Democrat, 97.58
Northampton, Franklin D Roosevelt, Democrat, 97.2
Bertie, Franklin D Roosevelt, Democrat, 97.08
Pitt, Franklin D Roosevelt, Democrat, 96.71
Hertford, Franklin D Roosevelt, Democrat, 96.52
Halifax, Franklin D Roosevelt, Democrat, 96.39
Greene, Franklin D Roosevelt, Democrat, 96.39
Edgecombe, Franklin D Roosevelt, Democrat, 96.17
Granville, Franklin D Roosevelt, Democrat, 95.86
Franklin, Franklin D Roosevelt, Democrat, 95.75
Warren, Franklin D Roosevelt, Democrat, 95.61
Nash, Franklin D Roosevelt, Democrat, 94.38
Lenoir, Franklin D Roosevelt, Democrat, 94.34
Chowan, Franklin D Roosevelt, Democrat, 94.17
Vance, Franklin D Roosevelt, Democrat, 93.51
Robeson, Franklin D Roosevelt, Democrat, 93.35
Hoke, Franklin D Roosevelt, Democrat, 93.27
Wilson, Franklin D Roosevelt, Democrat, 93.2
Currituck, Franklin D Roosevelt, Democrat, 92.7
Union, Franklin D Roosevelt, Democrat, 92.56
Craven, Franklin D Roosevelt, Democrat, 92.44
Anson, Franklin D Roosevelt, Democrat, 92.4
Caswell, Franklin D Roosevelt, Democrat, 92.33
Onslow, Franklin D Roosevelt, Democrat, 92.15
Gates, Franklin D Roosevelt, Democrat, 92.06
Richmond, Franklin D Roosevelt, Democrat, 91.7
Scotland, Franklin D Roosevelt, Democrat, 91.02
Pasquotank, Franklin D Roosevelt, Democrat, 90.87
Camden, Franklin D Roosevelt, Democrat, 89.6
Jones, Franklin D Roosevelt, Democrat, 89.26
Wake, Franklin D Roosevelt, Democrat, 88.99
Person, Franklin D Roosevelt, Democrat, 88.3
Pender, Franklin D Roosevelt, Democrat, 87.72
Beaufort, Franklin D Roosevelt, Democrat, 86.42
Cumberland, Franklin D Roosevelt, Democrat, 86.4
Bladen, Franklin D Roosevelt, Democrat, 85.91
Perquimans, Franklin D Roosevelt, Democrat, 85.76
Durham, Franklin D Roosevelt, Democrat, 85.4
New Hanover, Franklin D Roosevelt, Democrat, 84.96
Mecklenburg, Franklin D Roosevelt, Democrat, 84.75
Lee, Franklin D Roosevelt, Democrat, 84.75
Cleveland, Franklin D Roosevelt, Democrat, 84.34
Columbus, Franklin D Roosevelt, Democrat, 83.97
Rockingham, Franklin D Roosevelt, Democrat, 81.84
Cabarrus, Franklin D Roosevelt, Democrat, 81.32
Wayne, Franklin D Roosevelt, Democrat, 80.19
Duplin, Franklin D Roosevelt, Democrat, 79.42
Hyde, Franklin D Roosevelt, Democrat, 79.3
Gaston, Franklin D Roosevelt, Democrat, 78.63
Forsyth, Franklin D Roosevelt, Democrat, 78.09
Harnett, Franklin D Roosevelt, Democrat, 77.98
Washington, Franklin D Roosevelt, Democrat, 77.8
Tyrrell, Franklin D Roosevelt, Democrat, 77.53
Rowan, Franklin D Roosevelt, Democrat, 74.84
Iredell, Franklin D Roosevelt, Democrat, 74.76
Alamance, Franklin D Roosevelt, Democrat, 74.13
Guilford, Franklin D Roosevelt, Democrat, 72.89
Orange, Franklin D Roosevelt, Democrat, 72.75
Johnston, Franklin D Roosevelt, Democrat, 72.17
Dare, Franklin D Roosevelt, Democrat, 71.93
Buncombe, Franklin D Roosevelt, Democrat, 71.4
Haywood, Franklin D Roosevelt, Democrat, 71.05
Rutherford, Franklin D Roosevelt, Democrat, 67.23
Chatham, Franklin D Roosevelt, Democrat, 66.71
Carteret, Franklin D Roosevelt, Democrat, 66.68
Caldwell, Franklin D Roosevelt, Democrat, 66.56
Pamlico, Franklin D Roosevelt, Democrat, 65.42
Surry, Franklin D Roosevelt, Democrat, 64.95
Moore, Franklin D Roosevelt, Democrat, 64.29
Catawba, Franklin D Roosevelt, Democrat, 63.3
McDowell, Franklin D Roosevelt, Democrat, 63.22
Brunswick, Franklin D Roosevelt, Democrat, 62.51
Lincoln, Franklin D Roosevelt, Democrat, 61.17
Alleghany, Franklin D Roosevelt, Democrat, 61.02
Jackson, Franklin D Roosevelt, Democrat, 59.94
Stanly, Franklin D Roosevelt, Democrat, 58.99
Transylvania, Franklin D Roosevelt, Democrat, 58.71
Davidson, Franklin D Roosevelt, Democrat, 58.62
Polk, Franklin D Roosevelt, Democrat, 58.42
Montgomery, Franklin D Roosevelt, Democrat, 58.16
Burke, Franklin D Roosevelt, Democrat, 57.52
Stokes, Franklin D Roosevelt, Democrat, 57.36
Yancey, Franklin D Roosevelt, Democrat, 57.24
Alexander, Franklin D Roosevelt, Democrat, 57.1
Macon, Franklin D Roosevelt, Democrat, 56.45
Swain, Franklin D Roosevelt, Democrat, 55.69
Ashe, Franklin D Roosevelt, Democrat, 54.92
Sampson, Franklin D Roosevelt, Democrat, 54.54
Randolph, Franklin D Roosevelt, Democrat, 53.87
Watauga, Franklin D Roosevelt, Democrat, 53.23
Henderson, Franklin D Roosevelt, Democrat, 52.99
Graham, Franklin D Roosevelt, Democrat, 52.64
Cherokee, Franklin D Roosevelt, Democrat, 51.94
Davie, Alf Landon, Republican, 50.26
Clay, Alf Landon, Republican, 53.23
Wilkes, Alf Landon, Republican, 56.23
Yadkin, Alf Landon, Republican, 56.69
Madison, Alf Landon, Republican, 61.94
Mitchell, Alf Landon, Republican, 66.71
Avery, Alf Landon, Republican, 77.98
