Abbeville, Franklin D Roosevelt, Democrat, 98.21
Aiken, Franklin D Roosevelt, Democrat, 98.95
Allendale, Franklin D Roosevelt, Democrat, 99.76
Anderson, Franklin D Roosevelt, Democrat, 99.36
Bamberg, Franklin D Roosevelt, Democrat, 99.68
Barnwell, Franklin D Roosevelt, Democrat, 99.91
Beaufort, Franklin D Roosevelt, Democrat, 92.1
Berkeley, Franklin D Roosevelt, Democrat, 98.85
Calhoun, Franklin D Roosevelt, Democrat, 99.88
Charleston, Franklin D Roosevelt, Democrat, 95.05
Cherokee, Franklin D Roosevelt, Democrat, 99
Chester, Franklin D Roosevelt, Democrat, 99.49
Chesterfield, Franklin D Roosevelt, Democrat, 99.44
Clarendon, Franklin D Roosevelt, Democrat, 98.67
Colleton, Franklin D Roosevelt, Democrat, 99.46
Darlington, Franklin D Roosevelt, Democrat, 99.4
Dillon, Franklin D Roosevelt, Democrat, 99.55
Dorchester, Franklin D Roosevelt, Democrat, 96.95
Edgefield, Franklin D Roosevelt, Democrat, 99.92
Fairfield, Franklin D Roosevelt, Democrat, 98.72
Florence, Franklin D Roosevelt, Democrat, 99.41
Georgetown, Franklin D Roosevelt, Democrat, 95.43
Greenville, Franklin D Roosevelt, Democrat, 98.91
Greenwood, Franklin D Roosevelt, Democrat, 99.38
Hampton, Franklin D Roosevelt, Democrat, 99.37
Horry, Franklin D Roosevelt, Democrat, 100
Jasper, Franklin D Roosevelt, Democrat, 99.12
Kershaw, Franklin D Roosevelt, Democrat, 98.59
Lancaster, Franklin D Roosevelt, Democrat, 100
Laurens, Franklin D Roosevelt, Democrat, 99.58
Lee, Franklin D Roosevelt, Democrat, 99.52
Lexington, Franklin D Roosevelt, Democrat, 98.53
Marion, Franklin D Roosevelt, Democrat, 98.8
Marlboro, Franklin D Roosevelt, Democrat, 99.59
McCormick, Franklin D Roosevelt, Democrat, 99.3
Newberry, Franklin D Roosevelt, Democrat, 99.66
Oconee, Franklin D Roosevelt, Democrat, 97.49
Orangeburg, Franklin D Roosevelt, Democrat, 98.04
Pickens, Franklin D Roosevelt, Democrat, 98.17
Richland, Franklin D Roosevelt, Democrat, 97.79
Saluda, Franklin D Roosevelt, Democrat, 99.25
Spartanburg, Franklin D Roosevelt, Democrat, 98.41
Sumter, Franklin D Roosevelt, Democrat, 97.26
Union, Franklin D Roosevelt, Democrat, 99.74
Williamsburg, Franklin D Roosevelt, Democrat, 99.53
York, Franklin D Roosevelt, Democrat, 97.81
