Kit Carson, Wendell Willkie, Republican, 68.69
Rio Blanco, Wendell Willkie, Republican, 65.49
Elbert, Wendell Willkie, Republican, 65.04
Morgan, Wendell Willkie, Republican, 64.3
Yuma, Wendell Willkie, Republican, 64.11
Washington, Wendell Willkie, Republican, 62.63
Larimer, Wendell Willkie, Republican, 62.15
Crowley, Wendell Willkie, Republican, 62.21
Kiowa, Wendell Willkie, Republican, 61.86
Logan, Wendell Willkie, Republican, 61.38
Douglas, Wendell Willkie, Republican, 61.57
Weld, Wendell Willkie, Republican, 59.72
Sedgwick, Wendell Willkie, Republican, 59.86
Lincoln, Wendell Willkie, Republican, 59.57
Moffat, Wendell Willkie, Republican, 59.23
Jackson, Wendell Willkie, Republican, 59.23
Montezuma, Wendell Willkie, Republican, 59.25
Hinsdale, Wendell Willkie, Republican, 58.82
Custer, Wendell Willkie, Republican, 57.37
Rio Grande, Wendell Willkie, Republican, 57.4
Delta, Wendell Willkie, Republican, 57.07
La Plata, Wendell Willkie, Republican, 57.39
Garfield, Wendell Willkie, Republican, 57.18
Prowers, Wendell Willkie, Republican, 56.87
Baca, Wendell Willkie, Republican, 56.53
Saguache, Wendell Willkie, Republican, 55.57
Phillips, Wendell Willkie, Republican, 54.3
El Paso, Wendell Willkie, Republican, 55.31
Dolores, Wendell Willkie, Republican, 54.75
Grand, Wendell Willkie, Republican, 55.19
Montrose, Wendell Willkie, Republican, 54.62
Fremont, Wendell Willkie, Republican, 54.82
Cheyenne, Wendell Willkie, Republican, 54.43
San Juan, Wendell Willkie, Republican, 54.2
Otero, Wendell Willkie, Republican, 54.11
Archuleta, Wendell Willkie, Republican, 53.71
Boulder, Wendell Willkie, Republican, 53.22
Park, Wendell Willkie, Republican, 52.98
Jefferson, Wendell Willkie, Republican, 52.81
Bent, Wendell Willkie, Republican, 51.67
Arapahoe, Wendell Willkie, Republican, 50.89
Adams, Wendell Willkie, Republican, 50.16
Ouray, Franklin D Roosevelt, Democrat, 50.54
Pitkin, Franklin D Roosevelt, Democrat, 50.4
Gilpin, Franklin D Roosevelt, Democrat, 50.77
Mesa, Franklin D Roosevelt, Democrat, 51.6
Alamosa, Franklin D Roosevelt, Democrat, 52.12
Chaffee, Franklin D Roosevelt, Democrat, 52.24
Denver, Franklin D Roosevelt, Democrat, 52.45
Summit, Franklin D Roosevelt, Democrat, 52.73
Gunnison, Franklin D Roosevelt, Democrat, 52.85
San Miguel, Franklin D Roosevelt, Democrat, 53.62
Mineral, Franklin D Roosevelt, Democrat, 53.74
Conejos, Franklin D Roosevelt, Democrat, 54.82
Routt, Franklin D Roosevelt, Democrat, 55.29
Clear Creek, Franklin D Roosevelt, Democrat, 55.55
Pueblo, Franklin D Roosevelt, Democrat, 56.79
Eagle, Franklin D Roosevelt, Democrat, 57.49
Huerfano, Franklin D Roosevelt, Democrat, 59
Lake, Franklin D Roosevelt, Democrat, 59.26
Costilla, Franklin D Roosevelt, Democrat, 59.68
Teller, Franklin D Roosevelt, Democrat, 61.8
Las Animas, Franklin D Roosevelt, Democrat, 64.1
