Ada, Wendell Willkie, Republican, 50.85
Adams, Franklin D Roosevelt, Democrat, 54.3
Bannock, Franklin D Roosevelt, Democrat, 65.94
Bear Lake, Franklin D Roosevelt, Democrat, 53.5
Benewah, Franklin D Roosevelt, Democrat, 59.2
Bingham, Franklin D Roosevelt, Democrat, 50.95
Blaine, Franklin D Roosevelt, Democrat, 58.02
Boise, Franklin D Roosevelt, Democrat, 58.01
Bonner, Franklin D Roosevelt, Democrat, 55.24
Bonneville, Franklin D Roosevelt, Democrat, 59.51
Boundary, Franklin D Roosevelt, Democrat, 51.9
Butte, Franklin D Roosevelt, Democrat, 51.44
Camas, Franklin D Roosevelt, Democrat, 50.94
Canyon, Wendell Willkie, Republican, 50.21
Caribou, Franklin D Roosevelt, Democrat, 62.73
Cassia, Franklin D Roosevelt, Democrat, 51.5
Clark, Wendell Willkie, Republican, 65.3
Clearwater, Franklin D Roosevelt, Democrat, 66.61
Custer, Franklin D Roosevelt, Democrat, 53.89
Elmore, Franklin D Roosevelt, Democrat, 60.15
Franklin, Franklin D Roosevelt, Democrat, 51.05
Fremont, Franklin D Roosevelt, Democrat, 56.13
Gem, Franklin D Roosevelt, Democrat, 64.52
Gooding, Wendell Willkie, Republican, 55.02
Idaho, Franklin D Roosevelt, Democrat, 52.08
Jefferson, Franklin D Roosevelt, Democrat, 60.29
Jerome, Wendell Willkie, Republican, 57.17
Kootenai, Franklin D Roosevelt, Democrat, 57.32
Latah, Franklin D Roosevelt, Democrat, 52.87
Lemhi, Franklin D Roosevelt, Democrat, 54.08
Lewis, Franklin D Roosevelt, Democrat, 66.52
Lincoln, Wendell Willkie, Republican, 53.05
Madison, Franklin D Roosevelt, Democrat, 57.6
Minidoka, Franklin D Roosevelt, Democrat, 49.87
Nez Perce, Franklin D Roosevelt, Democrat, 63.35
Oneida, Franklin D Roosevelt, Democrat, 55.73
Owyhee, Franklin D Roosevelt, Democrat, 52.61
Payette, Wendell Willkie, Republican, 58.52
Power, Wendell Willkie, Republican, 50.45
Shoshone, Franklin D Roosevelt, Democrat, 64.54
Teton, Franklin D Roosevelt, Democrat, 55.86
Twin Falls, Wendell Willkie, Republican, 55.23
Valley, Franklin D Roosevelt, Democrat, 59.96
Washington, Franklin D Roosevelt, Democrat, 54.61
