Adams, Wendell Willkie, Republican, 50.86
Alexander, Franklin D Roosevelt, Democrat, 50.75
Bond, Wendell Willkie, Republican, 57.38
Boone, Wendell Willkie, Republican, 73.33
Brown, Franklin D Roosevelt, Democrat, 53.31
Bureau, Wendell Willkie, Republican, 61.36
Calhoun, Wendell Willkie, Republican, 60.51
Carroll, Wendell Willkie, Republican, 63.9
Cass, Franklin D Roosevelt, Democrat, 51.55
Champaign, Wendell Willkie, Republican, 53.26
Christian, Franklin D Roosevelt, Democrat, 52.41
Clark, Wendell Willkie, Republican, 55.15
Clay, Wendell Willkie, Republican, 50.72
Clinton, Wendell Willkie, Republican, 62
Coles, Franklin D Roosevelt, Democrat, 51.83
Cook, Franklin D Roosevelt, Democrat, 55.24
Crawford, Wendell Willkie, Republican, 54.95
Cumberland, Wendell Willkie, Republican, 51.62
DeKalb, Wendell Willkie, Republican, 63.95
DeWitt, Wendell Willkie, Republican, 51.8
Douglas, Wendell Willkie, Republican, 54.34
DuPage, Wendell Willkie, Republican, 67.85
Edgar, Wendell Willkie, Republican, 54.03
Edwards, Wendell Willkie, Republican, 64.86
Effingham, Franklin D Roosevelt, Democrat, 49.88
Fayette, Wendell Willkie, Republican, 50.19
Ford, Wendell Willkie, Republican, 65.11
Franklin, Franklin D Roosevelt, Democrat, 54.16
Fulton, Wendell Willkie, Republican, 50.8
Gallatin, Franklin D Roosevelt, Democrat, 55.54
Greene, Franklin D Roosevelt, Democrat, 55.06
Grundy, Wendell Willkie, Republican, 61.38
Hamilton, Wendell Willkie, Republican, 51.69
Hancock, Wendell Willkie, Republican, 57.06
Hardin, Wendell Willkie, Republican, 53.84
Henderson, Wendell Willkie, Republican, 61.81
Henry, Wendell Willkie, Republican, 58.37
Iroquois, Wendell Willkie, Republican, 60.73
Jackson, Wendell Willkie, Republican, 55.19
Jasper, Wendell Willkie, Republican, 52.23
Jefferson, Franklin D Roosevelt, Democrat, 55.22
Jersey, Wendell Willkie, Republican, 51.44
Jo Daviess, Wendell Willkie, Republican, 65.09
Johnson, Wendell Willkie, Republican, 62.8
Kane, Wendell Willkie, Republican, 61.77
Kankakee, Wendell Willkie, Republican, 53.62
Kendall, Wendell Willkie, Republican, 67.79
Knox, Wendell Willkie, Republican, 57.77
Lake, Wendell Willkie, Republican, 60.26
LaSalle, Franklin D Roosevelt, Democrat, 53.62
Lawrence, Wendell Willkie, Republican, 51.22
Lee, Wendell Willkie, Republican, 64.96
Livingston, Wendell Willkie, Republican, 64.14
Logan, Wendell Willkie, Republican, 56.78
Macon, Franklin D Roosevelt, Democrat, 57.64
Macoupin, Franklin D Roosevelt, Democrat, 52
Madison, Franklin D Roosevelt, Democrat, 59.01
Marion, Franklin D Roosevelt, Democrat, 56.41
Marshall, Wendell Willkie, Republican, 57.23
Mason, Wendell Willkie, Republican, 50.47
Massac, Wendell Willkie, Republican, 62.34
McDonough, Wendell Willkie, Republican, 63.67
McHenry, Wendell Willkie, Republican, 72.3
McLean, Wendell Willkie, Republican, 54.44
Menard, Wendell Willkie, Republican, 54.68
Mercer, Wendell Willkie, Republican, 62.09
Monroe, Wendell Willkie, Republican, 62.54
Montgomery, Wendell Willkie, Republican, 51.65
Morgan, Wendell Willkie, Republican, 52.57
Moultrie, Franklin D Roosevelt, Democrat, 50.13
Ogle, Wendell Willkie, Republican, 70.71
Peoria, Franklin D Roosevelt, Democrat, 54.4
Perry, Wendell Willkie, Republican, 52.35
Piatt, Wendell Willkie, Republican, 55.94
Pike, Franklin D Roosevelt, Democrat, 53.15
Pope, Wendell Willkie, Republican, 65.78
Pulaski, Wendell Willkie, Republican, 56.76
Putnam, Wendell Willkie, Republican, 59.56
Randolph, Wendell Willkie, Republican, 54.21
Richland, Wendell Willkie, Republican, 53.17
Rock Island, Franklin D Roosevelt, Democrat, 57.67
Saline, Franklin D Roosevelt, Democrat, 50.02
Sangamon, Wendell Willkie, Republican, 52.44
Schuyler, Franklin D Roosevelt, Democrat, 50.04
Scott, Wendell Willkie, Republican, 50.7
Shelby, Franklin D Roosevelt, Democrat, 50.69
St. Clair, Franklin D Roosevelt, Democrat, 59.5
Stark, Wendell Willkie, Republican, 64.94
Stephenson, Wendell Willkie, Republican, 60.92
Tazewell, Franklin D Roosevelt, Democrat, 58.44
Union, Franklin D Roosevelt, Democrat, 53.74
Vermilion, Wendell Willkie, Republican, 49.87
Wabash, Franklin D Roosevelt, Democrat, 52.57
Warren, Wendell Willkie, Republican, 61.17
Washington, Wendell Willkie, Republican, 61.82
Wayne, Wendell Willkie, Republican, 53.77
White, Franklin D Roosevelt, Democrat, 51.41
Whiteside, Wendell Willkie, Republican, 67.77
Will, Wendell Willkie, Republican, 52.13
Williamson, Franklin D Roosevelt, Democrat, 50.12
Winnebago, Wendell Willkie, Republican, 51.89
Woodford, Wendell Willkie, Republican, 60.09
