Adair, Wendell Willkie, Republican, 58.77
Adams, Wendell Willkie, Republican, 60.13
Allamakee, Wendell Willkie, Republican, 64.02
Appanoose, Franklin D Roosevelt, Democrat, 49.74
Audubon, Franklin D Roosevelt, Democrat, 55.08
Benton, Franklin D Roosevelt, Democrat, 50.15
Black Hawk, Franklin D Roosevelt, Democrat, 50.11
Boone, Franklin D Roosevelt, Democrat, 57.49
Bremer, Wendell Willkie, Republican, 63.26
Buchanan, Wendell Willkie, Republican, 54.61
Buena Vista, Franklin D Roosevelt, Democrat, 50.9
Butler, Wendell Willkie, Republican, 63.56
Calhoun, Franklin D Roosevelt, Democrat, 53.23
Carroll, Franklin D Roosevelt, Democrat, 50.59
Cass, Wendell Willkie, Republican, 62.69
Cedar, Wendell Willkie, Republican, 62.45
Cerro Gordo, Franklin D Roosevelt, Democrat, 52.59
Cherokee, Wendell Willkie, Republican, 53.5
Chickasaw, Wendell Willkie, Republican, 52.71
Clarke, Wendell Willkie, Republican, 53.76
Clay, Franklin D Roosevelt, Democrat, 53.93
Clayton, Wendell Willkie, Republican, 59.86
Clinton, Wendell Willkie, Republican, 54.17
Crawford, Wendell Willkie, Republican, 55.92
Dallas, Franklin D Roosevelt, Democrat, 49.72
Davis, Franklin D Roosevelt, Democrat, 52.91
Decatur, Franklin D Roosevelt, Democrat, 52.87
Delaware, Wendell Willkie, Republican, 67.3
Des Moines, Wendell Willkie, Republican, 62.34
Dickinson, Franklin D Roosevelt, Democrat, 51.99
Dubuque, Wendell Willkie, Republican, 51.3
Emmet, Franklin D Roosevelt, Democrat, 49.98
Fayette, Wendell Willkie, Republican, 57.43
Floyd, Wendell Willkie, Republican, 58.11
Franklin, Wendell Willkie, Republican, 49.56
Fremont, Franklin D Roosevelt, Democrat, 50.41
Greene, Wendell Willkie, Republican, 52.22
Grundy, Wendell Willkie, Republican, 58.56
Guthrie, Wendell Willkie, Republican, 57.33
Hamilton, Franklin D Roosevelt, Democrat, 55.56
Hancock, Wendell Willkie, Republican, 50.63
Hardin, Wendell Willkie, Republican, 54.26
Harrison, Wendell Willkie, Republican, 53.33
Henry, Wendell Willkie, Republican, 67.36
Howard, Wendell Willkie, Republican, 50.16
Humboldt, Franklin D Roosevelt, Democrat, 53.2
Ida, Wendell Willkie, Republican, 57.7
Iowa, Wendell Willkie, Republican, 55.33
Jackson, Wendell Willkie, Republican, 56.07
Jasper, Franklin D Roosevelt, Democrat, 52.71
Jefferson, Wendell Willkie, Republican, 58.67
Johnson, Franklin D Roosevelt, Democrat, 55.39
Jones, Wendell Willkie, Republican, 56.7
Keokuk, Wendell Willkie, Republican, 54
Kossuth, Franklin D Roosevelt, Democrat, 53.45
Lee, Wendell Willkie, Republican, 53.71
Linn, Wendell Willkie, Republican, 54.54
Louisa, Wendell Willkie, Republican, 59.18
Lucas, Wendell Willkie, Republican, 53.24
Lyon, Wendell Willkie, Republican, 59.33
Madison, Wendell Willkie, Republican, 58.91
Mahaska, Wendell Willkie, Republican, 51.12
Marion, Franklin D Roosevelt, Democrat, 54.22
Marshall, Wendell Willkie, Republican, 56.44
Mills, Wendell Willkie, Republican, 57.39
Mitchell, Wendell Willkie, Republican, 56.49
Monona, Franklin D Roosevelt, Democrat, 53.2
Monroe, Franklin D Roosevelt, Democrat, 54.44
Montgomery, Wendell Willkie, Republican, 58.98
Muscatine, Wendell Willkie, Republican, 59.24
O'Brien, Wendell Willkie, Republican, 53.3
Osceola, Wendell Willkie, Republican, 51.14
Page, Wendell Willkie, Republican, 64.04
Palo Alto, Franklin D Roosevelt, Democrat, 57.3
Plymouth, Wendell Willkie, Republican, 66.72
Pocahontas, Franklin D Roosevelt, Democrat, 57.83
Polk, Franklin D Roosevelt, Democrat, 55.42
Pottawattamie, Wendell Willkie, Republican, 51.07
Poweshiek, Franklin D Roosevelt, Democrat, 49.88
Ringgold, Wendell Willkie, Republican, 59.5
Sac, Wendell Willkie, Republican, 53.66
Scott, Franklin D Roosevelt, Democrat, 52.98
Shelby, Wendell Willkie, Republican, 54.53
Sioux, Wendell Willkie, Republican, 64.55
Story, Wendell Willkie, Republican, 52.11
Tama, Franklin D Roosevelt, Democrat, 50.42
Taylor, Wendell Willkie, Republican, 59.56
Union, Wendell Willkie, Republican, 62.54
Van Buren, Wendell Willkie, Republican, 62.72
Wapello, Franklin D Roosevelt, Democrat, 56.56
Warren, Wendell Willkie, Republican, 56.21
Washington, Wendell Willkie, Republican, 58.11
Wayne, Wendell Willkie, Republican, 50.64
Webster, Franklin D Roosevelt, Democrat, 58.43
Winnebago, Wendell Willkie, Republican, 51.78
Winneshiek, Wendell Willkie, Republican, 53.35
Woodbury, Franklin D Roosevelt, Democrat, 51.62
Worth, Franklin D Roosevelt, Democrat, 55.12
Wright, Franklin D Roosevelt, Democrat, 52.1
