Adair, Wendell Willkie, Republican, 57.42
Allen, Wendell Willkie, Republican, 61.11
Anderson, Franklin D Roosevelt, Democrat, 66.73
Ballard, Franklin D Roosevelt, Democrat, 80.89
Barren, Franklin D Roosevelt, Democrat, 60.11
Bath, Franklin D Roosevelt, Democrat, 60.54
Bell, Franklin D Roosevelt, Democrat, 54.23
Boone, Franklin D Roosevelt, Democrat, 64.76
Bourbon, Franklin D Roosevelt, Democrat, 61.38
Boyd, Franklin D Roosevelt, Democrat, 57.16
Boyle, Franklin D Roosevelt, Democrat, 64.28
Bracken, Franklin D Roosevelt, Democrat, 55.69
Breathitt, Franklin D Roosevelt, Democrat, 71.14
Breckinridge, Franklin D Roosevelt, Democrat, 50.01
Bullitt, Franklin D Roosevelt, Democrat, 74.46
Butler, Wendell Willkie, Republican, 68.4
Caldwell, Franklin D Roosevelt, Democrat, 55.71
Calloway, Franklin D Roosevelt, Democrat, 86.49
Campbell, Wendell Willkie, Republican, 50.02
Carlisle, Franklin D Roosevelt, Democrat, 82.21
Carroll, Franklin D Roosevelt, Democrat, 78.15
Carter, Wendell Willkie, Republican, 56.88
Casey, Wendell Willkie, Republican, 67.34
Christian, Franklin D Roosevelt, Democrat, 54.17
Clark, Franklin D Roosevelt, Democrat, 64.82
Clay, Wendell Willkie, Republican, 72.92
Clinton, Wendell Willkie, Republican, 77.31
Crittenden, Wendell Willkie, Republican, 58.68
Cumberland, Wendell Willkie, Republican, 74.3
Daviess, Franklin D Roosevelt, Democrat, 62.19
Edmonson, Wendell Willkie, Republican, 65.81
Elliott, Franklin D Roosevelt, Democrat, 76.05
Estill, Wendell Willkie, Republican, 52.66
Fayette, Franklin D Roosevelt, Democrat, 55.69
Fleming, Franklin D Roosevelt, Democrat, 51.11
Floyd, Franklin D Roosevelt, Democrat, 71.03
Franklin, Franklin D Roosevelt, Democrat, 78.18
Fulton, Franklin D Roosevelt, Democrat, 81.79
Gallatin, Franklin D Roosevelt, Democrat, 74.7
Garrard, Franklin D Roosevelt, Democrat, 50.07
Grant, Franklin D Roosevelt, Democrat, 63.93
Graves, Franklin D Roosevelt, Democrat, 81.99
Grayson, Wendell Willkie, Republican, 53.85
Green, Wendell Willkie, Republican, 55.39
Greenup, Franklin D Roosevelt, Democrat, 53.73
Hancock, Wendell Willkie, Republican, 51.52
Hardin, Franklin D Roosevelt, Democrat, 66.54
Harlan, Franklin D Roosevelt, Democrat, 64.2
Harrison, Franklin D Roosevelt, Democrat, 71.01
Hart, Franklin D Roosevelt, Democrat, 53.29
Henderson, Franklin D Roosevelt, Democrat, 73.03
Henry, Franklin D Roosevelt, Democrat, 72.47
Hickman, Franklin D Roosevelt, Democrat, 84.73
Hopkins, Franklin D Roosevelt, Democrat, 68.96
Jackson, Wendell Willkie, Republican, 88.62
Jefferson, Franklin D Roosevelt, Democrat, 58.75
Jessamine, Franklin D Roosevelt, Democrat, 60
Johnson, Wendell Willkie, Republican, 62.29
Kenton, Franklin D Roosevelt, Democrat, 59.3
Knott, Franklin D Roosevelt, Democrat, 85.38
Knox, Wendell Willkie, Republican, 60.06
Larue, Franklin D Roosevelt, Democrat, 65.14
Laurel, Wendell Willkie, Republican, 64.27
Lawrence, Franklin D Roosevelt, Democrat, 50.83
Lee, Wendell Willkie, Republican, 53.39
Leslie, Wendell Willkie, Republican, 83.96
Letcher, Franklin D Roosevelt, Democrat, 57.92
Lewis, Wendell Willkie, Republican, 64.22
Lincoln, Franklin D Roosevelt, Democrat, 53.91
Livingston, Franklin D Roosevelt, Democrat, 62.65
Logan, Franklin D Roosevelt, Democrat, 74.44
Lyon, Franklin D Roosevelt, Democrat, 67.84
Madison, Franklin D Roosevelt, Democrat, 52.54
Magoffin, Franklin D Roosevelt, Democrat, 51.3
Marion, Franklin D Roosevelt, Democrat, 66.15
Marshall, Franklin D Roosevelt, Democrat, 76.13
Martin, Wendell Willkie, Republican, 73.34
Mason, Franklin D Roosevelt, Democrat, 54.03
