Adams, Wendell Willkie, Republican, 60.6
Antelope, Wendell Willkie, Republican, 66.77
Arthur, Wendell Willkie, Republican, 64.21
Banner, Wendell Willkie, Republican, 66.57
Blaine, Wendell Willkie, Republican, 59.35
Boone, Wendell Willkie, Republican, 62.34
Box Butte, Wendell Willkie, Republican, 57.27
Boyd, Wendell Willkie, Republican, 62.13
Brown, Wendell Willkie, Republican, 64.65
Buffalo, Wendell Willkie, Republican, 61.14
Burt, Wendell Willkie, Republican, 57.08
Butler, Franklin D Roosevelt, Democrat, 52.25
Cass, Wendell Willkie, Republican, 56.46
Cedar, Wendell Willkie, Republican, 62.67
Chase, Wendell Willkie, Republican, 63.27
Cherry, Wendell Willkie, Republican, 60.3
Cheyenne, Wendell Willkie, Republican, 55.2
Clay, Wendell Willkie, Republican, 66.98
Colfax, Wendell Willkie, Republican, 52.28
Cuming, Wendell Willkie, Republican, 73.32
Custer, Wendell Willkie, Republican, 59.66
Dakota, Franklin D Roosevelt, Democrat, 53.09
Dawes, Wendell Willkie, Republican, 64.26
Dawson, Wendell Willkie, Republican, 66.02
Deuel, Wendell Willkie, Republican, 67.17
Dixon, Wendell Willkie, Republican, 61.37
Dodge, Wendell Willkie, Republican, 62.51
Douglas, Franklin D Roosevelt, Democrat, 55.62
Dundy, Wendell Willkie, Republican, 64.22
Fillmore, Wendell Willkie, Republican, 65.13
Franklin, Wendell Willkie, Republican, 63.08
Frontier, Wendell Willkie, Republican, 66.08
Furnas, Wendell Willkie, Republican, 64.85
Gage, Wendell Willkie, Republican, 61.55
Garden, Wendell Willkie, Republican, 64.73
Garfield, Wendell Willkie, Republican, 66.39
Gosper, Wendell Willkie, Republican, 61.45
Grant, Wendell Willkie, Republican, 63.51
Greeley, Wendell Willkie, Republican, 50.46
Hall, Wendell Willkie, Republican, 61.26
Hamilton, Wendell Willkie, Republican, 66.36
Harlan, Wendell Willkie, Republican, 61.73
Hayes, Wendell Willkie, Republican, 55.93
Hitchcock, Wendell Willkie, Republican, 58.33
Holt, Wendell Willkie, Republican, 61.61
Hooker, Wendell Willkie, Republican, 73.27
Howard, Franklin D Roosevelt, Democrat, 56.89
Jefferson, Wendell Willkie, Republican, 64.35
Johnson, Wendell Willkie, Republican, 68.26
Kearney, Wendell Willkie, Republican, 53.44
Keith, Wendell Willkie, Republican, 53.48
Keya Paha, Wendell Willkie, Republican, 66.67
Kimball, Wendell Willkie, Republican, 61.82
Knox, Wendell Willkie, Republican, 57.79
Lancaster, Wendell Willkie, Republican, 58.63
Lincoln, Wendell Willkie, Republican, 54.36
Logan, Wendell Willkie, Republican, 60.51
Loup, Wendell Willkie, Republican, 65.1
Madison, Wendell Willkie, Republican, 64.87
McPherson, Wendell Willkie, Republican, 71.63
Merrick, Wendell Willkie, Republican, 66.31
Morrill, Wendell Willkie, Republican, 60.08
Nance, Wendell Willkie, Republican, 57.77
Nemaha, Wendell Willkie, Republican, 59.96
Nuckolls, Wendell Willkie, Republican, 61.7
Otoe, Wendell Willkie, Republican, 66.46
Pawnee, Wendell Willkie, Republican, 62.35
Perkins, Wendell Willkie, Republican, 57.28
Phelps, Wendell Willkie, Republican, 57.63
Pierce, Wendell Willkie, Republican, 69.3
Platte, Wendell Willkie, Republican, 56.07
Polk, Wendell Willkie, Republican, 61.87
Red Willow, Wendell Willkie, Republican, 55.7
Richardson, Wendell Willkie, Republican, 54.07
Rock, Wendell Willkie, Republican, 64.79
Saline, Franklin D Roosevelt, Democrat, 53.52
Sarpy, Franklin D Roosevelt, Democrat, 53.96
Saunders, Wendell Willkie, Republican, 54.16
Scotts Bluff, Wendell Willkie, Republican, 64.2
Seward, Wendell Willkie, Republican, 61.95
Sheridan, Wendell Willkie, Republican, 66.87
Sherman, Franklin D Roosevelt, Democrat, 55.82
Sioux, Wendell Willkie, Republican, 63.43
Stanton, Wendell Willkie, Republican, 65.74
Thayer, Wendell Willkie, Republican, 65.21
Thomas, Wendell Willkie, Republican, 63.7
Thurston, Franklin D Roosevelt, Democrat, 50.82
Valley, Wendell Willkie, Republican, 60.63
Washington, Wendell Willkie, Republican, 52.57
Wayne, Wendell Willkie, Republican, 69.7
Webster, Wendell Willkie, Republican, 68.18
Wheeler, Wendell Willkie, Republican, 53.69
York, Wendell Willkie, Republican, 70.75
