Adair, Thomas E Dewey, Republican, 58.39
Allen, Thomas E Dewey, Republican, 63.86
Anderson, Franklin D Roosevelt, Democrat, 60.02
Ballard, Franklin D Roosevelt, Democrat, 81.5
Barren, Franklin D Roosevelt, Democrat, 57.64
Bath, Franklin D Roosevelt, Democrat, 57.88
Bell, Thomas E Dewey, Republican, 50.9
Boone, Franklin D Roosevelt, Democrat, 62.51
Bourbon, Franklin D Roosevelt, Democrat, 65.97
Boyd, Franklin D Roosevelt, Democrat, 54.06
Boyle, Franklin D Roosevelt, Democrat, 61.02
Bracken, Franklin D Roosevelt, Democrat, 56.04
Breathitt, Franklin D Roosevelt, Democrat, 69.85
Breckinridge, Thomas E Dewey, Republican, 52.94
Bullitt, Franklin D Roosevelt, Democrat, 70.3
Butler, Thomas E Dewey, Republican, 74.3
Caldwell, Franklin D Roosevelt, Democrat, 52.04
Calloway, Franklin D Roosevelt, Democrat, 81.12
Campbell, Thomas E Dewey, Republican, 51.17
Carlisle, Franklin D Roosevelt, Democrat, 80.1
Carroll, Franklin D Roosevelt, Democrat, 77.65
Carter, Thomas E Dewey, Republican, 60.01
Casey, Thomas E Dewey, Republican, 71.53
Christian, Franklin D Roosevelt, Democrat, 57.96
Clark, Franklin D Roosevelt, Democrat, 64.85
Clay, Thomas E Dewey, Republican, 78.38
Clinton, Thomas E Dewey, Republican, 82.2
Crittenden, Thomas E Dewey, Republican, 63.16
Cumberland, Thomas E Dewey, Republican, 78.27
Daviess, Franklin D Roosevelt, Democrat, 56.73
Edmonson, Thomas E Dewey, Republican, 70.36
Elliott, Franklin D Roosevelt, Democrat, 77
Estill, Thomas E Dewey, Republican, 55.19
Fayette, Franklin D Roosevelt, Democrat, 55.15
Fleming, Thomas E Dewey, Republican, 50.38
Floyd, Franklin D Roosevelt, Democrat, 70.74
Franklin, Franklin D Roosevelt, Democrat, 75.24
Fulton, Franklin D Roosevelt, Democrat, 81.68
Gallatin, Franklin D Roosevelt, Democrat, 72.03
Garrard, Thomas E Dewey, Republican, 53.46
Grant, Franklin D Roosevelt, Democrat, 59.62
Graves, Franklin D Roosevelt, Democrat, 78.7
Grayson, Thomas E Dewey, Republican, 59.64
Green, Thomas E Dewey, Republican, 56.39
Greenup, Franklin D Roosevelt, Democrat, 50.66
Hancock, Thomas E Dewey, Republican, 54.4
Hardin, Franklin D Roosevelt, Democrat, 60.82
Harlan, Franklin D Roosevelt, Democrat, 57.81
Harrison, Franklin D Roosevelt, Democrat, 71.38
Hart, Franklin D Roosevelt, Democrat, 50.93
Henderson, Franklin D Roosevelt, Democrat, 68.49
Henry, Franklin D Roosevelt, Democrat, 70.08
Hickman, Franklin D Roosevelt, Democrat, 77.06
Hopkins, Franklin D Roosevelt, Democrat, 65.8
Jackson, Thomas E Dewey, Republican, 91.56
Jefferson, Franklin D Roosevelt, Democrat, 56.66
Jessamine, Franklin D Roosevelt, Democrat, 57.11
Johnson, Thomas E Dewey, Republican, 67.53
Kenton, Franklin D Roosevelt, Democrat, 57.96
Knott, Franklin D Roosevelt, Democrat, 82.81
Knox, Thomas E Dewey, Republican, 68.4
Larue, Franklin D Roosevelt, Democrat, 56.72
Laurel, Thomas E Dewey, Republican, 70.54
Lawrence, Thomas E Dewey, Republican, 52.87
Lee, Thomas E Dewey, Republican, 57.57
Leslie, Thomas E Dewey, Republican, 84.3
Letcher, Franklin D Roosevelt, Democrat, 53.04
Lewis, Thomas E Dewey, Republican, 69.43
Lincoln, Franklin D Roosevelt, Democrat, 52.13
Livingston, Franklin D Roosevelt, Democrat, 58.3
Logan, Franklin D Roosevelt, Democrat, 69.63
Lyon, Franklin D Roosevelt, Democrat, 65.06
Madison, Franklin D Roosevelt, Democrat, 51.02
Magoffin, Thomas E Dewey, Republican, 51.25
Marion, Franklin D Roosevelt, Democrat, 63.83
Marshall, Franklin D Roosevelt, Democrat, 68.95
Martin, Thomas E Dewey, Republican, 78.33
Mason, Franklin D Roosevelt, Democrat, 53.62
McCracken, Franklin D Roosevelt, Democrat, 71.73
McCreary, Thomas E Dewey, Republican, 79.49
McLean, Franklin D Roosevelt, Democrat, 55.59
Meade, Franklin D Roosevelt, Democrat, 63.47
Menifee, Franklin D Roosevelt, Democrat, 63.09
Mercer, Franklin D Roosevelt, Democrat, 59.97
Metcalfe, Thomas E Dewey, Republican, 57.48
Monroe, Thomas E Dewey, Republican, 76.82
Montgomery, Franklin D Roosevelt, Democrat, 61.05
Morgan, Franklin D Roosevelt, Democrat, 72.63
Muhlenberg, Thomas E Dewey, Republican, 55.61
Nelson, Franklin D Roosevelt, Democrat, 62.78
Nicholas, Franklin D Roosevelt, Democrat, 62.84
Ohio, Thomas E Dewey, Republican, 58.69
Oldham, Franklin D Roosevelt, Democrat, 64.74
Owen, Franklin D Roosevelt, Democrat, 83.08
Owsley, Thomas E Dewey, Republican, 86.11
Pendleton, Franklin D Roosevelt, Democrat, 51.25
Perry, Franklin D Roosevelt, Democrat, 56.04
Pike, Franklin D Roosevelt, Democrat, 54.52
Powell, Franklin D Roosevelt, Democrat, 52.98
Pulaski, Thomas E Dewey, Republican, 67.47
Robertson, Franklin D Roosevelt, Democrat, 60.51
Rockcastle, Thomas E Dewey, Republican, 74.03
Rowan, Franklin D Roosevelt, Democrat, 51.51
Russell, Thomas E Dewey, Republican, 71.56
Scott, Franklin D Roosevelt, Democrat, 69.11
Shelby, Franklin D Roosevelt, Democrat, 68.49
Simpson, Franklin D Roosevelt, Democrat, 73.27
Spencer, Franklin D Roosevelt, Democrat, 68.85
Taylor, Thomas E Dewey, Republican, 51.05
Todd, Franklin D Roosevelt, Democrat, 68.36
Trigg, Franklin D Roosevelt, Democrat, 65.1
Trimble, Franklin D Roosevelt, Democrat, 86.7
Union, Franklin D Roosevelt, Democrat, 78.65
Warren, Franklin D Roosevelt, Democrat, 60.18
Washington, Thomas E Dewey, Republican, 50.56
Wayne, Thomas E Dewey, Republican, 60.12
Webster, Franklin D Roosevelt, Democrat, 64.06
Whitley, Thomas E Dewey, Republican, 73.05
Wolfe, Franklin D Roosevelt, Democrat, 61.94
Woodford, Franklin D Roosevelt, Democrat, 60.81
