Baker, Franklin D Roosevelt, Democrat, 55.24
Benton, Thomas E Dewey, Republican, 64.39
Clackamas, Franklin D Roosevelt, Democrat, 52.1
Clatsop, Franklin D Roosevelt, Democrat, 60.19
Columbia, Franklin D Roosevelt, Democrat, 64.77
Coos, Franklin D Roosevelt, Democrat, 57.69
Crook, Franklin D Roosevelt, Democrat, 54.39
Curry, Thomas E Dewey, Republican, 54.16
Deschutes, Franklin D Roosevelt, Democrat, 59.24
Douglas, Thomas E Dewey, Republican, 56.59
Gilliam, Franklin D Roosevelt, Democrat, 53.49
Grant, Franklin D Roosevelt, Democrat, 48.66
Harney, Franklin D Roosevelt, Democrat, 55.57
Hood River, Thomas E Dewey, Republican, 50.05
Jackson, Thomas E Dewey, Republican, 55.74
Jefferson, Thomas E Dewey, Republican, 57.95
Josephine, Thomas E Dewey, Republican, 54.52
Klamath, Franklin D Roosevelt, Democrat, 52.34
Lake, Franklin D Roosevelt, Democrat, 52.88
Lane, Thomas E Dewey, Republican, 54.6
Lincoln, Franklin D Roosevelt, Democrat, 50.7
Linn, Thomas E Dewey, Republican, 50.97
Malheur, Thomas E Dewey, Republican, 55.08
Marion, Thomas E Dewey, Republican, 56.56
Morrow, Franklin D Roosevelt, Democrat, 52.38
Multnomah, Franklin D Roosevelt, Democrat, 56.66
Polk, Thomas E Dewey, Republican, 53.19
Sherman, Franklin D Roosevelt, Democrat, 52.01
Tillamook, Franklin D Roosevelt, Democrat, 50.79
Umatilla, Thomas E Dewey, Republican, 51.77
Union, Franklin D Roosevelt, Democrat, 61.5
Wallowa, Franklin D Roosevelt, Democrat, 56.74
Wasco, Thomas E Dewey, Republican, 50.75
Washington, Thomas E Dewey, Republican, 50.13
Wheeler, Thomas E Dewey, Republican, 56.55
Yamhill, Thomas E Dewey, Republican, 51.39
