Anderson, Franklin D Roosevelt, Democrat, 79.32
Andrews, Franklin D Roosevelt, Democrat, 81.44
Angelina, Franklin D Roosevelt, Democrat, 74.38
Aransas, Franklin D Roosevelt, Democrat, 73.43
Archer, Franklin D Roosevelt, Democrat, 79.83
Armstrong, Franklin D Roosevelt, Democrat, 77.88
Atascosa, Franklin D Roosevelt, Democrat, 66.4
Austin, Franklin D Roosevelt, Democrat, 41.33
Bailey, Franklin D Roosevelt, Democrat, 64.68
Bandera, Thomas E Dewey, Republican, 50.4
Bastrop, Franklin D Roosevelt, Democrat, 79.17
Baylor, Franklin D Roosevelt, Democrat, 87.65
Bee, Franklin D Roosevelt, Democrat, 54.17
Bell, Franklin D Roosevelt, Democrat, 77.72
Bexar, Franklin D Roosevelt, Democrat, 57.96
Blanco, Franklin D Roosevelt, Democrat, 55.95
Borden, Franklin D Roosevelt, Democrat, 76.95
Bosque, Franklin D Roosevelt, Democrat, 75.02
Bowie, Franklin D Roosevelt, Democrat, 79.14
Brazoria, Franklin D Roosevelt, Democrat, 72.07
Brazos, Franklin D Roosevelt, Democrat, 76.75
Brewster, Franklin D Roosevelt, Democrat, 72.85
Briscoe, Franklin D Roosevelt, Democrat, 74.28
Brooks, Franklin D Roosevelt, Democrat, 63.46
Brown, Franklin D Roosevelt, Democrat, 68.45
Burleson, Franklin D Roosevelt, Democrat, 82.76
Burnet, Franklin D Roosevelt, Democrat, 80.35
Caldwell, Franklin D Roosevelt, Democrat, 75
Calhoun, Franklin D Roosevelt, Democrat, 68.22
Callahan, Franklin D Roosevelt, Democrat, 79.66
Cameron, Franklin D Roosevelt, Democrat, 50.63
Camp, Franklin D Roosevelt, Democrat, 71.42
Carson, Franklin D Roosevelt, Democrat, 68.97
Cass, Franklin D Roosevelt, Democrat, 76.59
Castro, Franklin D Roosevelt, Democrat, 69.66
Chambers, Franklin D Roosevelt, Democrat, 78.1
Cherokee, Franklin D Roosevelt, Democrat, 76.14
Childress, Franklin D Roosevelt, Democrat, 82.05
Clay, Franklin D Roosevelt, Democrat, 77.42
Cochran, Franklin D Roosevelt, Democrat, 71.6
Coke, Franklin D Roosevelt, Democrat, 85.92
