Barbour, Thomas E Dewey, Republican, 51.78
Berkeley, Thomas E Dewey, Republican, 51.39
Boone, Franklin D Roosevelt, Democrat, 64.86
Braxton, Franklin D Roosevelt, Democrat, 58.79
Brooke, Franklin D Roosevelt, Democrat, 61.48
Cabell, Franklin D Roosevelt, Democrat, 53.68
Calhoun, Franklin D Roosevelt, Democrat, 57.19
Clay, Franklin D Roosevelt, Democrat, 53.12
Doddridge, Thomas E Dewey, Republican, 72.31
Fayette, Franklin D Roosevelt, Democrat, 68.85
Gilmer, Franklin D Roosevelt, Democrat, 60.31
Grant, Thomas E Dewey, Republican, 84.02
Greenbrier, Franklin D Roosevelt, Democrat, 60.15
Hampshire, Franklin D Roosevelt, Democrat, 60.27
Hancock, Franklin D Roosevelt, Democrat, 63.12
Hardy, Franklin D Roosevelt, Democrat, 58.64
Harrison, Franklin D Roosevelt, Democrat, 55.58
Jackson, Thomas E Dewey, Republican, 65.14
Jefferson, Franklin D Roosevelt, Democrat, 64.17
Kanawha, Franklin D Roosevelt, Democrat, 56.5
Lewis, Thomas E Dewey, Republican, 59.8
Lincoln, Thomas E Dewey, Republican, 53.33
Logan, Franklin D Roosevelt, Democrat, 64.75
Marion, Franklin D Roosevelt, Democrat, 60.36
Marshall, Thomas E Dewey, Republican, 52.09
Mason, Thomas E Dewey, Republican, 60.5
McDowell, Franklin D Roosevelt, Democrat, 63.65
Mercer, Franklin D Roosevelt, Democrat, 59.69
Mineral, Thomas E Dewey, Republican, 53.75
Mingo, Franklin D Roosevelt, Democrat, 66.97
Monongalia, Franklin D Roosevelt, Democrat, 51.95
Monroe, Thomas E Dewey, Republican, 54.48
Morgan, Thomas E Dewey, Republican, 72.01
Nicholas, Franklin D Roosevelt, Democrat, 56.91
Ohio, Franklin D Roosevelt, Democrat, 51.9
Pendleton, Franklin D Roosevelt, Democrat, 54.22
Pleasants, Thomas E Dewey, Republican, 51.84
Pocahontas, Franklin D Roosevelt, Democrat, 55.32
Preston, Thomas E Dewey, Republican, 69.36
Putnam, Thomas E Dewey, Republican, 50.67
Raleigh, Franklin D Roosevelt, Democrat, 63.54
Randolph, Franklin D Roosevelt, Democrat, 63.12
Ritchie, Thomas E Dewey, Republican, 70.6
Roane, Thomas E Dewey, Republican, 55.11
Summers, Franklin D Roosevelt, Democrat, 59.72
Taylor, Thomas E Dewey, Republican, 51.57
Tucker, Franklin D Roosevelt, Democrat, 54.63
Tyler, Thomas E Dewey, Republican, 70.6
Upshur, Thomas E Dewey, Republican, 72.47
Wayne, Franklin D Roosevelt, Democrat, 59.47
Webster, Franklin D Roosevelt, Democrat, 67.32
Wetzel, Franklin D Roosevelt, Democrat, 54.6
Wirt, Thomas E Dewey, Republican, 54.79
Wood, Thomas E Dewey, Republican, 51.58
Wyoming, Franklin D Roosevelt, Democrat, 61.34
