Adams, Dwight D Eisenhower, Republican, 59.6
Alexander, Dwight D Eisenhower, Republican, 54.63
Bond, Dwight D Eisenhower, Republican, 62.03
Boone, Dwight D Eisenhower, Republican, 74.21
Brown, Dwight D Eisenhower, Republican, 57.77
Bureau, Dwight D Eisenhower, Republican, 69.76
Calhoun, Dwight D Eisenhower, Republican, 56.81
Carroll, Dwight D Eisenhower, Republican, 72.87
Cass, Dwight D Eisenhower, Republican, 54.88
Champaign, Dwight D Eisenhower, Republican, 65.91
Christian, Dwight D Eisenhower, Republican, 50.11
Clark, Dwight D Eisenhower, Republican, 61.12
Clay, Dwight D Eisenhower, Republican, 60.38
Clinton, Dwight D Eisenhower, Republican, 58.18
Coles, Dwight D Eisenhower, Republican, 61.59
Cook, Dwight D Eisenhower, Republican, 50.21
Crawford, Dwight D Eisenhower, Republican, 63.11
Cumberland, Dwight D Eisenhower, Republican, 59.88
DeKalb, Dwight D Eisenhower, Republican, 74.23
DeWitt, Dwight D Eisenhower, Republican, 61.78
Douglas, Dwight D Eisenhower, Republican, 67.1
DuPage, Dwight D Eisenhower, Republican, 75.8
Edgar, Dwight D Eisenhower, Republican, 64.56
Edwards, Dwight D Eisenhower, Republican, 75.01
Effingham, Dwight D Eisenhower, Republican, 57.79
Fayette, Dwight D Eisenhower, Republican, 56.96
Ford, Dwight D Eisenhower, Republican, 74.49
Franklin, Adlai Stevenson, Democrat, 50.41
Fulton, Dwight D Eisenhower, Republican, 61.13
Gallatin, Dwight D Eisenhower, Republican, 51.56
Greene, Dwight D Eisenhower, Republican, 54.96
Grundy, Dwight D Eisenhower, Republican, 70.12
Hamilton, Dwight D Eisenhower, Republican, 60.25
Hancock, Dwight D Eisenhower, Republican, 66.14
Hardin, Dwight D Eisenhower, Republican, 55.84
Henderson, Dwight D Eisenhower, Republican, 65.98
Henry, Dwight D Eisenhower, Republican, 65.49
Iroquois, Dwight D Eisenhower, Republican, 72.81
Jackson, Dwight D Eisenhower, Republican, 57.67
Jasper, Dwight D Eisenhower, Republican, 57.82
Jefferson, Dwight D Eisenhower, Republican, 53.03
Jersey, Dwight D Eisenhower, Republican, 54.03
Jo Daviess, Dwight D Eisenhower, Republican, 71.3
Johnson, Dwight D Eisenhower, Republican, 67.25
Kane, Dwight D Eisenhower, Republican, 67.78
Kankakee, Dwight D Eisenhower, Republican, 61.44
Kendall, Dwight D Eisenhower, Republican, 77.11
Knox, Dwight D Eisenhower, Republican, 64.16
Lake, Dwight D Eisenhower, Republican, 62.83
LaSalle, Dwight D Eisenhower, Republican, 60.54
Lawrence, Dwight D Eisenhower, Republican, 61.54
Lee, Dwight D Eisenhower, Republican, 71.71
Livingston, Dwight D Eisenhower, Republican, 71.45
Logan, Dwight D Eisenhower, Republican, 64.39
Macon, Dwight D Eisenhower, Republican, 53.56
Macoupin, Adlai Stevenson, Democrat, 51.07
Madison, Adlai Stevenson, Democrat, 58.29
Marion, Dwight D Eisenhower, Republican, 53.64
Marshall, Dwight D Eisenhower, Republican, 67.35
Mason, Dwight D Eisenhower, Republican, 61.91
Massac, Dwight D Eisenhower, Republican, 60.78
McDonough, Dwight D Eisenhower, Republican, 72.06
McHenry, Dwight D Eisenhower, Republican, 74.23
McLean, Dwight D Eisenhower, Republican, 64.75
Menard, Dwight D Eisenhower, Republican, 62.92
Mercer, Dwight D Eisenhower, Republican, 70.53
Monroe, Dwight D Eisenhower, Republican, 65.07
Montgomery, Dwight D Eisenhower, Republican, 54.95
Morgan, Dwight D Eisenhower, Republican, 61.04
Moultrie, Dwight D Eisenhower, Republican, 59.12
Ogle, Dwight D Eisenhower, Republican, 77.79
Peoria, Dwight D Eisenhower, Republican, 59.09
Perry, Dwight D Eisenhower, Republican, 55.19
Piatt, Dwight D Eisenhower, Republican, 67.82
Pike, Dwight D Eisenhower, Republican, 54.97
Pope, Dwight D Eisenhower, Republican, 67.53
Pulaski, Dwight D Eisenhower, Republican, 58.88
Putnam, Dwight D Eisenhower, Republican, 62.56
Randolph, Dwight D Eisenhower, Republican, 54.59
Richland, Dwight D Eisenhower, Republican, 68.42
Rock Island, Dwight D Eisenhower, Republican, 54.07
Saline, Dwight D Eisenhower, Republican, 54.13
Sangamon, Dwight D Eisenhower, Republican, 53.99
Schuyler, Dwight D Eisenhower, Republican, 61.3
Scott, Dwight D Eisenhower, Republican, 60.36
Shelby, Dwight D Eisenhower, Republican, 57.65
St. Clair, Adlai Stevenson, Democrat, 60.01
Stark, Dwight D Eisenhower, Republican, 75.51
Stephenson, Dwight D Eisenhower, Republican, 68.51
Tazewell, Dwight D Eisenhower, Republican, 55.14
Union, Dwight D Eisenhower, Republican, 51.97
Vermilion, Dwight D Eisenhower, Republican, 57.36
Wabash, Dwight D Eisenhower, Republican, 61.38
Warren, Dwight D Eisenhower, Republican, 72.88
Washington, Dwight D Eisenhower, Republican, 66.17
Wayne, Dwight D Eisenhower, Republican, 62.34
White, Dwight D Eisenhower, Republican, 58.87
Whiteside, Dwight D Eisenhower, Republican, 73.28
Will, Dwight D Eisenhower, Republican, 56.34
Williamson, Dwight D Eisenhower, Republican, 55.1
Winnebago, Dwight D Eisenhower, Republican, 57.95
Woodford, Dwight D Eisenhower, Republican, 70.94
