Adams, Dwight D Eisenhower, Republican, 70.54
Barnes, Dwight D Eisenhower, Republican, 71.84
Benson, Dwight D Eisenhower, Republican, 69.63
Billings, Dwight D Eisenhower, Republican, 82
Bottineau, Dwight D Eisenhower, Republican, 77.69
Bowman, Dwight D Eisenhower, Republican, 71.21
Burke, Dwight D Eisenhower, Republican, 69.9
Burleigh, Dwight D Eisenhower, Republican, 79.55
Cass, Dwight D Eisenhower, Republican, 66.17
Cavalier, Dwight D Eisenhower, Republican, 69.66
Dickey, Dwight D Eisenhower, Republican, 71.23
Divide, Dwight D Eisenhower, Republican, 70.79
Dunn, Dwight D Eisenhower, Republican, 76.5
Eddy, Dwight D Eisenhower, Republican, 67.05
Emmons, Dwight D Eisenhower, Republican, 86.16
Foster, Dwight D Eisenhower, Republican, 64.17
Golden Valley, Dwight D Eisenhower, Republican, 75.93
Grand Forks, Dwight D Eisenhower, Republican, 65.65
Grant, Dwight D Eisenhower, Republican, 85.32
Griggs, Dwight D Eisenhower, Republican, 66.19
Hettinger, Dwight D Eisenhower, Republican, 87.79
Kidder, Dwight D Eisenhower, Republican, 81.93
LaMoure, Dwight D Eisenhower, Republican, 73.12
Logan, Dwight D Eisenhower, Republican, 85.1
McHenry, Dwight D Eisenhower, Republican, 76.6
McIntosh, Dwight D Eisenhower, Republican, 90.89
McKenzie, Dwight D Eisenhower, Republican, 71.7
McLean, Dwight D Eisenhower, Republican, 68.62
Mercer, Dwight D Eisenhower, Republican, 84.96
Morton, Dwight D Eisenhower, Republican, 74.88
Mountrail, Dwight D Eisenhower, Republican, 62.93
Nelson, Dwight D Eisenhower, Republican, 62.96
Oliver, Dwight D Eisenhower, Republican, 87.82
Pembina, Dwight D Eisenhower, Republican, 67.5
Pierce, Dwight D Eisenhower, Republican, 77.77
Ramsey, Dwight D Eisenhower, Republican, 71.97
Ransom, Dwight D Eisenhower, Republican, 70.19
Renville, Dwight D Eisenhower, Republican, 66.57
Richland, Dwight D Eisenhower, Republican, 69.78
Rolette, Dwight D Eisenhower, Republican, 65.02
Sargent, Dwight D Eisenhower, Republican, 65.76
Sheridan, Dwight D Eisenhower, Republican, 87.31
Sioux, Dwight D Eisenhower, Republican, 73.22
Slope, Dwight D Eisenhower, Republican, 69.38
Stark, Dwight D Eisenhower, Republican, 79.58
Steele, Dwight D Eisenhower, Republican, 62.16
Stutsman, Dwight D Eisenhower, Republican, 67.7
Towner, Dwight D Eisenhower, Republican, 69.23
Traill, Dwight D Eisenhower, Republican, 72.05
Walsh, Dwight D Eisenhower, Republican, 57.33
Ward, Dwight D Eisenhower, Republican, 66.6
Wells, Dwight D Eisenhower, Republican, 77.89
Williams, Dwight D Eisenhower, Republican, 58.46
