Baker, Dwight D Eisenhower, Republican, 62.2
Benton, Dwight D Eisenhower, Republican, 75.27
Clackamas, Dwight D Eisenhower, Republican, 59.51
Clatsop, Dwight D Eisenhower, Republican, 56.02
Columbia, Adlai Stevenson, Democrat, 51.82
Coos, Dwight D Eisenhower, Republican, 55.04
Crook, Dwight D Eisenhower, Republican, 57.7
Curry, Dwight D Eisenhower, Republican, 67.54
Deschutes, Dwight D Eisenhower, Republican, 64.28
Douglas, Dwight D Eisenhower, Republican, 64.11
Gilliam, Dwight D Eisenhower, Republican, 68.55
Grant, Dwight D Eisenhower, Republican, 61.66
Harney, Dwight D Eisenhower, Republican, 58.24
Hood River, Dwight D Eisenhower, Republican, 62.84
Jackson, Dwight D Eisenhower, Republican, 67.55
Jefferson, Dwight D Eisenhower, Republican, 67.12
Josephine, Dwight D Eisenhower, Republican, 70.36
Klamath, Dwight D Eisenhower, Republican, 64.02
Lake, Dwight D Eisenhower, Republican, 58.68
Lane, Dwight D Eisenhower, Republican, 63.83
Lincoln, Dwight D Eisenhower, Republican, 60.08
Linn, Dwight D Eisenhower, Republican, 62.67
Malheur, Dwight D Eisenhower, Republican, 70.45
Marion, Dwight D Eisenhower, Republican, 70.41
Morrow, Dwight D Eisenhower, Republican, 61.32
Multnomah, Dwight D Eisenhower, Republican, 55.01
Polk, Dwight D Eisenhower, Republican, 69.41
Sherman, Dwight D Eisenhower, Republican, 67.48
Tillamook, Dwight D Eisenhower, Republican, 58.97
Umatilla, Dwight D Eisenhower, Republican, 59.6
Union, Dwight D Eisenhower, Republican, 53.69
Wallowa, Dwight D Eisenhower, Republican, 59.41
Wasco, Dwight D Eisenhower, Republican, 63.09
Washington, Dwight D Eisenhower, Republican, 64.11
Wheeler, Dwight D Eisenhower, Republican, 60.52
Yamhill, Dwight D Eisenhower, Republican, 67.27
