Adams, Dwight D Eisenhower, Republican, 66.29
Asotin, Dwight D Eisenhower, Republican, 55.62
Benton, Dwight D Eisenhower, Republican, 57.4
Chelan, Dwight D Eisenhower, Republican, 61.73
Clallam, Dwight D Eisenhower, Republican, 53.96
Clark, Dwight D Eisenhower, Republican, 50.83
Columbia, Dwight D Eisenhower, Republican, 66.18
Cowlitz, Dwight D Eisenhower, Republican, 52.08
Douglas, Dwight D Eisenhower, Republican, 55.43
Ferry, Adlai Stevenson, Democrat, 52
Franklin, Dwight D Eisenhower, Republican, 53.89
Garfield, Dwight D Eisenhower, Republican, 66.76
Grant, Dwight D Eisenhower, Republican, 50.61
Grays Harbor, Adlai Stevenson, Democrat, 49.9
Island, Dwight D Eisenhower, Republican, 61.68
Jefferson, Dwight D Eisenhower, Republican, 54.7
King, Dwight D Eisenhower, Republican, 53.93
Kitsap, Adlai Stevenson, Democrat, 54.61
Kittitas, Dwight D Eisenhower, Republican, 56.69
Klickitat, Dwight D Eisenhower, Republican, 56.78
Lewis, Dwight D Eisenhower, Republican, 62.78
Lincoln, Dwight D Eisenhower, Republican, 63.31
Mason, Adlai Stevenson, Democrat, 49.74
Okanogan, Dwight D Eisenhower, Republican, 55.57
Pacific, Dwight D Eisenhower, Republican, 50.19
Pend Oreille, Dwight D Eisenhower, Republican, 52.87
Pierce, Dwight D Eisenhower, Republican, 49.66
San Juan, Dwight D Eisenhower, Republican, 64.16
Skagit, Dwight D Eisenhower, Republican, 57.37
Skamania, Dwight D Eisenhower, Republican, 52.29
Snohomish, Adlai Stevenson, Democrat, 51.11
Spokane, Dwight D Eisenhower, Republican, 55.17
Stevens, Dwight D Eisenhower, Republican, 56.54
Thurston, Dwight D Eisenhower, Republican, 58.32
Wahkiakum, Adlai Stevenson, Democrat, 52.73
Walla Walla, Dwight D Eisenhower, Republican, 67.28
Whatcom, Dwight D Eisenhower, Republican, 57.06
Whitman, Dwight D Eisenhower, Republican, 65.67
Yakima, Dwight D Eisenhower, Republican, 64.06
