Adams, Dwight D Eisenhower, Republican, 65.35
Ashland, Dwight D Eisenhower, Republican, 53.5
Barron, Dwight D Eisenhower, Republican, 66.84
Bayfield, Dwight D Eisenhower, Republican, 55.98
Brown, Dwight D Eisenhower, Republican, 67.8
Buffalo, Dwight D Eisenhower, Republican, 67.92
Burnett, Dwight D Eisenhower, Republican, 60.43
Calumet, Dwight D Eisenhower, Republican, 77.07
Chippewa, Dwight D Eisenhower, Republican, 64.01
Clark, Dwight D Eisenhower, Republican, 71.71
Columbia, Dwight D Eisenhower, Republican, 67.78
Crawford, Dwight D Eisenhower, Republican, 70.15
Dane, Dwight D Eisenhower, Republican, 50.34
Dodge, Dwight D Eisenhower, Republican, 73.28
Door, Dwight D Eisenhower, Republican, 80.82
Douglas, Adlai Stevenson, Democrat, 54.14
Dunn, Dwight D Eisenhower, Republican, 67.38
Eau Claire, Dwight D Eisenhower, Republican, 59.47
Florence, Dwight D Eisenhower, Republican, 58.43
Fond du Lac, Dwight D Eisenhower, Republican, 74.43
Forest, Dwight D Eisenhower, Republican, 52.47
Grant, Dwight D Eisenhower, Republican, 77.21
Green, Dwight D Eisenhower, Republican, 70.46
Green Lake, Dwight D Eisenhower, Republican, 79.27
Iowa, Dwight D Eisenhower, Republican, 69.38
Iron, Adlai Stevenson, Democrat, 60.28
Jackson, Dwight D Eisenhower, Republican, 59.89
Jefferson, Dwight D Eisenhower, Republican, 66.93
Juneau, Dwight D Eisenhower, Republican, 73.22
Kenosha, Adlai Stevenson, Democrat, 50.91
Kewaunee, Dwight D Eisenhower, Republican, 76.42
La Crosse, Dwight D Eisenhower, Republican, 61.9
Lafayette, Dwight D Eisenhower, Republican, 66.23
Langlade, Dwight D Eisenhower, Republican, 63.02
Lincoln, Dwight D Eisenhower, Republican, 68.72
Manitowoc, Dwight D Eisenhower, Republican, 61.32
Marathon, Dwight D Eisenhower, Republican, 58.52
Marinette, Dwight D Eisenhower, Republican, 61.73
Marquette, Dwight D Eisenhower, Republican, 80.11
Milwaukee, Dwight D Eisenhower, Republican, 51.52
Monroe, Dwight D Eisenhower, Republican, 69.98
Oconto, Dwight D Eisenhower, Republican, 69.58
Oneida, Dwight D Eisenhower, Republican, 61.86
Outagamie, Dwight D Eisenhower, Republican, 73.86
Ozaukee, Dwight D Eisenhower, Republican, 66.97
Pepin, Dwight D Eisenhower, Republican, 72.14
Pierce, Dwight D Eisenhower, Republican, 67.49
Polk, Dwight D Eisenhower, Republican, 61.74
Portage, Dwight D Eisenhower, Republican, 52.83
Price, Dwight D Eisenhower, Republican, 58.42
Racine, Dwight D Eisenhower, Republican, 54.65
Richland, Dwight D Eisenhower, Republican, 74.42
Rock, Dwight D Eisenhower, Republican, 64.64
Rusk, Dwight D Eisenhower, Republican, 59.36
Sauk, Dwight D Eisenhower, Republican, 69.89
Sawyer, Dwight D Eisenhower, Republican, 67.02
Shawano, Dwight D Eisenhower, Republican, 76.76
Sheboygan, Dwight D Eisenhower, Republican, 59
St. Croix, Dwight D Eisenhower, Republican, 59.78
Taylor, Dwight D Eisenhower, Republican, 63.45
Trempealeau, Dwight D Eisenhower, Republican, 61.63
Vernon, Dwight D Eisenhower, Republican, 65.33
Vilas, Dwight D Eisenhower, Republican, 70.85
Walworth, Dwight D Eisenhower, Republican, 75.57
Washburn, Dwight D Eisenhower, Republican, 60.8
Washington, Dwight D Eisenhower, Republican, 73.84
Waukesha, Dwight D Eisenhower, Republican, 65.58
Waupaca, Dwight D Eisenhower, Republican, 81.38
Waushara, Dwight D Eisenhower, Republican, 81.14
Winnebago, Dwight D Eisenhower, Republican, 68.17
Wood, Dwight D Eisenhower, Republican, 67.62
