Hinsdale, Dwight D Eisenhower, Republican, 76.73
Larimer, Dwight D Eisenhower, Republican, 71.77
Rio Blanco, Dwight D Eisenhower, Republican, 71.47
Grand, Dwight D Eisenhower, Republican, 71.33
Kit Carson, Dwight D Eisenhower, Republican, 70.96
Park, Dwight D Eisenhower, Republican, 70.58
Moffat, Dwight D Eisenhower, Republican, 68.8
Douglas, Dwight D Eisenhower, Republican, 68.08
Fremont, Dwight D Eisenhower, Republican, 67.4
Boulder, Dwight D Eisenhower, Republican, 66.89
Custer, Dwight D Eisenhower, Republican, 66.83
La Plata, Dwight D Eisenhower, Republican, 66.81
Jackson, Dwight D Eisenhower, Republican, 66.59
Teller, Dwight D Eisenhower, Republican, 66.42
Ouray, Dwight D Eisenhower, Republican, 65.9
Rio Grande, Dwight D Eisenhower, Republican, 66.04
Washington, Dwight D Eisenhower, Republican, 65.2
Clear Creek, Dwight D Eisenhower, Republican, 64.87
Elbert, Dwight D Eisenhower, Republican, 64.75
Delta, Dwight D Eisenhower, Republican, 64.71
Kiowa, Dwight D Eisenhower, Republican, 64.64
Logan, Dwight D Eisenhower, Republican, 64.5
Summit, Dwight D Eisenhower, Republican, 64.61
Yuma, Dwight D Eisenhower, Republican, 64.26
Morgan, Dwight D Eisenhower, Republican, 64.17
Jefferson, Dwight D Eisenhower, Republican, 63.71
Montezuma, Dwight D Eisenhower, Republican, 63.59
Chaffee, Dwight D Eisenhower, Republican, 63.67
Sedgwick, Dwight D Eisenhower, Republican, 63.55
Arapahoe, Dwight D Eisenhower, Republican, 63.11
Phillips, Dwight D Eisenhower, Republican, 63.35
Garfield, Dwight D Eisenhower, Republican, 62.9
Mesa, Dwight D Eisenhower, Republican, 62.79
Mineral, Dwight D Eisenhower, Republican, 62.69
Weld, Dwight D Eisenhower, Republican, 62.75
Alamosa, Dwight D Eisenhower, Republican, 62.33
Gunnison, Dwight D Eisenhower, Republican, 62.31
Pitkin, Dwight D Eisenhower, Republican, 62.15
Montrose, Dwight D Eisenhower, Republican, 62.04
Crowley, Dwight D Eisenhower, Republican, 62.05
Cheyenne, Dwight D Eisenhower, Republican, 61.7
Gilpin, Dwight D Eisenhower, Republican, 61.66
Otero, Dwight D Eisenhower, Republican, 61.53
Lincoln, Dwight D Eisenhower, Republican, 61.25
Dolores, Dwight D Eisenhower, Republican, 60.38
Archuleta, Dwight D Eisenhower, Republican, 59.91
Baca, Dwight D Eisenhower, Republican, 59.63
El Paso, Dwight D Eisenhower, Republican, 58.46
San Juan, Dwight D Eisenhower, Republican, 58.38
Saguache, Dwight D Eisenhower, Republican, 58.03
San Miguel, Dwight D Eisenhower, Republican, 57.86
Prowers, Dwight D Eisenhower, Republican, 57.61
Routt, Dwight D Eisenhower, Republican, 57.55
Eagle, Dwight D Eisenhower, Republican, 57.36
Bent, Dwight D Eisenhower, Republican, 57.25
Denver, Dwight D Eisenhower, Republican, 55.91
Conejos, Dwight D Eisenhower, Republican, 55.89
Pueblo, Dwight D Eisenhower, Republican, 52.34
Adams, Dwight D Eisenhower, Republican, 52.23
Lake, Dwight D Eisenhower, Republican, 51.31
Las Animas, Dwight D Eisenhower, Republican, 50.8
Huerfano, Adlai Stevenson, Democrat, 51.82
Costilla, Adlai Stevenson, Democrat, 55.72
