Androscoggin, Dwight D Eisenhower, Republican, 56.27
Aroostook, Dwight D Eisenhower, Republican, 72.44
Cumberland, Dwight D Eisenhower, Republican, 71.88
Franklin, Dwight D Eisenhower, Republican, 78.97
Hancock, Dwight D Eisenhower, Republican, 86.91
Kennebec, Dwight D Eisenhower, Republican, 66.73
Knox, Dwight D Eisenhower, Republican, 81.32
Lincoln, Dwight D Eisenhower, Republican, 86.07
Oxford, Dwight D Eisenhower, Republican, 73.04
Penobscot, Dwight D Eisenhower, Republican, 76.44
Piscataquis, Dwight D Eisenhower, Republican, 77.59
Sagadahoc, Dwight D Eisenhower, Republican, 72.94
Somerset, Dwight D Eisenhower, Republican, 71.77
Waldo, Dwight D Eisenhower, Republican, 82.64
Washington, Dwight D Eisenhower, Republican, 76.2
York, Dwight D Eisenhower, Republican, 62.03
