Adair, Dwight D Eisenhower, Republican, 60.89
Andrew, Dwight D Eisenhower, Republican, 60.13
Atchison, Dwight D Eisenhower, Republican, 54.45
Audrain, Adlai Stevenson, Democrat, 56.06
Barry, Dwight D Eisenhower, Republican, 57.27
Barton, Dwight D Eisenhower, Republican, 55.18
Bates, Dwight D Eisenhower, Republican, 55.97
Benton, Dwight D Eisenhower, Republican, 66.8
Bollinger, Dwight D Eisenhower, Republican, 56.56
Boone, Adlai Stevenson, Democrat, 55.93
Buchanan, Dwight D Eisenhower, Republican, 52.49
Butler, Dwight D Eisenhower, Republican, 55.15
Caldwell, Dwight D Eisenhower, Republican, 62.51
Callaway, Adlai Stevenson, Democrat, 59.12
Camden, Dwight D Eisenhower, Republican, 65.86
Cape Girardeau, Dwight D Eisenhower, Republican, 58.22
Carroll, Dwight D Eisenhower, Republican, 58.06
Carter, Adlai Stevenson, Democrat, 50.81
Cass, Dwight D Eisenhower, Republican, 50.06
Cedar, Dwight D Eisenhower, Republican, 65.57
Chariton, Adlai Stevenson, Democrat, 51.49
Christian, Dwight D Eisenhower, Republican, 68.33
Clark, Dwight D Eisenhower, Republican, 54.46
Clay, Adlai Stevenson, Democrat, 50.31
Clinton, Dwight D Eisenhower, Republican, 50.42
Cole, Dwight D Eisenhower, Republican, 55.79
Cooper, Dwight D Eisenhower, Republican, 58.72
Crawford, Dwight D Eisenhower, Republican, 59.41
Dade, Dwight D Eisenhower, Republican, 64.1
Dallas, Dwight D Eisenhower, Republican, 65.12
Daviess, Dwight D Eisenhower, Republican, 56.02
DeKalb, Dwight D Eisenhower, Republican, 57.55
Dent, Adlai Stevenson, Democrat, 52.7
Douglas, Dwight D Eisenhower, Republican, 71.98
Dunklin, Adlai Stevenson, Democrat, 63.76
Franklin, Dwight D Eisenhower, Republican, 58.04
Gasconade, Dwight D Eisenhower, Republican, 78.97
Gentry, Dwight D Eisenhower, Republican, 53.15
Greene, Dwight D Eisenhower, Republican, 59.71
Grundy, Dwight D Eisenhower, Republican, 60.06
Harrison, Dwight D Eisenhower, Republican, 62.19
Henry, Dwight D Eisenhower, Republican, 54.16
Hickory, Dwight D Eisenhower, Republican, 70.5
Holt, Dwight D Eisenhower, Republican, 62.77
Howard, Adlai Stevenson, Democrat, 61.93
Howell, Dwight D Eisenhower, Republican, 64.09
Iron, Adlai Stevenson, Democrat, 52.12
Jackson, Adlai Stevenson, Democrat, 52.22
Jasper, Dwight D Eisenhower, Republican, 60.36
Jefferson, Adlai Stevenson, Democrat, 56.42
Johnson, Dwight D Eisenhower, Republican, 59.3
Knox, Dwight D Eisenhower, Republican, 51.11
Laclede, Dwight D Eisenhower, Republican, 60.71
Lafayette, Dwight D Eisenhower, Republican, 57.22
Lawrence, Dwight D Eisenhower, Republican, 60.62
Lewis, Adlai Stevenson, Democrat, 54.25
Lincoln, Adlai Stevenson, Democrat, 56.17
Linn, Adlai Stevenson, Democrat, 50.13
Livingston, Dwight D Eisenhower, Republican, 57.71
Macon, Dwight D Eisenhower, Republican, 51.98
Madison, Dwight D Eisenhower, Republican, 54.79
Maries, Adlai Stevenson, Democrat, 57.52
Marion, Adlai Stevenson, Democrat, 54.86
McDonald, Dwight D Eisenhower, Republican, 56.94
Mercer, Dwight D Eisenhower, Republican, 64.73
Miller, Dwight D Eisenhower, Republican, 61.71
Mississippi, Adlai Stevenson, Democrat, 63.38
Moniteau, Dwight D Eisenhower, Republican, 55.93
Monroe, Adlai Stevenson, Democrat, 76.82
Montgomery, Dwight D Eisenhower, Republican, 54.76
Morgan, Dwight D Eisenhower, Republican, 59.75
New Madrid, Adlai Stevenson, Democrat, 70.33
Newton, Dwight D Eisenhower, Republican, 58.49
Nodaway, Dwight D Eisenhower, Republican, 54.3
Oregon, Adlai Stevenson, Democrat, 63.25
Osage, Dwight D Eisenhower, Republican, 55.72
Ozark, Dwight D Eisenhower, Republican, 70.71
Pemiscot, Adlai Stevenson, Democrat, 67.02
Perry, Dwight D Eisenhower, Republican, 65.22
Pettis, Dwight D Eisenhower, Republican, 55.3
Phelps, Dwight D Eisenhower, Republican, 50.06
Pike, Adlai Stevenson, Democrat, 54.92
Platte, Adlai Stevenson, Democrat, 59.45
Polk, Dwight D Eisenhower, Republican, 59.77
Pulaski, Adlai Stevenson, Democrat, 53.69
Putnam, Dwight D Eisenhower, Republican, 70.57
Ralls, Adlai Stevenson, Democrat, 65.72
