Atlantic, Dwight D Eisenhower, Republican, 65.7
Bergen, Dwight D Eisenhower, Republican, 75.22
Burlington, Dwight D Eisenhower, Republican, 61.06
Camden, Dwight D Eisenhower, Republican, 52.85
Cape May, Dwight D Eisenhower, Republican, 74.02
Cumberland, Dwight D Eisenhower, Republican, 58.07
Essex, Dwight D Eisenhower, Republican, 60.45
Gloucester, Dwight D Eisenhower, Republican, 60.41
Hudson, Dwight D Eisenhower, Republican, 61.8
Hunterdon, Dwight D Eisenhower, Republican, 72.77
Mercer, Dwight D Eisenhower, Republican, 51.35
Middlesex, Dwight D Eisenhower, Republican, 60.54
Monmouth, Dwight D Eisenhower, Republican, 71.8
Morris, Dwight D Eisenhower, Republican, 79.37
Ocean, Dwight D Eisenhower, Republican, 74.8
Passaic, Dwight D Eisenhower, Republican, 60.71
Salem, Dwight D Eisenhower, Republican, 60.16
Somerset, Dwight D Eisenhower, Republican, 71.85
Sussex, Dwight D Eisenhower, Republican, 80.67
Union, Dwight D Eisenhower, Republican, 67.57
Warren, Dwight D Eisenhower, Republican, 66.95
