San Juan, Dwight D Eisenhower, Republican, 68.17
Sierra, Dwight D Eisenhower, Republican, 65.16
Lincoln, Dwight D Eisenhower, Republican, 64.81
Bernalillo, Dwight D Eisenhower, Republican, 64.54
Chaves, Dwight D Eisenhower, Republican, 63.69
Harding, Dwight D Eisenhower, Republican, 61.96
Socorro, Dwight D Eisenhower, Republican, 61.57
Union, Dwight D Eisenhower, Republican, 60.85
Otero, Dwight D Eisenhower, Republican, 60.48
Catron, Dwight D Eisenhower, Republican, 59.85
De Baca, Dwight D Eisenhower, Republican, 59.47
Doña Ana, Dwight D Eisenhower, Republican, 58.7
Mora, Dwight D Eisenhower, Republican, 58.47
Curry, Dwight D Eisenhower, Republican, 57.5
Santa Fe, Dwight D Eisenhower, Republican, 57.09
McKinley, Dwight D Eisenhower, Republican, 57.18
Valencia, Dwight D Eisenhower, Republican, 56.8
Torrance, Dwight D Eisenhower, Republican, 56.57
Guadalupe, Dwight D Eisenhower, Republican, 56.19
San Miguel, Dwight D Eisenhower, Republican, 55.67
Sandoval, Dwight D Eisenhower, Republican, 55.67
Colfax, Dwight D Eisenhower, Republican, 54.71
Roosevelt, Dwight D Eisenhower, Republican, 54.63
Quay, Dwight D Eisenhower, Republican, 53.66
Taos, Dwight D Eisenhower, Republican, 53.05
Los Alamos, Dwight D Eisenhower, Republican, 52.04
Rio Arriba, Dwight D Eisenhower, Republican, 51.55
Hidalgo, Dwight D Eisenhower, Republican, 50.61
Luna, Dwight D Eisenhower, Republican, 50.05
Lea, Adlai Stevenson, Democrat, 51.92
Eddy, Adlai Stevenson, Democrat, 53.66
Grant, Adlai Stevenson, Democrat, 56.06
