Adair, Dwight D Eisenhower, Republican, 56.59
Alfalfa, Dwight D Eisenhower, Republican, 70.34
Atoka, Adlai Stevenson, Democrat, 58.34
Beaver, Dwight D Eisenhower, Republican, 68.38
Beckham, Adlai Stevenson, Democrat, 52.72
Blaine, Dwight D Eisenhower, Republican, 67.64
Bryan, Adlai Stevenson, Democrat, 66.09
Caddo, Adlai Stevenson, Democrat, 52.47
Canadian, Dwight D Eisenhower, Republican, 59.41
Carter, Adlai Stevenson, Democrat, 60.99
Cherokee, Dwight D Eisenhower, Republican, 52.28
Choctaw, Adlai Stevenson, Democrat, 61.13
Cimarron, Dwight D Eisenhower, Republican, 56.46
Cleveland, Dwight D Eisenhower, Republican, 56.47
Coal, Adlai Stevenson, Democrat, 63.43
Comanche, Adlai Stevenson, Democrat, 53.76
Cotton, Adlai Stevenson, Democrat, 57.47
Craig, Dwight D Eisenhower, Republican, 53.29
Creek, Dwight D Eisenhower, Republican, 53.87
Custer, Dwight D Eisenhower, Republican, 58.02
Delaware, Dwight D Eisenhower, Republican, 53.47
Dewey, Dwight D Eisenhower, Republican, 56.7
Ellis, Dwight D Eisenhower, Republican, 67.56
Garfield, Dwight D Eisenhower, Republican, 69.39
Garvin, Adlai Stevenson, Democrat, 62.62
Grady, Adlai Stevenson, Democrat, 56.61
Grant, Dwight D Eisenhower, Republican, 58.81
Greer, Adlai Stevenson, Democrat, 55.99
Harmon, Adlai Stevenson, Democrat, 67.56
Harper, Dwight D Eisenhower, Republican, 68.44
Haskell, Adlai Stevenson, Democrat, 57.53
Hughes, Adlai Stevenson, Democrat, 60.59
Jackson, Adlai Stevenson, Democrat, 65.43
Jefferson, Adlai Stevenson, Democrat, 68.16
Johnston, Adlai Stevenson, Democrat, 65.86
Kay, Dwight D Eisenhower, Republican, 64.77
Kingfisher, Dwight D Eisenhower, Republican, 70.23
Kiowa, Adlai Stevenson, Democrat, 55.41
Latimer, Adlai Stevenson, Democrat, 58.98
Le Flore, Adlai Stevenson, Democrat, 55.04
Lincoln, Dwight D Eisenhower, Republican, 56.09
Logan, Dwight D Eisenhower, Republican, 64.94
Love, Adlai Stevenson, Democrat, 70.61
Major, Dwight D Eisenhower, Republican, 74.82
Marshall, Adlai Stevenson, Democrat, 64.6
Mayes, Dwight D Eisenhower, Republican, 55.43
McClain, Adlai Stevenson, Democrat, 58.89
McCurtain, Adlai Stevenson, Democrat, 63.75
McIntosh, Adlai Stevenson, Democrat, 55.94
Murray, Adlai Stevenson, Democrat, 57.84
Muskogee, Dwight D Eisenhower, Republican, 51.5
Noble, Dwight D Eisenhower, Republican, 63.68
Nowata, Dwight D Eisenhower, Republican, 58.28
Okfuskee, Adlai Stevenson, Democrat, 50.35
Oklahoma, Dwight D Eisenhower, Republican, 59.76
Okmulgee, Adlai Stevenson, Democrat, 53.22
Osage, Dwight D Eisenhower, Republican, 55.13
Ottawa, Dwight D Eisenhower, Republican, 54.05
Pawnee, Dwight D Eisenhower, Republican, 59.96
Payne, Dwight D Eisenhower, Republican, 59.75
Pittsburg, Adlai Stevenson, Democrat, 61.54
Pontotoc, Adlai Stevenson, Democrat, 55.28
Pottawatomie, Adlai Stevenson, Democrat, 51.15
Pushmataha, Adlai Stevenson, Democrat, 60.26
Roger Mills, Adlai Stevenson, Democrat, 56.05
Rogers, Dwight D Eisenhower, Republican, 58.49
Seminole, Adlai Stevenson, Democrat, 53
Sequoyah, Adlai Stevenson, Democrat, 51.67
Stephens, Adlai Stevenson, Democrat, 54.33
Texas, Dwight D Eisenhower, Republican, 63.77
Tillman, Adlai Stevenson, Democrat, 65.03
Tulsa, Dwight D Eisenhower, Republican, 65.51
Wagoner, Dwight D Eisenhower, Republican, 58.16
Washington, Dwight D Eisenhower, Republican, 69.31
Washita, Adlai Stevenson, Democrat, 55.56
Woods, Dwight D Eisenhower, Republican, 64.08
Woodward, Dwight D Eisenhower, Republican, 67.79
