Aurora, Adlai Stevenson, Democrat, 56.57
Beadle, Dwight D Eisenhower, Republican, 53.06
Bennett, Dwight D Eisenhower, Republican, 52.13
Bon Homme, Dwight D Eisenhower, Republican, 55.7
Brookings, Dwight D Eisenhower, Republican, 66.89
Brown, Dwight D Eisenhower, Republican, 53.28
Brule, Adlai Stevenson, Democrat, 58.98
Buffalo, Adlai Stevenson, Democrat, 50.32
Butte, Dwight D Eisenhower, Republican, 68.46
Campbell, Dwight D Eisenhower, Republican, 81.44
Charles Mix, Adlai Stevenson, Democrat, 58.6
Clark, Dwight D Eisenhower, Republican, 58.83
Clay, Dwight D Eisenhower, Republican, 57.72
Codington, Dwight D Eisenhower, Republican, 57.72
Corson, Dwight D Eisenhower, Republican, 55.63
Custer, Dwight D Eisenhower, Republican, 63.96
Davison, Dwight D Eisenhower, Republican, 51.57
Day, Adlai Stevenson, Democrat, 52.84
Deuel, Dwight D Eisenhower, Republican, 55.47
Dewey, Dwight D Eisenhower, Republican, 56.76
Douglas, Dwight D Eisenhower, Republican, 67.81
Edmunds, Dwight D Eisenhower, Republican, 51.61
Fall River, Dwight D Eisenhower, Republican, 67.39
Faulk, Dwight D Eisenhower, Republican, 52.17
Grant, Dwight D Eisenhower, Republican, 55.87
Gregory, Dwight D Eisenhower, Republican, 52.01
Haakon, Dwight D Eisenhower, Republican, 61.18
Hamlin, Dwight D Eisenhower, Republican, 61.68
Hand, Dwight D Eisenhower, Republican, 55.39
Hanson, Adlai Stevenson, Democrat, 53.06
Harding, Dwight D Eisenhower, Republican, 63.35
Hughes, Dwight D Eisenhower, Republican, 63.41
Hutchinson, Dwight D Eisenhower, Republican, 73.16
Hyde, Dwight D Eisenhower, Republican, 55.84
Jackson, Dwight D Eisenhower, Republican, 54.57
Jerauld, Dwight D Eisenhower, Republican, 53.9
Jones, Dwight D Eisenhower, Republican, 56.06
Kingsbury, Dwight D Eisenhower, Republican, 64.92
Lake, Dwight D Eisenhower, Republican, 62.32
Lawrence, Dwight D Eisenhower, Republican, 71.33
Lincoln, Dwight D Eisenhower, Republican, 62.24
Lyman, Dwight D Eisenhower, Republican, 56.87
Marshall, Dwight D Eisenhower, Republican, 50.06
McCook, Dwight D Eisenhower, Republican, 57.54
McPherson, Dwight D Eisenhower, Republican, 77.85
Meade, Dwight D Eisenhower, Republican, 59.81
Mellette, Dwight D Eisenhower, Republican, 55.29
Miner, Adlai Stevenson, Democrat, 51.03
Minnehaha, Dwight D Eisenhower, Republican, 62.99
Moody, Dwight D Eisenhower, Republican, 53.69
Pennington, Dwight D Eisenhower, Republican, 67.26
Perkins, Dwight D Eisenhower, Republican, 59.41
Potter, Dwight D Eisenhower, Republican, 63.16
Roberts, Adlai Stevenson, Democrat, 53.21
Sanborn, Dwight D Eisenhower, Republican, 50.48
Shannon, Adlai Stevenson, Democrat, 55.46
Spink, Adlai Stevenson, Democrat, 51.71
Stanley, Dwight D Eisenhower, Republican, 50.87
Sully, Dwight D Eisenhower, Republican, 59.51
Todd, Adlai Stevenson, Democrat, 52.69
Tripp, Dwight D Eisenhower, Republican, 52.94
Turner, Dwight D Eisenhower, Republican, 70.89
Union, Dwight D Eisenhower, Republican, 52.94
Walworth, Dwight D Eisenhower, Republican, 60.21
Washabaugh, Dwight D Eisenhower, Republican, 58.89
Yankton, Dwight D Eisenhower, Republican, 57.63
Ziebach, Dwight D Eisenhower, Republican, 57.05
