Adams, Richard M Nixon, Republican, 55.7
Alexander, John F Kennedy, Democrat, 51.83
Bond, Richard M Nixon, Republican, 60
Boone, Richard M Nixon, Republican, 71.51
Brown, Richard M Nixon, Republican, 50.51
Bureau, Richard M Nixon, Republican, 61.73
Calhoun, Richard M Nixon, Republican, 50.63
Carroll, Richard M Nixon, Republican, 66.7
Cass, Richard M Nixon, Republican, 52.04
Champaign, Richard M Nixon, Republican, 61.16
Christian, John F Kennedy, Democrat, 52.38
Clark, Richard M Nixon, Republican, 57.36
Clay, Richard M Nixon, Republican, 60.13
Clinton, John F Kennedy, Democrat, 51.99
Coles, Richard M Nixon, Republican, 58.45
Cook, John F Kennedy, Democrat, 56.37
Crawford, Richard M Nixon, Republican, 61.58
Cumberland, Richard M Nixon, Republican, 54.91
DeKalb, Richard M Nixon, Republican, 69.62
DeWitt, Richard M Nixon, Republican, 58.4
Douglas, Richard M Nixon, Republican, 61.95
DuPage, Richard M Nixon, Republican, 69.45
Edgar, Richard M Nixon, Republican, 59.37
Edwards, Richard M Nixon, Republican, 69.36
Effingham, Richard M Nixon, Republican, 53.01
Fayette, Richard M Nixon, Republican, 57.25
Ford, Richard M Nixon, Republican, 68.16
Franklin, Richard M Nixon, Republican, 50.98
Fulton, Richard M Nixon, Republican, 53.93
Gallatin, John F Kennedy, Democrat, 52.21
Greene, Richard M Nixon, Republican, 53.78
Grundy, Richard M Nixon, Republican, 61.88
Hamilton, Richard M Nixon, Republican, 58.94
Hancock, Richard M Nixon, Republican, 61.86
Hardin, Richard M Nixon, Republican, 56.96
Henderson, Richard M Nixon, Republican, 60.19
Henry, Richard M Nixon, Republican, 57.91
Iroquois, Richard M Nixon, Republican, 66.09
Jackson, Richard M Nixon, Republican, 55.3
Jasper, Richard M Nixon, Republican, 52.84
Jefferson, Richard M Nixon, Republican, 55.84
Jersey, Richard M Nixon, Republican, 50.9
Jo Daviess, Richard M Nixon, Republican, 58.66
Johnson, Richard M Nixon, Republican, 66.19
Kane, Richard M Nixon, Republican, 63.84
Kankakee, Richard M Nixon, Republican, 54.23
Kendall, Richard M Nixon, Republican, 72.62
Knox, Richard M Nixon, Republican, 60.09
Lake, Richard M Nixon, Republican, 59.02
LaSalle, Richard M Nixon, Republican, 49.98
Lawrence, Richard M Nixon, Republican, 62.45
Lee, Richard M Nixon, Republican, 64.73
Livingston, Richard M Nixon, Republican, 66.42
Logan, Richard M Nixon, Republican, 62.18
Macon, Richard M Nixon, Republican, 50.95
Macoupin, John F Kennedy, Democrat, 52.7
Madison, John F Kennedy, Democrat, 55.96
Marion, Richard M Nixon, Republican, 54.92
Marshall, Richard M Nixon, Republican, 58.14
Mason, Richard M Nixon, Republican, 53.02
Massac, Richard M Nixon, Republican, 63.05
McDonough, Richard M Nixon, Republican, 67.39
McHenry, Richard M Nixon, Republican, 66.97
McLean, Richard M Nixon, Republican, 63.87
Menard, Richard M Nixon, Republican, 60.08
Mercer, Richard M Nixon, Republican, 61.6
Monroe, Richard M Nixon, Republican, 58.17
Montgomery, Richard M Nixon, Republican, 50.97
Morgan, Richard M Nixon, Republican, 57.38
Moultrie, Richard M Nixon, Republican, 54.93
Ogle, Richard M Nixon, Republican, 73.38
Peoria, Richard M Nixon, Republican, 53.77
Perry, Richard M Nixon, Republican, 57.47
Piatt, Richard M Nixon, Republican, 60.9
Pike, Richard M Nixon, Republican, 52.16
Pope, Richard M Nixon, Republican, 63.38
Pulaski, Richard M Nixon, Republican, 52.83
Putnam, Richard M Nixon, Republican, 55.63
Randolph, Richard M Nixon, Republican, 52.05
Richland, Richard M Nixon, Republican, 63.8
Rock Island, John F Kennedy, Democrat, 50.88
Saline, Richard M Nixon, Republican, 56.36
Sangamon, Richard M Nixon, Republican, 53.64
Schuyler, Richard M Nixon, Republican, 59
Scott, Richard M Nixon, Republican, 59.44
Shelby, Richard M Nixon, Republican, 54.53
St. Clair, John F Kennedy, Democrat, 61.38
Stark, Richard M Nixon, Republican, 67.8
Stephenson, Richard M Nixon, Republican, 63.07
Tazewell, Richard M Nixon, Republican, 53.83
Union, Richard M Nixon, Republican, 50.58
Vermilion, Richard M Nixon, Republican, 57.34
Wabash, Richard M Nixon, Republican, 58.55
Warren, Richard M Nixon, Republican, 65.25
Washington, Richard M Nixon, Republican, 61.95
Wayne, Richard M Nixon, Republican, 62.67
White, Richard M Nixon, Republican, 54.93
Whiteside, Richard M Nixon, Republican, 65.56
Will, Richard M Nixon, Republican, 50.86
Williamson, Richard M Nixon, Republican, 54.72
Winnebago, Richard M Nixon, Republican, 55.2
Woodford, Richard M Nixon, Republican, 64.76
