Androscoggin, John F Kennedy, Democrat, 64.04
Aroostook, Richard M Nixon, Republican, 55.82
Cumberland, Richard M Nixon, Republican, 58.49
Franklin, Richard M Nixon, Republican, 65
Hancock, Richard M Nixon, Republican, 78.27
Kennebec, Richard M Nixon, Republican, 54.31
Knox, Richard M Nixon, Republican, 70.41
Lincoln, Richard M Nixon, Republican, 76.39
Oxford, Richard M Nixon, Republican, 56.69
Penobscot, Richard M Nixon, Republican, 59.75
Piscataquis, Richard M Nixon, Republican, 63.43
Sagadahoc, Richard M Nixon, Republican, 61.69
Somerset, Richard M Nixon, Republican, 59.32
Waldo, Richard M Nixon, Republican, 70.64
Washington, Richard M Nixon, Republican, 65.91
York, John F Kennedy, Democrat, 50.39
