San Francisco, Lyndon B Johnson, Democrat, 71.24
Plumas, Lyndon B Johnson, Democrat, 70.35
Solano, Lyndon B Johnson, Democrat, 69.53
Yolo, Lyndon B Johnson, Democrat, 69.52
Kings, Lyndon B Johnson, Democrat, 69.39
Merced, Lyndon B Johnson, Democrat, 68.74
Madera, Lyndon B Johnson, Democrat, 67.75
Shasta, Lyndon B Johnson, Democrat, 67.52
Amador, Lyndon B Johnson, Democrat, 66.89
Sierra, Lyndon B Johnson, Democrat, 66.72
Alameda, Lyndon B Johnson, Democrat, 66.42
Humboldt, Lyndon B Johnson, Democrat, 66.27
Stanislaus, Lyndon B Johnson, Democrat, 66.14
Placer, Lyndon B Johnson, Democrat, 65.96
Sacramento, Lyndon B Johnson, Democrat, 65.68
Lassen, Lyndon B Johnson, Democrat, 65.67
Fresno, Lyndon B Johnson, Democrat, 65.57
Mendocino, Lyndon B Johnson, Democrat, 65.12
San Mateo, Lyndon B Johnson, Democrat, 64.32
Del Norte, Lyndon B Johnson, Democrat, 63.77
Siskiyou, Lyndon B Johnson, Democrat, 63.66
Contra Costa, Lyndon B Johnson, Democrat, 63.44
Trinity, Lyndon B Johnson, Democrat, 63.25
Tuolumne, Lyndon B Johnson, Democrat, 63.16
Santa Clara, Lyndon B Johnson, Democrat, 63.1
Napa, Lyndon B Johnson, Democrat, 62.74
Monterey, Lyndon B Johnson, Democrat, 61.83
San Joaquin, Lyndon B Johnson, Democrat, 61.78
Marin, Lyndon B Johnson, Democrat, 61.65
Sonoma, Lyndon B Johnson, Democrat, 61.49
San Benito, Lyndon B Johnson, Democrat, 60.59
Colusa, Lyndon B Johnson, Democrat, 60.57
Tehama, Lyndon B Johnson, Democrat, 60.42
El Dorado, Lyndon B Johnson, Democrat, 60.3
Tulare, Lyndon B Johnson, Democrat, 60.08
San Luis Obispo, Lyndon B Johnson, Democrat, 59.84
Ventura, Lyndon B Johnson, Democrat, 58.84
Modoc, Lyndon B Johnson, Democrat, 58.73
Kern, Lyndon B Johnson, Democrat, 58.71
Santa Cruz, Lyndon B Johnson, Democrat, 58.53
Calaveras, Lyndon B Johnson, Democrat, 58.27
Yuba, Lyndon B Johnson, Democrat, 57.64
Los Angeles, Lyndon B Johnson, Democrat, 57.43
Mariposa, Lyndon B Johnson, Democrat, 57.41
San Bernardino, Lyndon B Johnson, Democrat, 57.11
Riverside, Lyndon B Johnson, Democrat, 56.79
Nevada, Lyndon B Johnson, Democrat, 56.52
Lake, Lyndon B Johnson, Democrat, 56.37
Santa Barbara, Lyndon B Johnson, Democrat, 55.94
Glenn, Lyndon B Johnson, Democrat, 54.01
Inyo, Lyndon B Johnson, Democrat, 53.44
Imperial, Lyndon B Johnson, Democrat, 51.85
Butte, Lyndon B Johnson, Democrat, 51.54
San Diego, Barry Goldwater, Republican, 50.31
Sutter, Barry Goldwater, Republican, 51.56
Orange, Barry Goldwater, Republican, 55.89
Mono, Barry Goldwater, Republican, 56.07
Alpine, Barry Goldwater, Republican, 57.67
