Costilla, Lyndon B Johnson, Democrat, 80.81
Las Animas, Lyndon B Johnson, Democrat, 77.97
Lake, Lyndon B Johnson, Democrat, 77.42
Huerfano, Lyndon B Johnson, Democrat, 75.23
Pueblo, Lyndon B Johnson, Democrat, 71.97
Mineral, Lyndon B Johnson, Democrat, 69.15
Adams, Lyndon B Johnson, Democrat, 68.99
San Juan, Lyndon B Johnson, Democrat, 68.3
Eagle, Lyndon B Johnson, Democrat, 66.79
San Miguel, Lyndon B Johnson, Democrat, 66.25
Conejos, Lyndon B Johnson, Democrat, 66.09
Denver, Lyndon B Johnson, Democrat, 65.73
Bent, Lyndon B Johnson, Democrat, 64.43
Prowers, Lyndon B Johnson, Democrat, 64.57
Pitkin, Lyndon B Johnson, Democrat, 63.7
Saguache, Lyndon B Johnson, Democrat, 63.71
Gunnison, Lyndon B Johnson, Democrat, 63.04
Archuleta, Lyndon B Johnson, Democrat, 62.7
Routt, Lyndon B Johnson, Democrat, 62.52
Chaffee, Lyndon B Johnson, Democrat, 62.34
Alamosa, Lyndon B Johnson, Democrat, 62.4
Otero, Lyndon B Johnson, Democrat, 62.26
Clear Creek, Lyndon B Johnson, Democrat, 61.46
Gilpin, Lyndon B Johnson, Democrat, 60.5
Dolores, Lyndon B Johnson, Democrat, 60.64
Mesa, Lyndon B Johnson, Democrat, 60.32
Montrose, Lyndon B Johnson, Democrat, 59.76
Kit Carson, Lyndon B Johnson, Democrat, 58.95
Weld, Lyndon B Johnson, Democrat, 58.18
Summit, Lyndon B Johnson, Democrat, 58.33
Crowley, Lyndon B Johnson, Democrat, 58.15
Garfield, Lyndon B Johnson, Democrat, 58.24
Delta, Lyndon B Johnson, Democrat, 57.53
Cheyenne, Lyndon B Johnson, Democrat, 57.29
Fremont, Lyndon B Johnson, Democrat, 57.01
Morgan, Lyndon B Johnson, Democrat, 56.8
Montezuma, Lyndon B Johnson, Democrat, 56.69
Boulder, Lyndon B Johnson, Democrat, 56.38
Jefferson, Lyndon B Johnson, Democrat, 56.19
Ouray, Lyndon B Johnson, Democrat, 55.61
Rio Grande, Lyndon B Johnson, Democrat, 55.88
La Plata, Lyndon B Johnson, Democrat, 55.48
Phillips, Lyndon B Johnson, Democrat, 55
Kiowa, Lyndon B Johnson, Democrat, 54.77
Arapahoe, Lyndon B Johnson, Democrat, 54.4
Logan, Lyndon B Johnson, Democrat, 54.61
Lincoln, Lyndon B Johnson, Democrat, 54.41
Teller, Lyndon B Johnson, Democrat, 54.19
El Paso, Lyndon B Johnson, Democrat, 53.75
Moffat, Lyndon B Johnson, Democrat, 53.4
Custer, Lyndon B Johnson, Democrat, 52.93
Rio Blanco, Lyndon B Johnson, Democrat, 52.7
Grand, Lyndon B Johnson, Democrat, 52.32
Baca, Lyndon B Johnson, Democrat, 52.18
Larimer, Lyndon B Johnson, Democrat, 51.97
Jackson, Lyndon B Johnson, Democrat, 51.82
Douglas, Lyndon B Johnson, Democrat, 51.67
Yuma, Lyndon B Johnson, Democrat, 51.43
Sedgwick, Lyndon B Johnson, Democrat, 51.22
Park, Lyndon B Johnson, Democrat, 51.04
Washington, Barry Goldwater, Republican, 51.6
Elbert, Barry Goldwater, Republican, 51.76
Hinsdale, Barry Goldwater, Republican, 53.23
