Allen, Lyndon B Johnson, Democrat, 53.89
Anderson, Lyndon B Johnson, Democrat, 54.44
Atchison, Lyndon B Johnson, Democrat, 61.21
Barber, Lyndon B Johnson, Democrat, 50.91
Barton, Lyndon B Johnson, Democrat, 60.06
Bourbon, Lyndon B Johnson, Democrat, 54.35
Brown, Barry Goldwater, Republican, 57.01
Butler, Lyndon B Johnson, Democrat, 58.34
Chase, Barry Goldwater, Republican, 50.31
Chautauqua, Barry Goldwater, Republican, 55.42
Cherokee, Lyndon B Johnson, Democrat, 60.23
Cheyenne, Barry Goldwater, Republican, 56.23
Clark, Lyndon B Johnson, Democrat, 52.91
Clay, Barry Goldwater, Republican, 62.18
Cloud, Lyndon B Johnson, Democrat, 54.84
Coffey, Barry Goldwater, Republican, 55.41
Comanche, Lyndon B Johnson, Democrat, 53.67
Cowley, Lyndon B Johnson, Democrat, 51.3
Crawford, Lyndon B Johnson, Democrat, 61.78
Decatur, Barry Goldwater, Republican, 50.96
Dickinson, Barry Goldwater, Republican, 53.17
Doniphan, Barry Goldwater, Republican, 51.05
Douglas, Lyndon B Johnson, Democrat, 54.26
Edwards, Lyndon B Johnson, Democrat, 60.03
Elk, Barry Goldwater, Republican, 55.74
Ellis, Lyndon B Johnson, Democrat, 69.24
Ellsworth, Lyndon B Johnson, Democrat, 59.88
Finney, Lyndon B Johnson, Democrat, 61.86
Ford, Lyndon B Johnson, Democrat, 59.59
Franklin, Lyndon B Johnson, Democrat, 53.64
Geary, Lyndon B Johnson, Democrat, 59.51
Gove, Lyndon B Johnson, Democrat, 56.37
Graham, Barry Goldwater, Republican, 49.58
Grant, Lyndon B Johnson, Democrat, 57.63
Gray, Lyndon B Johnson, Democrat, 63.36
Greeley, Lyndon B Johnson, Democrat, 54.16
Greenwood, Barry Goldwater, Republican, 56.59
Hamilton, Lyndon B Johnson, Democrat, 51.09
Harper, Barry Goldwater, Republican, 51.68
Harvey, Lyndon B Johnson, Democrat, 50.95
Haskell, Lyndon B Johnson, Democrat, 58.2
Hodgeman, Lyndon B Johnson, Democrat, 57.25
Jackson, Barry Goldwater, Republican, 53.83
Jefferson, Barry Goldwater, Republican, 53.07
Jewell, Barry Goldwater, Republican, 53.61
Johnson, Barry Goldwater, Republican, 54.46
Kearny, Lyndon B Johnson, Democrat, 56.05
Kingman, Lyndon B Johnson, Democrat, 53.32
Kiowa, Barry Goldwater, Republican, 53.29
Labette, Lyndon B Johnson, Democrat, 56.12
Lane, Lyndon B Johnson, Democrat, 56.42
Leavenworth, Lyndon B Johnson, Democrat, 57.14
Lincoln, Barry Goldwater, Republican, 50.8
Linn, Barry Goldwater, Republican, 52.7
Logan, Barry Goldwater, Republican, 49.82
Lyon, Lyndon B Johnson, Democrat, 54.07
Marion, Barry Goldwater, Republican, 54.9
Marshall, Barry Goldwater, Republican, 50.31
McPherson, Lyndon B Johnson, Democrat, 52.65
Meade, Barry Goldwater, Republican, 51.77
Miami, Lyndon B Johnson, Democrat, 61.03
Mitchell, Barry Goldwater, Republican, 50.28
Montgomery, Lyndon B Johnson, Democrat, 50.83
Morris, Barry Goldwater, Republican, 50.65
Morton, Lyndon B Johnson, Democrat, 60.09
Nemaha, Lyndon B Johnson, Democrat, 57.36
Neosho, Lyndon B Johnson, Democrat, 57.8
Ness, Lyndon B Johnson, Democrat, 59.73
Norton, Barry Goldwater, Republican, 60.09
Osage, Lyndon B Johnson, Democrat, 50.13
Osborne, Barry Goldwater, Republican, 49.99
Ottawa, Lyndon B Johnson, Democrat, 50.29
Pawnee, Lyndon B Johnson, Democrat, 63.25
Phillips, Barry Goldwater, Republican, 54.1
Pottawatomie, Barry Goldwater, Republican, 51.4
Pratt, Lyndon B Johnson, Democrat, 50.58
Rawlins, Barry Goldwater, Republican, 57.14
Reno, Lyndon B Johnson, Democrat, 62.3
Republic, Barry Goldwater, Republican, 51.65
Rice, Lyndon B Johnson, Democrat, 60.1
Riley, Barry Goldwater, Republican, 52.7
Rooks, Barry Goldwater, Republican, 50.59
Rush, Lyndon B Johnson, Democrat, 61.29
Russell, Lyndon B Johnson, Democrat, 50.33
Saline, Lyndon B Johnson, Democrat, 59.45
Scott, Barry Goldwater, Republican, 52.5
Sedgwick, Lyndon B Johnson, Democrat, 55.23
Seward, Barry Goldwater, Republican, 53.28
Shawnee, Lyndon B Johnson, Democrat, 54.09
Sheridan, Lyndon B Johnson, Democrat, 55.66
Sherman, Lyndon B Johnson, Democrat, 50.56
Smith, Barry Goldwater, Republican, 52.34
Stafford, Lyndon B Johnson, Democrat, 57.32
Stanton, Lyndon B Johnson, Democrat, 51.55
Stevens, Lyndon B Johnson, Democrat, 49.8
Sumner, Lyndon B Johnson, Democrat, 53.34
Thomas, Lyndon B Johnson, Democrat, 53.55
Trego, Lyndon B Johnson, Democrat, 54.44
Wabaunsee, Barry Goldwater, Republican, 58.34
Wallace, Barry Goldwater, Republican, 50.69
Washington, Barry Goldwater, Republican, 56.41
Wichita, Lyndon B Johnson, Democrat, 55.3
Wilson, Barry Goldwater, Republican, 52.54
Woodson, Barry Goldwater, Republican, 52.61
Wyandotte, Lyndon B Johnson, Democrat, 66.47
