Adams, Lyndon B Johnson, Democrat, 53.55
Antelope, Barry Goldwater, Republican, 56.15
Arthur, Barry Goldwater, Republican, 65.85
Banner, Barry Goldwater, Republican, 64.56
Blaine, Barry Goldwater, Republican, 62.57
Boone, Lyndon B Johnson, Democrat, 50.16
Box Butte, Barry Goldwater, Republican, 58.07
Boyd, Barry Goldwater, Republican, 54.78
Brown, Barry Goldwater, Republican, 58.97
Buffalo, Lyndon B Johnson, Democrat, 50.05
Burt, Barry Goldwater, Republican, 54.25
Butler, Lyndon B Johnson, Democrat, 64.57
Cass, Lyndon B Johnson, Democrat, 57.43
Cedar, Lyndon B Johnson, Democrat, 57.45
Chase, Barry Goldwater, Republican, 54.38
Cherry, Barry Goldwater, Republican, 61.11
Cheyenne, Barry Goldwater, Republican, 53.78
Clay, Lyndon B Johnson, Democrat, 51.57
Colfax, Lyndon B Johnson, Democrat, 52.81
Cuming, Barry Goldwater, Republican, 57.5
Custer, Barry Goldwater, Republican, 52.98
Dakota, Lyndon B Johnson, Democrat, 58.2
Dawes, Barry Goldwater, Republican, 61.61
Dawson, Barry Goldwater, Republican, 54.7
Deuel, Barry Goldwater, Republican, 64.58
Dixon, Lyndon B Johnson, Democrat, 50.89
Dodge, Barry Goldwater, Republican, 50.3
Douglas, Lyndon B Johnson, Democrat, 55.7
Dundy, Barry Goldwater, Republican, 56.13
Fillmore, Lyndon B Johnson, Democrat, 56.33
Franklin, Lyndon B Johnson, Democrat, 53.17
Frontier, Barry Goldwater, Republican, 56.45
Furnas, Barry Goldwater, Republican, 54.65
Gage, Lyndon B Johnson, Democrat, 61.37
Garden, Barry Goldwater, Republican, 66.43
Garfield, Barry Goldwater, Republican, 61.17
Gosper, Barry Goldwater, Republican, 51.65
Grant, Barry Goldwater, Republican, 60.44
Greeley, Lyndon B Johnson, Democrat, 62.74
Hall, Lyndon B Johnson, Democrat, 55.2
Hamilton, Barry Goldwater, Republican, 52.74
Harlan, Barry Goldwater, Republican, 51.78
Hayes, Barry Goldwater, Republican, 58.15
Hitchcock, Barry Goldwater, Republican, 54.84
Holt, Barry Goldwater, Republican, 53.83
Hooker, Barry Goldwater, Republican, 70.97
Howard, Lyndon B Johnson, Democrat, 66.52
Jefferson, Lyndon B Johnson, Democrat, 55.21
Johnson, Lyndon B Johnson, Democrat, 54.22
Kearney, Lyndon B Johnson, Democrat, 56.65
Keith, Barry Goldwater, Republican, 51.93
Keya Paha, Barry Goldwater, Republican, 61.26
Kimball, Barry Goldwater, Republican, 55.88
Knox, Barry Goldwater, Republican, 51.26
Lancaster, Lyndon B Johnson, Democrat, 59.09
Lincoln, Lyndon B Johnson, Democrat, 57.26
Logan, Lyndon B Johnson, Democrat, 52.58
Loup, Barry Goldwater, Republican, 66.41
Madison, Barry Goldwater, Republican, 56.91
McPherson, Barry Goldwater, Republican, 67.8
Merrick, Barry Goldwater, Republican, 50.81
Morrill, Barry Goldwater, Republican, 57.32
Nance, Lyndon B Johnson, Democrat, 53.39
Nemaha, Lyndon B Johnson, Democrat, 51.84
Nuckolls, Lyndon B Johnson, Democrat, 58.52
Otoe, Barry Goldwater, Republican, 53.36
Pawnee, Barry Goldwater, Republican, 51.21
Perkins, Barry Goldwater, Republican, 50.98
Phelps, Barry Goldwater, Republican, 53.12
Pierce, Barry Goldwater, Republican, 54.64
Platte, Lyndon B Johnson, Democrat, 52.31
Polk, Lyndon B Johnson, Democrat, 51.84
Red Willow, Barry Goldwater, Republican, 53.14
Richardson, Lyndon B Johnson, Democrat, 53.24
Rock, Barry Goldwater, Republican, 68.95
Saline, Lyndon B Johnson, Democrat, 69.86
Sarpy, Lyndon B Johnson, Democrat, 55.82
Saunders, Lyndon B Johnson, Democrat, 55.5
Scotts Bluff, Barry Goldwater, Republican, 52.24
Seward, Lyndon B Johnson, Democrat, 60.11
Sheridan, Barry Goldwater, Republican, 67.85
Sherman, Lyndon B Johnson, Democrat, 68.17
Sioux, Barry Goldwater, Republican, 64.81
Stanton, Barry Goldwater, Republican, 56.16
Thayer, Lyndon B Johnson, Democrat, 51.87
Thomas, Barry Goldwater, Republican, 60.08
Thurston, Lyndon B Johnson, Democrat, 58.74
Valley, Barry Goldwater, Republican, 51.75
Washington, Lyndon B Johnson, Democrat, 50.59
Wayne, Barry Goldwater, Republican, 59.14
Webster, Lyndon B Johnson, Democrat, 58.18
Wheeler, Barry Goldwater, Republican, 56.11
York, Barry Goldwater, Republican, 54.63
