Adams, Barry Goldwater, Republican, 52.45
Asotin, Lyndon B Johnson, Democrat, 67.27
Benton, Lyndon B Johnson, Democrat, 58.68
Chelan, Lyndon B Johnson, Democrat, 57.77
Clallam, Lyndon B Johnson, Democrat, 68.86
Clark, Lyndon B Johnson, Democrat, 70.21
Columbia, Lyndon B Johnson, Democrat, 52.03
Cowlitz, Lyndon B Johnson, Democrat, 71.85
Douglas, Lyndon B Johnson, Democrat, 58.47
Ferry, Lyndon B Johnson, Democrat, 63.81
Franklin, Lyndon B Johnson, Democrat, 63.38
Garfield, Lyndon B Johnson, Democrat, 50.98
Grant, Lyndon B Johnson, Democrat, 57.89
Grays Harbor, Lyndon B Johnson, Democrat, 74.46
Island, Lyndon B Johnson, Democrat, 56.38
Jefferson, Lyndon B Johnson, Democrat, 67.59
King, Lyndon B Johnson, Democrat, 59.52
Kitsap, Lyndon B Johnson, Democrat, 71.34
Kittitas, Lyndon B Johnson, Democrat, 62.65
Klickitat, Lyndon B Johnson, Democrat, 67.31
Lewis, Lyndon B Johnson, Democrat, 63.45
Lincoln, Barry Goldwater, Republican, 55.84
Mason, Lyndon B Johnson, Democrat, 68.32
Okanogan, Lyndon B Johnson, Democrat, 62.45
Pacific, Lyndon B Johnson, Democrat, 73.7
Pend Oreille, Lyndon B Johnson, Democrat, 66.71
Pierce, Lyndon B Johnson, Democrat, 67.13
San Juan, Lyndon B Johnson, Democrat, 51.77
Skagit, Lyndon B Johnson, Democrat, 63.72
Skamania, Lyndon B Johnson, Democrat, 72.83
Snohomish, Lyndon B Johnson, Democrat, 67.58
Spokane, Lyndon B Johnson, Democrat, 55.65
Stevens, Lyndon B Johnson, Democrat, 56.29
Thurston, Lyndon B Johnson, Democrat, 65.05
Wahkiakum, Lyndon B Johnson, Democrat, 72.35
Walla Walla, Lyndon B Johnson, Democrat, 53.89
Whatcom, Lyndon B Johnson, Democrat, 64.59
Whitman, Barry Goldwater, Republican, 49.97
Yakima, Lyndon B Johnson, Democrat, 56.14
