Adams, Lyndon B Johnson, Democrat, 64.83
Ashland, Lyndon B Johnson, Democrat, 70.91
Barron, Lyndon B Johnson, Democrat, 59.28
Bayfield, Lyndon B Johnson, Democrat, 67.08
Brown, Lyndon B Johnson, Democrat, 59.26
Buffalo, Lyndon B Johnson, Democrat, 63.6
Burnett, Lyndon B Johnson, Democrat, 65.45
Calumet, Lyndon B Johnson, Democrat, 57.75
Chippewa, Lyndon B Johnson, Democrat, 63.38
Clark, Lyndon B Johnson, Democrat, 61.25
Columbia, Lyndon B Johnson, Democrat, 61.66
Crawford, Lyndon B Johnson, Democrat, 58.98
Dane, Lyndon B Johnson, Democrat, 71.38
Dodge, Lyndon B Johnson, Democrat, 58.91
Door, Lyndon B Johnson, Democrat, 50.68
Douglas, Lyndon B Johnson, Democrat, 76.8
Dunn, Lyndon B Johnson, Democrat, 61.91
Eau Claire, Lyndon B Johnson, Democrat, 64.33
Florence, Lyndon B Johnson, Democrat, 63.25
Fond du Lac, Lyndon B Johnson, Democrat, 58.61
Forest, Lyndon B Johnson, Democrat, 69.79
Grant, Lyndon B Johnson, Democrat, 54.09
Green, Lyndon B Johnson, Democrat, 50.76
Green Lake, Lyndon B Johnson, Democrat, 50.12
Iowa, Lyndon B Johnson, Democrat, 58.43
Iron, Lyndon B Johnson, Democrat, 72.24
Jackson, Lyndon B Johnson, Democrat, 60.06
Jefferson, Lyndon B Johnson, Democrat, 60.2
Juneau, Lyndon B Johnson, Democrat, 60.57
Kenosha, Lyndon B Johnson, Democrat, 67.29
Kewaunee, Lyndon B Johnson, Democrat, 61.59
La Crosse, Lyndon B Johnson, Democrat, 55.78
Lafayette, Lyndon B Johnson, Democrat, 58.28
Langlade, Lyndon B Johnson, Democrat, 62.83
Lincoln, Lyndon B Johnson, Democrat, 60.06
Manitowoc, Lyndon B Johnson, Democrat, 68.92
Marathon, Lyndon B Johnson, Democrat, 65.74
Marinette, Lyndon B Johnson, Democrat, 64.32
Marquette, Lyndon B Johnson, Democrat, 50.5
Menominee, Lyndon B Johnson, Democrat, 89.12
Milwaukee, Lyndon B Johnson, Democrat, 65.67
Monroe, Lyndon B Johnson, Democrat, 55.41
Oconto, Lyndon B Johnson, Democrat, 58.92
Oneida, Lyndon B Johnson, Democrat, 62.11
Outagamie, Lyndon B Johnson, Democrat, 53.62
Ozaukee, Lyndon B Johnson, Democrat, 52.51
Pepin, Lyndon B Johnson, Democrat, 66.71
Pierce, Lyndon B Johnson, Democrat, 65.7
Polk, Lyndon B Johnson, Democrat, 65.57
Portage, Lyndon B Johnson, Democrat, 72.05
Price, Lyndon B Johnson, Democrat, 63.97
Racine, Lyndon B Johnson, Democrat, 63.71
Richland, Lyndon B Johnson, Democrat, 57.17
Rock, Lyndon B Johnson, Democrat, 58.04
Rusk, Lyndon B Johnson, Democrat, 65.2
Sauk, Lyndon B Johnson, Democrat, 59.33
Sawyer, Lyndon B Johnson, Democrat, 56.17
Shawano, Lyndon B Johnson, Democrat, 50.06
Sheboygan, Lyndon B Johnson, Democrat, 66.95
St. Croix, Lyndon B Johnson, Democrat, 65.86
Taylor, Lyndon B Johnson, Democrat, 67.03
Trempealeau, Lyndon B Johnson, Democrat, 65.91
Vernon, Lyndon B Johnson, Democrat, 57.28
Vilas, Lyndon B Johnson, Democrat, 50.03
Walworth, Barry Goldwater, Republican, 50.92
Washburn, Lyndon B Johnson, Democrat, 62.84
Washington, Lyndon B Johnson, Democrat, 55.62
Waukesha, Lyndon B Johnson, Democrat, 52.76
Waupaca, Barry Goldwater, Republican, 54.46
Waushara, Barry Goldwater, Republican, 53.36
Winnebago, Lyndon B Johnson, Democrat, 52.72
Wood, Lyndon B Johnson, Democrat, 64.65
