Ketchikan Gateway, Richard M Nixon, Republican, 49.52
Prince of Wales-Hyder, Hubert H Humphery, Democrat, 50.11
Sitka, Hubert H Humphery, Democrat, 49.69
Petersburg, Hubert H Humphery, Democrat, 47.65
Wrangell, Richard M Nixon, Republican, 50.9
Hoonah-Angoon, Hubert H Humphery, Democrat, 51.3
Juneau, Hubert H Humphery, Democrat, 48.85
Copper River, Richard M Nixon, Republican, 48.14
Chugach, Richard M Nixon, Republican, 49.4
Haines, Richard M Nixon, Republican, 49.9
Skagway, Hubert H Humphery, Democrat, 57.48
Yakutat, Hubert H Humphery, Democrat, 51.01
Yukon-Koyukuk, Richard M Nixon, Republican, 49.33
Bethel, Hubert H Humphery, Democrat, 54.07
Southeast Fairbanks, Richard M Nixon, Republican, 49.13
Wade Hampton, Hubert H Humphery, Democrat, 62.32
Kenai Peninsula, Hubert H Humphery, Democrat, 41.75
Fairbanks North Star, Richard M Nixon, Republican, 46.98
Denali, Richard M Nixon, Republican, 45.79
Matanuska-Susitna, Richard M Nixon, Republican, 46.38
Anchorage, Richard M Nixon, Republican, 45.1
Kodiak Island, Richard M Nixon, Republican, 47.06
Lake and Peninsula, Richard M Nixon, Republican, 44.66
Aleutians East, Richard M Nixon, Republican, 50.56
Dillingham, Richard M Nixon, Republican, 50.05
Aleutians West, Richard M Nixon, Republican, 50.17
Bristol Bay, Richard M Nixon, Republican, 44.14
Nome, Hubert H Humphery, Democrat, 50.31
Northwest Arctic, Richard M Nixon, Republican, 49.39
North Slope, Hubert H Humphery, Democrat, 50.92
