Acadia, George C Wallace, Dixiecrat, 57.18
Allen, George C Wallace, Dixiecrat, 58.26
Ascension, George C Wallace, Dixiecrat, 56.94
Assumption, George C Wallace, Dixiecrat, 46.7
Avoyelles, George C Wallace, Dixiecrat, 56.28
Beauregard, George C Wallace, Dixiecrat, 55.97
Bienville, George C Wallace, Dixiecrat, 56.13
Bossier, George C Wallace, Dixiecrat, 58.63
Caddo, George C Wallace, Dixiecrat, 42.25
Calcasieu, George C Wallace, Dixiecrat, 45.65
Caldwell, George C Wallace, Dixiecrat, 60.62
Cameron, George C Wallace, Dixiecrat, 63.83
Catahoula, George C Wallace, Dixiecrat, 63.72
Claiborne, George C Wallace, Dixiecrat, 55.43
Concordia, George C Wallace, Dixiecrat, 60.57
DeSoto, George C Wallace, Dixiecrat, 48.93
East Baton Rouge, George C Wallace, Dixiecrat, 44.8
East Carroll, Hubert H Humphrey, Democrat, 45.66
East Feliciana, George C Wallace, Dixiecrat, 54.39
Evangeline, George C Wallace, Dixiecrat, 63.7
Franklin, George C Wallace, Dixiecrat, 75.68
Grant, George C Wallace, Dixiecrat, 62.92
Iberia, George C Wallace, Dixiecrat, 42.41
Iberville, George C Wallace, Dixiecrat, 43.83
Jackson, George C Wallace, Dixiecrat, 59.98
Jefferson, George C Wallace, Dixiecrat, 45.76
Jefferson Davis, George C Wallace, Dixiecrat, 50.22
Lafayette, George C Wallace, Dixiecrat, 38.59
Lafourche, George C Wallace, Dixiecrat, 51.41
LaSalle, George C Wallace, Dixiecrat, 66.34
Lincoln, George C Wallace, Dixiecrat, 47.59
Livingston, George C Wallace, Dixiecrat, 80.85
Madison, Hubert H Humphrey, Democrat, 45.89
Morehouse, George C Wallace, Dixiecrat, 60.47
Natchitoches, George C Wallace, Dixiecrat, 46.64
Orleans, Hubert H Humphrey, Democrat, 40.55
Ouachita, George C Wallace, Dixiecrat, 47.77
Plaquemines, George C Wallace, Dixiecrat, 75.28
Pointe Coupee, George C Wallace, Dixiecrat, 46.79
Rapides, George C Wallace, Dixiecrat, 46.09
Red River, George C Wallace, Dixiecrat, 65.69
Richland, George C Wallace, Dixiecrat, 68.31
Sabine, George C Wallace, Dixiecrat, 66.46
Saint Bernard, George C Wallace, Dixiecrat, 68.62
Saint Charles, George C Wallace, Dixiecrat, 48.02
Saint Helena, George C Wallace, Dixiecrat, 53.41
Saint James, Hubert H Humphrey, Democrat, 45.74
Saint John the Baptist, George C Wallace, Dixiecrat, 43.68
Saint Landry, George C Wallace, Dixiecrat, 51.06
Saint Martin, George C Wallace, Dixiecrat, 49.04
Saint Mary, George C Wallace, Dixiecrat, 40.58
Saint Tammany, George C Wallace, Dixiecrat, 55.25
Tangipahoa, George C Wallace, Dixiecrat, 62.39
Tensas, George C Wallace, Dixiecrat, 48.9
Terrebonne, George C Wallace, Dixiecrat, 47.31
Union, George C Wallace, Dixiecrat, 63.7
Vermilion, George C Wallace, Dixiecrat, 53.42
Vernon, George C Wallace, Dixiecrat, 64.33
Washington, George C Wallace, Dixiecrat, 70
Webster, George C Wallace, Dixiecrat, 61.7
West Baton Rouge, George C Wallace, Dixiecrat, 48.9
West Carroll, George C Wallace, Dixiecrat, 78.48
West Feliciana, Hubert H Humphrey, Democrat, 48.76
Winn, George C Wallace, Dixiecrat, 63.78
