Androscoggin, Hubert H Humphrey, Democrat, 71.04
Aroostook, Hubert H Humphrey, Democrat, 51.46
Cumberland, Hubert H Humphrey, Democrat, 57.27
Franklin, Hubert H Humphrey, Democrat, 50.1
Hancock, Richard M Nixon, Republican, 62.95
Kennebec, Hubert H Humphrey, Democrat, 56.81
Knox, Richard M Nixon, Republican, 55.25
Lincoln, Richard M Nixon, Republican, 61.11
Oxford, Hubert H Humphrey, Democrat, 56.39
Penobscot, Hubert H Humphrey, Democrat, 54.06
Piscataquis, Hubert H Humphrey, Democrat, 51.47
Sagadahoc, Hubert H Humphrey, Democrat, 56.16
Somerset, Hubert H Humphrey, Democrat, 54.13
Waldo, Richard M Nixon, Republican, 56.19
Washington, Hubert H Humphrey, Democrat, 52.16
York, Hubert H Humphrey, Democrat, 59.23
