Barnstable, Richard M Nixon, Republican, 57.63
Berkshire, Hubert H Humphrey, Democrat, 59.72
Bristol, Hubert H Humphrey, Democrat, 65.06
Dukes, Richard M Nixon, Republican, 49.31
Essex, Hubert H Humphrey, Democrat, 61.03
Franklin, Richard M Nixon, Republican, 48.63
Hampden, Hubert H Humphrey, Democrat, 62.52
Hampshire, Hubert H Humphrey, Democrat, 58.72
Middlesex, Hubert H Humphrey, Democrat, 64.11
Nantucket, Richard M Nixon, Republican, 55.3
Norfolk, Hubert H Humphrey, Democrat, 60.3
Plymouth, Hubert H Humphrey, Democrat, 52.96
Suffolk, Hubert H Humphrey, Democrat, 75.62
Worcester, Hubert H Humphrey, Democrat, 63.52
