Churchill, Richard M Nixon, Republican, 52.25
Clark, Hubert H Humphrey, Democrat, 44.26
Douglas, Richard M Nixon, Republican, 64.37
Elko, Richard M Nixon, Republican, 54.48
Esmeralda, Richard M Nixon, Republican, 39.09
Eureka, Richard M Nixon, Republican, 56.53
Humboldt, Richard M Nixon, Republican, 50.97
Lander, Richard M Nixon, Republican, 50.72
Lincoln, Richard M Nixon, Republican, 49.87
Lyon, Richard M Nixon, Republican, 53.88
Mineral, Hubert H Humphrey, Democrat, 43.29
Nye, Richard M Nixon, Republican, 40.7
Ormsby, Richard M Nixon, Republican, 56.58
Pershing, Richard M Nixon, Republican, 46.74
Storey, Richard M Nixon, Republican, 50
Washoe, Richard M Nixon, Republican, 54.65
White Pine, Hubert H Humphrey, Democrat, 50.19
