Anderson, Richard M Nixon, Republican, 47.04
Bedford, George C Wallace, Dixiecrat, 48.88
Benton, George C Wallace, Dixiecrat, 47.16
Bledsoe, Richard M Nixon, Republican, 46.65
Blount, Richard M Nixon, Republican, 57.1
Bradley, Richard M Nixon, Republican, 50.01
Campbell, Richard M Nixon, Republican, 52.54
Cannon, George C Wallace, Dixiecrat, 47.95
Carroll, Richard M Nixon, Republican, 41.8
Carter, Richard M Nixon, Republican, 64.68
Cheatham, George C Wallace, Dixiecrat, 63.31
Chester, George C Wallace, Dixiecrat, 47.44
Claiborne, Richard M Nixon, Republican, 59.75
Clay, Richard M Nixon, Republican, 42.13
Cocke, Richard M Nixon, Republican, 72.8
Coffee, George C Wallace, Dixiecrat, 42.91
Crockett, George C Wallace, Dixiecrat, 63.67
Cumberland, Richard M Nixon, Republican, 51.81
Davidson, George C Wallace, Dixiecrat, 35.06
Decatur, George C Wallace, Dixiecrat, 40.31
DeKalb, Richard M Nixon, Republican, 39.33
Dickson, George C Wallace, Dixiecrat, 51.1
Dyer, George C Wallace, Dixiecrat, 54.59
Fayette, George C Wallace, Dixiecrat, 46.34
Fentress, Richard M Nixon, Republican, 57.8
Franklin, George C Wallace, Dixiecrat, 54.11
Gibson, George C Wallace, Dixiecrat, 47.31
Giles, George C Wallace, Dixiecrat, 53.36
Grainger, Richard M Nixon, Republican, 67.26
Greene, Richard M Nixon, Republican, 58.26
Grundy, George C Wallace, Dixiecrat, 46.03
Hamblen, Richard M Nixon, Republican, 57.86
Hamilton, George C Wallace, Dixiecrat, 37.82
Hancock, Richard M Nixon, Republican, 72.88
Hardeman, George C Wallace, Dixiecrat, 50.38
Hardin, Richard M Nixon, Republican, 45.55
Hawkins, Richard M Nixon, Republican, 60.78
Haywood, George C Wallace, Dixiecrat, 49.07
Henderson, Richard M Nixon, Republican, 51.99
Henry, George C Wallace, Dixiecrat, 39.73
Hickman, George C Wallace, Dixiecrat, 56.4
Houston, George C Wallace, Dixiecrat, 52.02
Humphreys, George C Wallace, Dixiecrat, 48.14
Jackson, Hubert H Humphrey, Democrat, 41.51
Jefferson, Richard M Nixon, Republican, 67.11
Johnson, Richard M Nixon, Republican, 79.02
Knox, Richard M Nixon, Republican, 52.44
Lake, George C Wallace, Dixiecrat, 52.41
Lauderdale, George C Wallace, Dixiecrat, 52.8
Lawrence, Richard M Nixon, Republican, 41.26
Lewis, Hubert H Humphrey, Democrat, 42.83
Lincoln, George C Wallace, Dixiecrat, 58.29
Loudon, Richard M Nixon, Republican, 54.58
Macon, Richard M Nixon, Republican, 58.04
Madison, George C Wallace, Dixiecrat, 44.69
Marion, George C Wallace, Dixiecrat, 43.47
Marshall, George C Wallace, Dixiecrat, 55.32
Maury, George C Wallace, Dixiecrat, 55.82
McMinn, Richard M Nixon, Republican, 52.92
McNairy, Richard M Nixon, Republican, 41.21
Meigs, Richard M Nixon, Republican, 43.81
Monroe, Richard M Nixon, Republican, 53.38
Montgomery, George C Wallace, Dixiecrat, 39.09
Moore, George C Wallace, Dixiecrat, 60.03
Morgan, Richard M Nixon, Republican, 47.46
Obion, George C Wallace, Dixiecrat, 50.13
Overton, Hubert H Humphrey, Democrat, 39.54
Perry, George C Wallace, Dixiecrat, 38.64
Pickett, Richard M Nixon, Republican, 59.41
Polk, Richard M Nixon, Republican, 45.02
Putnam, Richard M Nixon, Republican, 35.83
Rhea, Richard M Nixon, Republican, 40.7
Roane, Richard M Nixon, Republican, 45.74
Robertson, George C Wallace, Dixiecrat, 48.67
Rutherford, George C Wallace, Dixiecrat, 46.1
Scott, Richard M Nixon, Republican, 58.24
Sequatchie, George C Wallace, Dixiecrat, 45.48
Sevier, Richard M Nixon, Republican, 74.67
Shelby, Hubert H Humphrey, Democrat, 35.14
Smith, George C Wallace, Dixiecrat, 41.97
Stewart, George C Wallace, Dixiecrat, 41.6
Sullivan, Richard M Nixon, Republican, 50.6
Sumner, George C Wallace, Dixiecrat, 46.05
Tipton, George C Wallace, Dixiecrat, 58.59
Trousdale, Hubert H Humphrey, Democrat, 43.51
Unicoi, Richard M Nixon, Republican, 65.49
Union, Richard M Nixon, Republican, 66.71
Van Buren, George C Wallace, Dixiecrat, 45.43
Warren, George C Wallace, Dixiecrat, 49.42
Washington, Richard M Nixon, Republican, 56.66
Wayne, Richard M Nixon, Republican, 58.51
Weakley, George C Wallace, Dixiecrat, 48.29
White, George C Wallace, Dixiecrat, 36.79
Williamson, George C Wallace, Dixiecrat, 50.08
Wilson, George C Wallace, Dixiecrat, 49.98
