Barbour, Hubert H Humphrey, Democrat, 47.34
Berkeley, Richard M Nixon, Republican, 49.91
Boone, Hubert H Humphrey, Democrat, 62.13
Braxton, Hubert H Humphrey, Democrat, 54.02
Brooke, Hubert H Humphrey, Democrat, 57.12
Cabell, Richard M Nixon, Republican, 45.05
Calhoun, Hubert H Humphrey, Democrat, 46.57
Clay, Hubert H Humphrey, Democrat, 51.24
Doddridge, Richard M Nixon, Republican, 65.28
Fayette, Hubert H Humphrey, Democrat, 66.96
Gilmer, Hubert H Humphrey, Democrat, 49.48
Grant, Richard M Nixon, Republican, 73.81
Greenbrier, Hubert H Humphrey, Democrat, 46.46
Hampshire, Richard M Nixon, Republican, 44.08
Hancock, Hubert H Humphrey, Democrat, 54.03
Hardy, Richard M Nixon, Republican, 43.93
Harrison, Hubert H Humphrey, Democrat, 54.22
Jackson, Richard M Nixon, Republican, 53.99
Jefferson, Hubert H Humphrey, Democrat, 45.16
Kanawha, Hubert H Humphrey, Democrat, 46.7
Lewis, Richard M Nixon, Republican, 51.4
Lincoln, Hubert H Humphrey, Democrat, 50.82
Logan, Hubert H Humphrey, Democrat, 67.42
Marion, Hubert H Humphrey, Democrat, 58.94
Marshall, Hubert H Humphrey, Democrat, 49.47
Mason, Richard M Nixon, Republican, 48.97
McDowell, Hubert H Humphrey, Democrat, 67.81
Mercer, Hubert H Humphrey, Democrat, 48.83
Mineral, Richard M Nixon, Republican, 45.26
Mingo, Hubert H Humphrey, Democrat, 62.89
Monongalia, Hubert H Humphrey, Democrat, 54.83
Monroe, Richard M Nixon, Republican, 49.66
Morgan, Richard M Nixon, Republican, 60.32
Nicholas, Hubert H Humphrey, Democrat, 51.81
Ohio, Hubert H Humphrey, Democrat, 49.65
Pendleton, Richard M Nixon, Republican, 46.5
Pleasants, Richard M Nixon, Republican, 47.06
Pocahontas, Richard M Nixon, Republican, 46.01
Preston, Richard M Nixon, Republican, 55.16
Putnam, Richard M Nixon, Republican, 45.27
Raleigh, Hubert H Humphrey, Democrat, 60.14
Randolph, Hubert H Humphrey, Democrat, 50.72
Ritchie, Richard M Nixon, Republican, 66.5
Roane, Richard M Nixon, Republican, 55.7
Summers, Hubert H Humphrey, Democrat, 52.75
Taylor, Richard M Nixon, Republican, 46.84
Tucker, Hubert H Humphrey, Democrat, 48.82
Tyler, Richard M Nixon, Republican, 63.9
Upshur, Richard M Nixon, Republican, 62.44
Wayne, Hubert H Humphrey, Democrat, 50.41
Webster, Hubert H Humphrey, Democrat, 62.87
Wetzel, Richard M Nixon, Republican, 46.06
Wirt, Richard M Nixon, Republican, 52.26
Wood, Richard M Nixon, Republican, 51.76
Wyoming, Hubert H Humphrey, Democrat, 57.27
