Adams, Richard M Nixon, Republican, 44.81
Ashland, Hubert H Humphrey, Democrat, 57.96
Barron, Richard M Nixon, Republican, 55.38
Bayfield, Hubert H Humphrey, Democrat, 53.24
Brown, Richard M Nixon, Republican, 53.67
Buffalo, Richard M Nixon, Republican, 54.21
Burnett, Richard M Nixon, Republican, 45.81
Calumet, Richard M Nixon, Republican, 56.77
Chippewa, Richard M Nixon, Republican, 47.38
Clark, Richard M Nixon, Republican, 51.2
Columbia, Richard M Nixon, Republican, 52.6
Crawford, Richard M Nixon, Republican, 54.09
Dane, Hubert H Humphrey, Democrat, 57.61
Dodge, Richard M Nixon, Republican, 57.88
Door, Richard M Nixon, Republican, 63.34
Douglas, Hubert H Humphrey, Democrat, 65.43
Dunn, Richard M Nixon, Republican, 51.44
Eau Claire, Hubert H Humphrey, Democrat, 48.65
Florence, Richard M Nixon, Republican, 48.32
Fond du Lac, Richard M Nixon, Republican, 55.59
Forest, Hubert H Humphrey, Democrat, 46.68
Grant, Richard M Nixon, Republican, 62.49
Green, Richard M Nixon, Republican, 61.03
Green Lake, Richard M Nixon, Republican, 63.69
Iowa, Richard M Nixon, Republican, 54.03
Iron, Hubert H Humphrey, Democrat, 57.71
Jackson, Richard M Nixon, Republican, 52.88
Jefferson, Richard M Nixon, Republican, 54.97
Juneau, Richard M Nixon, Republican, 53.6
Kenosha, Hubert H Humphrey, Democrat, 50.86
Kewaunee, Richard M Nixon, Republican, 57.25
La Crosse, Richard M Nixon, Republican, 55.76
Lafayette, Richard M Nixon, Republican, 55.1
Langlade, Richard M Nixon, Republican, 49.44
Lincoln, Richard M Nixon, Republican, 51.37
Manitowoc, Hubert H Humphrey, Democrat, 49.89
Marathon, Hubert H Humphrey, Democrat, 47.43
Marinette, Richard M Nixon, Republican, 48.24
Marquette, Richard M Nixon, Republican, 61.15
Menominee, Hubert H Humphrey, Democrat, 71.76
Milwaukee, Hubert H Humphrey, Democrat, 51.26
Monroe, Richard M Nixon, Republican, 57.74
Oconto, Richard M Nixon, Republican, 53.74
Oneida, Richard M Nixon, Republican, 48.55
Outagamie, Richard M Nixon, Republican, 59.29
Ozaukee, Richard M Nixon, Republican, 58.11
Pepin, Richard M Nixon, Republican, 49.98
Pierce, Richard M Nixon, Republican, 48.76
Polk, Richard M Nixon, Republican, 48.88
Portage, Hubert H Humphrey, Democrat, 58.49
Price, Richard M Nixon, Republican, 47.44
Racine, Richard M Nixon, Republican, 44.78
Richland, Richard M Nixon, Republican, 59.82
Rock, Richard M Nixon, Republican, 50.97
Rusk, Richard M Nixon, Republican, 44.74
Sauk, Richard M Nixon, Republican, 53.64
Sawyer, Richard M Nixon, Republican, 52.17
Shawano, Richard M Nixon, Republican, 63.75
Sheboygan, Hubert H Humphrey, Democrat, 50.93
St. Croix, Hubert H Humphrey, Democrat, 48.11
Taylor, Richard M Nixon, Republican, 43.96
Trempealeau, Richard M Nixon, Republican, 50.69
Vernon, Richard M Nixon, Republican, 55.18
Vilas, Richard M Nixon, Republican, 58.12
Walworth, Richard M Nixon, Republican, 61.85
Washburn, Richard M Nixon, Republican, 47.63
Washington, Richard M Nixon, Republican, 54.96
Waukesha, Richard M Nixon, Republican, 54.98
Waupaca, Richard M Nixon, Republican, 67.13
Waushara, Richard M Nixon, Republican, 65.35
Winnebago, Richard M Nixon, Republican, 53.84
Wood, Richard M Nixon, Republican, 48.29
