Apache, Richard M Nixon, Republican, 50.28
Cochise, Richard M Nixon, Republican, 63.97
Coconino, Richard M Nixon, Republican, 61.02
Gila, Richard M Nixon, Republican, 54.7
Graham, Richard M Nixon, Republican, 60.15
Greenlee, George McGovern, Democrat, 52.18
Maricopa, Richard M Nixon, Republican, 69.29
Mohave, Richard M Nixon, Republican, 68.92
Navajo, Richard M Nixon, Republican, 60.48
Pima, Richard M Nixon, Republican, 45.41
Pinal, Richard M Nixon, Republican, 60.28
Santa Cruz, Richard M Nixon, Republican, 52.39
Yavapai, Richard M Nixon, Republican, 65.77
Yuma, Richard M Nixon, Republican, 63.52
