Hinsdale, Richard M Nixon, Republican, 77.83
Rio Blanco, Richard M Nixon, Republican, 77.29
Jackson, Richard M Nixon, Republican, 76.82
Ouray, Richard M Nixon, Republican, 74.67
Douglas, Richard M Nixon, Republican, 75.6
Baca, Richard M Nixon, Republican, 74
Elbert, Richard M Nixon, Republican, 73.52
Custer, Richard M Nixon, Republican, 71.53
Dolores, Richard M Nixon, Republican, 71.86
Montezuma, Richard M Nixon, Republican, 73.49
Moffat, Richard M Nixon, Republican, 67.7
Arapahoe, Richard M Nixon, Republican, 72.6
Kit Carson, Richard M Nixon, Republican, 70.93
Washington, Richard M Nixon, Republican, 69.9
Yuma, Richard M Nixon, Republican, 71.1
Teller, Richard M Nixon, Republican, 70.62
Rio Grande, Richard M Nixon, Republican, 69.74
Crowley, Richard M Nixon, Republican, 70.76
Mineral, Richard M Nixon, Republican, 71.18
Park, Richard M Nixon, Republican, 70.39
Morgan, Richard M Nixon, Republican, 70.48
Jefferson, Richard M Nixon, Republican, 70.25
Grand, Richard M Nixon, Republican, 70.1
El Paso, Richard M Nixon, Republican, 69.15
Lincoln, Richard M Nixon, Republican, 70.06
Delta, Richard M Nixon, Republican, 67.79
Mesa, Richard M Nixon, Republican, 68.7
Fremont, Richard M Nixon, Republican, 68.46
Sedgwick, Richard M Nixon, Republican, 67.93
Montrose, Richard M Nixon, Republican, 64.78
Kiowa, Richard M Nixon, Republican, 67.97
Logan, Richard M Nixon, Republican, 67.31
Garfield, Richard M Nixon, Republican, 66.31
Chaffee, Richard M Nixon, Republican, 66.83
Weld, Richard M Nixon, Republican, 66.68
Phillips, Richard M Nixon, Republican, 65.34
Otero, Richard M Nixon, Republican, 66.4
Archuleta, Richard M Nixon, Republican, 64.67
Larimer, Richard M Nixon, Republican, 65.3
Cheyenne, Richard M Nixon, Republican, 63.42
La Plata, Richard M Nixon, Republican, 62.28
Bent, Richard M Nixon, Republican, 64.35
Gunnison, Richard M Nixon, Republican, 64.05
Clear Creek, Richard M Nixon, Republican, 62.66
Alamosa, Richard M Nixon, Republican, 62.52
Saguache, Richard M Nixon, Republican, 63.21
Prowers, Richard M Nixon, Republican, 61.64
Adams, Richard M Nixon, Republican, 61.19
San Juan, Richard M Nixon, Republican, 58.48
Routt, Richard M Nixon, Republican, 59.36
Summit, Richard M Nixon, Republican, 59.09
Eagle, Richard M Nixon, Republican, 58.22
Conejos, Richard M Nixon, Republican, 55.53
Gilpin, Richard M Nixon, Republican, 57.14
Boulder, Richard M Nixon, Republican, 57
San Miguel, Richard M Nixon, Republican, 55.05
Pueblo, Richard M Nixon, Republican, 55.01
Denver, Richard M Nixon, Republican, 54.5
Lake, Richard M Nixon, Republican, 54.12
Huerfano, Richard M Nixon, Republican, 53.59
Las Animas, Richard M Nixon, Republican, 52.63
Pitkin, George McGovern, Democrat, 54.2
Costilla, George McGovern, Democrat, 52.88
