Allen, Richard M Nixon, Republican, 69.47
Anderson, Richard M Nixon, Republican, 70.86
Atchison, Richard M Nixon, Republican, 67.83
Barber, Richard M Nixon, Republican, 74.26
Barton, Richard M Nixon, Republican, 68.87
Bourbon, Richard M Nixon, Republican, 70.09
Brown, Richard M Nixon, Republican, 78.92
Butler, Richard M Nixon, Republican, 67.39
Chase, Richard M Nixon, Republican, 76.04
Chautauqua, Richard M Nixon, Republican, 78
Cherokee, Richard M Nixon, Republican, 67.03
Cheyenne, Richard M Nixon, Republican, 75.51
Clark, Richard M Nixon, Republican, 76.03
Clay, Richard M Nixon, Republican, 78.42
Cloud, Richard M Nixon, Republican, 66.38
Coffey, Richard M Nixon, Republican, 75.7
Comanche, Richard M Nixon, Republican, 77.18
Cowley, Richard M Nixon, Republican, 70.51
Crawford, Richard M Nixon, Republican, 58.02
Decatur, Richard M Nixon, Republican, 70.22
Dickinson, Richard M Nixon, Republican, 75.34
Doniphan, Richard M Nixon, Republican, 78.4
Douglas, Richard M Nixon, Republican, 55.64
Edwards, Richard M Nixon, Republican, 64.54
Elk, Richard M Nixon, Republican, 76.02
Ellis, Richard M Nixon, Republican, 55.67
Ellsworth, Richard M Nixon, Republican, 65.2
Finney, Richard M Nixon, Republican, 65.66
Ford, Richard M Nixon, Republican, 67.12
Franklin, Richard M Nixon, Republican, 72.71
Geary, Richard M Nixon, Republican, 70.02
Gove, Richard M Nixon, Republican, 69.86
Graham, Richard M Nixon, Republican, 73.32
Grant, Richard M Nixon, Republican, 73.19
Gray, Richard M Nixon, Republican, 69.15
Greeley, Richard M Nixon, Republican, 68.49
Greenwood, Richard M Nixon, Republican, 74.49
Hamilton, Richard M Nixon, Republican, 67.26
Harper, Richard M Nixon, Republican, 75.71
Harvey, Richard M Nixon, Republican, 67.23
Haskell, Richard M Nixon, Republican, 71.55
Hodgeman, Richard M Nixon, Republican, 68.4
Jackson, Richard M Nixon, Republican, 71.98
Jefferson, Richard M Nixon, Republican, 72.69
Jewell, Richard M Nixon, Republican, 74.04
Johnson, Richard M Nixon, Republican, 74.14
Kearny, Richard M Nixon, Republican, 70.87
Kingman, Richard M Nixon, Republican, 68.9
Kiowa, Richard M Nixon, Republican, 76.35
Labette, Richard M Nixon, Republican, 64.76
Lane, Richard M Nixon, Republican, 73.21
Leavenworth, Richard M Nixon, Republican, 67.7
Lincoln, Richard M Nixon, Republican, 75.57
Linn, Richard M Nixon, Republican, 73.41
Logan, Richard M Nixon, Republican, 69.99
Lyon, Richard M Nixon, Republican, 69.67
Marion, Richard M Nixon, Republican, 72.17
Marshall, Richard M Nixon, Republican, 67.68
McPherson, Richard M Nixon, Republican, 70.56
Meade, Richard M Nixon, Republican, 74.56
Miami, Richard M Nixon, Republican, 69.04
Mitchell, Richard M Nixon, Republican, 71.59
Montgomery, Richard M Nixon, Republican, 73.66
Morris, Richard M Nixon, Republican, 76.12
Morton, Richard M Nixon, Republican, 72.68
Nemaha, Richard M Nixon, Republican, 64.06
Neosho, Richard M Nixon, Republican, 65.06
Ness, Richard M Nixon, Republican, 68.37
Norton, Richard M Nixon, Republican, 75.8
Osage, Richard M Nixon, Republican, 71.11
Osborne, Richard M Nixon, Republican, 73.42
Ottawa, Richard M Nixon, Republican, 72.94
Pawnee, Richard M Nixon, Republican, 65.83
Phillips, Richard M Nixon, Republican, 76.15
Pottawatomie, Richard M Nixon, Republican, 73.51
Pratt, Richard M Nixon, Republican, 71.2
Rawlins, Richard M Nixon, Republican, 70.46
Reno, Richard M Nixon, Republican, 63.81
Republic, Richard M Nixon, Republican, 71.8
Rice, Richard M Nixon, Republican, 66.22
Riley, Richard M Nixon, Republican, 66.16
Rooks, Richard M Nixon, Republican, 71.74
Rush, Richard M Nixon, Republican, 65.25
Russell, Richard M Nixon, Republican, 73.81
Saline, Richard M Nixon, Republican, 68.74
Scott, Richard M Nixon, Republican, 74.3
Sedgwick, Richard M Nixon, Republican, 65.74
Seward, Richard M Nixon, Republican, 77.27
Shawnee, Richard M Nixon, Republican, 66.75
Sheridan, Richard M Nixon, Republican, 64.4
Sherman, Richard M Nixon, Republican, 69.92
Smith, Richard M Nixon, Republican, 74.26
Stafford, Richard M Nixon, Republican, 70.35
Stanton, Richard M Nixon, Republican, 71.54
Stevens, Richard M Nixon, Republican, 74.48
Sumner, Richard M Nixon, Republican, 68.08
Thomas, Richard M Nixon, Republican, 67.73
Trego, Richard M Nixon, Republican, 66.91
Wabaunsee, Richard M Nixon, Republican, 76.83
Wallace, Richard M Nixon, Republican, 73.22
Washington, Richard M Nixon, Republican, 75.13
Wichita, Richard M Nixon, Republican, 69.89
Wilson, Richard M Nixon, Republican, 74.8
Woodson, Richard M Nixon, Republican, 72.59
Wyandotte, Richard M Nixon, Republican, 52.7
