Acadia, Richard M Nixon, Republican, 63.83
Allen, Richard M Nixon, Republican, 59.41
Ascension, Richard M Nixon, Republican, 54.48
Assumption, Richard M Nixon, Republican, 58.93
Avoyelles, Richard M Nixon, Republican, 57.76
Beauregard, Richard M Nixon, Republican, 69.41
Bienville, Richard M Nixon, Republican, 58.99
Bossier, Richard M Nixon, Republican, 78.63
Caddo, Richard M Nixon, Republican, 71.68
Calcasieu, Richard M Nixon, Republican, 57.72
Caldwell, Richard M Nixon, Republican, 76.99
Cameron, Richard M Nixon, Republican, 60.9
Catahoula, Richard M Nixon, Republican, 73.15
Claiborne, Richard M Nixon, Republican, 64.08
Concordia, Richard M Nixon, Republican, 64.37
DeSoto, Richard M Nixon, Republican, 56.16
East Baton Rouge, Richard M Nixon, Republican, 65.37
East Carroll, Richard M Nixon, Republican, 48.4
East Feliciana, Richard M Nixon, Republican, 48.98
Evangeline, Richard M Nixon, Republican, 60.03
Franklin, Richard M Nixon, Republican, 73.76
Grant, Richard M Nixon, Republican, 76.51
Iberia, Richard M Nixon, Republican, 65.84
Iberville, Richard M Nixon, Republican, 46.92
Jackson, Richard M Nixon, Republican, 69.96
Jefferson, Richard M Nixon, Republican, 73.99
Jefferson Davis, Richard M Nixon, Republican, 65.96
Lafayette, Richard M Nixon, Republican, 69.1
Lafourche, Richard M Nixon, Republican, 67.2
LaSalle, Richard M Nixon, Republican, 81.51
Lincoln, Richard M Nixon, Republican, 69.15
Livingston, Richard M Nixon, Republican, 72.96
Madison, Richard M Nixon, Republican, 49.22
Morehouse, Richard M Nixon, Republican, 66.94
Natchitoches, Richard M Nixon, Republican, 64.74
Orleans, Richard M Nixon, Republican, 54.55
Ouachita, Richard M Nixon, Republican, 74.74
Plaquemines, Richard M Nixon, Republican, 83.05
Pointe Coupee, Richard M Nixon, Republican, 46.58
Rapides, Richard M Nixon, Republican, 69.68
Red River, Richard M Nixon, Republican, 65.95
Richland, Richard M Nixon, Republican, 70.8
Sabine, Richard M Nixon, Republican, 73.88
Saint Bernard, Richard M Nixon, Republican, 77.69
Saint Charles, Richard M Nixon, Republican, 60.42
Saint Helena, Richard M Nixon, Republican, 52
Saint James, Richard M Nixon, Republican, 49.47
Saint John the Baptist, Richard M Nixon, Republican, 49.75
Saint Landry, Richard M Nixon, Republican, 57.01
Saint Martin, Richard M Nixon, Republican, 62
Saint Mary, Richard M Nixon, Republican, 68.44
Saint Tammany, Richard M Nixon, Republican, 74.13
Tangipahoa, Richard M Nixon, Republican, 62.89
Tensas, Richard M Nixon, Republican, 50.47
Terrebonne, Richard M Nixon, Republican, 71.7
Union, Richard M Nixon, Republican, 70.2
Vermilion, Richard M Nixon, Republican, 66.39
Vernon, Richard M Nixon, Republican, 77.62
Washington, Richard M Nixon, Republican, 66.92
Webster, Richard M Nixon, Republican, 71.5
West Baton Rouge, Richard M Nixon, Republican, 53.14
West Carroll, Richard M Nixon, Republican, 77.24
West Feliciana, George McGovern, Democrat, 45.41
Winn, Richard M Nixon, Republican, 70.4
