Beaverhead, Richard M Nixon, Republican, 71.99
Big Horn, Richard M Nixon, Republican, 56.17
Blaine, Richard M Nixon, Republican, 54.44
Broadwater, Richard M Nixon, Republican, 66.57
Carbon, Richard M Nixon, Republican, 61.91
Carter, Richard M Nixon, Republican, 73.86
Cascade, Richard M Nixon, Republican, 52.4
Chouteau, Richard M Nixon, Republican, 59.64
Custer, Richard M Nixon, Republican, 63.31
Daniels, Richard M Nixon, Republican, 61.82
Dawson, Richard M Nixon, Republican, 63.96
Deer Lodge, George McGovern, Democrat, 60.25
Fallon, Richard M Nixon, Republican, 64.46
Fergus, Richard M Nixon, Republican, 67.48
Flathead, Richard M Nixon, Republican, 60.72
Gallatin, Richard M Nixon, Republican, 66.28
Garfield, Richard M Nixon, Republican, 77.83
Glacier, Richard M Nixon, Republican, 56.11
Golden Valley, Richard M Nixon, Republican, 64.92
Granite, Richard M Nixon, Republican, 62.28
Hill, Richard M Nixon, Republican, 53.06
Jefferson, Richard M Nixon, Republican, 56.06
Judith Basin, Richard M Nixon, Republican, 59.54
Lake, Richard M Nixon, Republican, 62.09
Lewis and Clark, Richard M Nixon, Republican, 61.9
Liberty, Richard M Nixon, Republican, 65.43
Lincoln, Richard M Nixon, Republican, 52.77
McCone, Richard M Nixon, Republican, 58.29
Madison, Richard M Nixon, Republican, 68.78
Meagher, Richard M Nixon, Republican, 71.55
Mineral, Richard M Nixon, Republican, 49.75
Missoula, Richard M Nixon, Republican, 51.77
Musselshell, Richard M Nixon, Republican, 61.11
Park, Richard M Nixon, Republican, 63.89
Petroleum, Richard M Nixon, Republican, 71.38
Phillips, Richard M Nixon, Republican, 64.88
Pondera, Richard M Nixon, Republican, 57.41
Powder River, Richard M Nixon, Republican, 69.35
Powell, Richard M Nixon, Republican, 59.68
Prairie, Richard M Nixon, Republican, 68.57
Ravalli, Richard M Nixon, Republican, 61.83
Richland, Richard M Nixon, Republican, 61.51
Roosevelt, Richard M Nixon, Republican, 58.97
Rosebud, Richard M Nixon, Republican, 63.23
Sanders, Richard M Nixon, Republican, 54.72
Sheridan, Richard M Nixon, Republican, 53.96
Silver Bow, George McGovern, Democrat, 57.36
Stillwater, Richard M Nixon, Republican, 67.95
Sweet Grass, Richard M Nixon, Republican, 76
Teton, Richard M Nixon, Republican, 59.95
Toole, Richard M Nixon, Republican, 59.64
Treasure, Richard M Nixon, Republican, 65.68
Valley, Richard M Nixon, Republican, 60.02
Wheatland, Richard M Nixon, Republican, 57.39
Wibaux, Richard M Nixon, Republican, 55.48
Yellowstone, Richard M Nixon, Republican, 62.64
