Adams, Richard M Nixon, Republican, 72.47
Antelope, Richard M Nixon, Republican, 79.14
Arthur, Richard M Nixon, Republican, 83.99
Banner, Richard M Nixon, Republican, 80.8
Blaine, Richard M Nixon, Republican, 85.96
Boone, Richard M Nixon, Republican, 73.15
Box Butte, Richard M Nixon, Republican, 78.14
Boyd, Richard M Nixon, Republican, 73.71
Brown, Richard M Nixon, Republican, 81.58
Buffalo, Richard M Nixon, Republican, 74.19
Burt, Richard M Nixon, Republican, 76.54
Butler, Richard M Nixon, Republican, 55.94
Cass, Richard M Nixon, Republican, 71.39
Cedar, Richard M Nixon, Republican, 62.37
Chase, Richard M Nixon, Republican, 81.11
Cherry, Richard M Nixon, Republican, 84.93
Cheyenne, Richard M Nixon, Republican, 76.66
Clay, Richard M Nixon, Republican, 74.7
Colfax, Richard M Nixon, Republican, 71.66
Cuming, Richard M Nixon, Republican, 78.9
Custer, Richard M Nixon, Republican, 80.83
Dakota, Richard M Nixon, Republican, 62.22
Dawes, Richard M Nixon, Republican, 80.77
Dawson, Richard M Nixon, Republican, 81.35
Deuel, Richard M Nixon, Republican, 81.71
Dixon, Richard M Nixon, Republican, 70.96
Dodge, Richard M Nixon, Republican, 72
Douglas, Richard M Nixon, Republican, 67.82
Dundy, Richard M Nixon, Republican, 81.94
Fillmore, Richard M Nixon, Republican, 66.41
Franklin, Richard M Nixon, Republican, 71.6
Frontier, Richard M Nixon, Republican, 80.23
Furnas, Richard M Nixon, Republican, 77.15
Gage, Richard M Nixon, Republican, 63.71
Garden, Richard M Nixon, Republican, 85.05
Garfield, Richard M Nixon, Republican, 81.21
Gosper, Richard M Nixon, Republican, 77.4
Grant, Richard M Nixon, Republican, 84.49
Greeley, Richard M Nixon, Republican, 56.94
Hall, Richard M Nixon, Republican, 72.26
Hamilton, Richard M Nixon, Republican, 76.55
Harlan, Richard M Nixon, Republican, 74.19
Hayes, Richard M Nixon, Republican, 79.8
Hitchcock, Richard M Nixon, Republican, 78.63
Holt, Richard M Nixon, Republican, 79.75
Hooker, Richard M Nixon, Republican, 88.34
Howard, Richard M Nixon, Republican, 64.15
Jefferson, Richard M Nixon, Republican, 67.08
Johnson, Richard M Nixon, Republican, 64.1
Kearney, Richard M Nixon, Republican, 74.38
Keith, Richard M Nixon, Republican, 79.07
Keya Paha, Richard M Nixon, Republican, 79.41
Kimball, Richard M Nixon, Republican, 79.06
Knox, Richard M Nixon, Republican, 72.02
Lancaster, Richard M Nixon, Republican, 62.15
Lincoln, Richard M Nixon, Republican, 69.97
Logan, Richard M Nixon, Republican, 81.42
Loup, Richard M Nixon, Republican, 85.61
Madison, Richard M Nixon, Republican, 79.42
McPherson, Richard M Nixon, Republican, 85.47
Merrick, Richard M Nixon, Republican, 73.16
Morrill, Richard M Nixon, Republican, 76.99
Nance, Richard M Nixon, Republican, 68.79
Nemaha, Richard M Nixon, Republican, 74.1
Nuckolls, Richard M Nixon, Republican, 67.65
Otoe, Richard M Nixon, Republican, 73.7
Pawnee, Richard M Nixon, Republican, 71.26
Perkins, Richard M Nixon, Republican, 76.7
Phelps, Richard M Nixon, Republican, 82.03
Pierce, Richard M Nixon, Republican, 78.96
Platte, Richard M Nixon, Republican, 73.38
Polk, Richard M Nixon, Republican, 71.25
Red Willow, Richard M Nixon, Republican, 79.9
Richardson, Richard M Nixon, Republican, 70.83
Rock, Richard M Nixon, Republican, 87.16
Saline, Richard M Nixon, Republican, 51.59
Sarpy, Richard M Nixon, Republican, 74.68
Saunders, Richard M Nixon, Republican, 63.13
Scotts Bluff, Richard M Nixon, Republican, 75.78
Seward, Richard M Nixon, Republican, 63.98
Sheridan, Richard M Nixon, Republican, 83.22
Sherman, Richard M Nixon, Republican, 57.54
Sioux, Richard M Nixon, Republican, 83.2
Stanton, Richard M Nixon, Republican, 77.66
Thayer, Richard M Nixon, Republican, 69.93
Thomas, Richard M Nixon, Republican, 84.47
Thurston, Richard M Nixon, Republican, 65.07
Valley, Richard M Nixon, Republican, 72.29
Washington, Richard M Nixon, Republican, 75.38
Wayne, Richard M Nixon, Republican, 74.67
Webster, Richard M Nixon, Republican, 70.09
Wheeler, Richard M Nixon, Republican, 81.12
York, Richard M Nixon, Republican, 77.92
