Lincoln, Richard M Nixon, Republican, 77.07
Lea, Richard M Nixon, Republican, 76.41
Curry, Richard M Nixon, Republican, 75.85
Catron, Richard M Nixon, Republican, 73.49
Union, Richard M Nixon, Republican, 72.5
Roosevelt, Richard M Nixon, Republican, 73.03
De Baca, Richard M Nixon, Republican, 71.82
Quay, Richard M Nixon, Republican, 71.3
Chaves, Richard M Nixon, Republican, 70.87
San Juan, Richard M Nixon, Republican, 67.55
Harding, Richard M Nixon, Republican, 68.68
Otero, Richard M Nixon, Republican, 65.91
Sierra, Richard M Nixon, Republican, 67.47
Los Alamos, Richard M Nixon, Republican, 66.09
Eddy, Richard M Nixon, Republican, 64.65
Torrance, Richard M Nixon, Republican, 64.54
Luna, Richard M Nixon, Republican, 63.25
Hidalgo, Richard M Nixon, Republican, 63.43
Bernalillo, Richard M Nixon, Republican, 60.8
Doña Ana, Richard M Nixon, Republican, 59.76
Colfax, Richard M Nixon, Republican, 57.88
Valencia, Richard M Nixon, Republican, 56.09
Socorro, Richard M Nixon, Republican, 56.19
Santa Fe, Richard M Nixon, Republican, 52.53
Grant, Richard M Nixon, Republican, 50.46
Guadalupe, Richard M Nixon, Republican, 51.37
Sandoval, Richard M Nixon, Republican, 50.25
McKinley, Richard M Nixon, Republican, 49.74
Taos, Richard M Nixon, Republican, 50.49
Mora, Richard M Nixon, Republican, 50.26
San Miguel, George McGovern, Democrat, 50.18
Rio Arriba, George McGovern, Democrat, 55.34
