Adair, Richard M Nixon, Republican, 73.12
Alfalfa, Richard M Nixon, Republican, 81.48
Atoka, Richard M Nixon, Republican, 72.86
Beaver, Richard M Nixon, Republican, 80.41
Beckham, Richard M Nixon, Republican, 71.72
Blaine, Richard M Nixon, Republican, 77.73
Bryan, Richard M Nixon, Republican, 61.91
Caddo, Richard M Nixon, Republican, 70.41
Canadian, Richard M Nixon, Republican, 78.28
Carter, Richard M Nixon, Republican, 66.41
Cherokee, Richard M Nixon, Republican, 69.37
Choctaw, Richard M Nixon, Republican, 64.4
Cimarron, Richard M Nixon, Republican, 71.62
Cleveland, Richard M Nixon, Republican, 68.71
Coal, Richard M Nixon, Republican, 67.05
Comanche, Richard M Nixon, Republican, 79.85
Cotton, Richard M Nixon, Republican, 70.23
Craig, Richard M Nixon, Republican, 70.36
Creek, Richard M Nixon, Republican, 75.11
Custer, Richard M Nixon, Republican, 74.3
Delaware, Richard M Nixon, Republican, 70.3
Dewey, Richard M Nixon, Republican, 74.79
Ellis, Richard M Nixon, Republican, 77.76
Garfield, Richard M Nixon, Republican, 79.07
Garvin, Richard M Nixon, Republican, 70.72
Grady, Richard M Nixon, Republican, 67.5
Grant, Richard M Nixon, Republican, 75.34
Greer, Richard M Nixon, Republican, 66.4
Harmon, Richard M Nixon, Republican, 68.38
Harper, Richard M Nixon, Republican, 79.84
Haskell, Richard M Nixon, Republican, 63.12
Hughes, Richard M Nixon, Republican, 64.86
Jackson, Richard M Nixon, Republican, 71.61
Jefferson, Richard M Nixon, Republican, 62.12
Johnston, Richard M Nixon, Republican, 67.72
Kay, Richard M Nixon, Republican, 78.44
Kingfisher, Richard M Nixon, Republican, 81.9
Kiowa, Richard M Nixon, Republican, 69.81
Latimer, Richard M Nixon, Republican, 64.8
Le Flore, Richard M Nixon, Republican, 67.45
Lincoln, Richard M Nixon, Republican, 74.98
Logan, Richard M Nixon, Republican, 68.85
Love, Richard M Nixon, Republican, 66.75
McClain, Richard M Nixon, Republican, 73.16
McCurtain, Richard M Nixon, Republican, 70.2
McIntosh, Richard M Nixon, Republican, 63.89
Major, Richard M Nixon, Republican, 83.89
Marshall, Richard M Nixon, Republican, 65.37
Mayes, Richard M Nixon, Republican, 72.08
Murray, Richard M Nixon, Republican, 68.23
Muskogee, Richard M Nixon, Republican, 65.65
Noble, Richard M Nixon, Republican, 78.38
Nowata, Richard M Nixon, Republican, 72.61
Okfuskee, Richard M Nixon, Republican, 66.73
Oklahoma, Richard M Nixon, Republican, 75.24
Okmulgee, Richard M Nixon, Republican, 63.82
Osage, Richard M Nixon, Republican, 73.77
Ottawa, Richard M Nixon, Republican, 68.63
Pawnee, Richard M Nixon, Republican, 77.3
Payne, Richard M Nixon, Republican, 73.77
Pittsburg, Richard M Nixon, Republican, 66.42
Pontotoc, Richard M Nixon, Republican, 72.04
Pottawatomie, Richard M Nixon, Republican, 71.3
Pushmataha, Richard M Nixon, Republican, 68.24
Roger Mills, Richard M Nixon, Republican, 78.16
Rogers, Richard M Nixon, Republican, 76.19
Seminole, Richard M Nixon, Republican, 70.02
Sequoyah, Richard M Nixon, Republican, 71.64
Stephens, Richard M Nixon, Republican, 71.61
Texas, Richard M Nixon, Republican, 82.54
Tillman, Richard M Nixon, Republican, 70.92
Tulsa, Richard M Nixon, Republican, 77.75
Wagoner, Richard M Nixon, Republican, 72.13
Washington, Richard M Nixon, Republican, 79.74
Washita, Richard M Nixon, Republican, 71.45
Woods, Richard M Nixon, Republican, 76.23
Woodward, Richard M Nixon, Republican, 80.05
