Aurora, George McGovern, Democrat, 53.74
Beadle, Richard M Nixon, Republican, 57.81
Bennett, Richard M Nixon, Republican, 62.83
Bon Homme, George McGovern, Democrat, 52.7
Brookings, Richard M Nixon, Republican, 52.26
Brown, George McGovern, Democrat, 49.94
Brule, George McGovern, Democrat, 53.76
Buffalo, George McGovern, Democrat, 55.33
Butte, Richard M Nixon, Republican, 68.82
Campbell, Richard M Nixon, Republican, 76.06
Charles Mix, George McGovern, Democrat, 57
Clark, Richard M Nixon, Republican, 54.59
Clay, George McGovern, Democrat, 52.71
Codington, Richard M Nixon, Republican, 51.61
Corson, Richard M Nixon, Republican, 58.28
Custer, Richard M Nixon, Republican, 64.48
Davison, George McGovern, Democrat, 55.21
Day, George McGovern, Democrat, 57.86
Deuel, George McGovern, Democrat, 50.07
Dewey, Richard M Nixon, Republican, 58.88
Douglas, Richard M Nixon, Republican, 61.68
Edmunds, George McGovern, Democrat, 51.18
Fall River, Richard M Nixon, Republican, 67.89
Faulk, Richard M Nixon, Republican, 50.07
Grant, Richard M Nixon, Republican, 50.04
Gregory, Richard M Nixon, Republican, 51.59
Haakon, Richard M Nixon, Republican, 73.14
Hamlin, Richard M Nixon, Republican, 56.85
Hand, Richard M Nixon, Republican, 57.9
Hanson, George McGovern, Democrat, 53.62
Harding, Richard M Nixon, Republican, 71.57
Hughes, Richard M Nixon, Republican, 67.35
Hutchinson, Richard M Nixon, Republican, 57.82
Hyde, Richard M Nixon, Republican, 59.5
Jackson, Richard M Nixon, Republican, 68.68
Jerauld, Richard M Nixon, Republican, 54.29
Jones, Richard M Nixon, Republican, 64.39
Kingsbury, Richard M Nixon, Republican, 58.62
Lake, Richard M Nixon, Republican, 50.14
Lawrence, Richard M Nixon, Republican, 65.22
Lincoln, Richard M Nixon, Republican, 54.92
Lyman, Richard M Nixon, Republican, 59.98
Marshall, George McGovern, Democrat, 52.3
McCook, George McGovern, Democrat, 50.29
McPherson, Richard M Nixon, Republican, 76.92
Meade, Richard M Nixon, Republican, 67.24
Mellette, Richard M Nixon, Republican, 59.2
Miner, George McGovern, Democrat, 55.59
Minnehaha, Richard M Nixon, Republican, 49.9
Moody, George McGovern, Democrat, 53.32
Pennington, Richard M Nixon, Republican, 61.16
Perkins, Richard M Nixon, Republican, 65.09
Potter, Richard M Nixon, Republican, 61.65
Roberts, George McGovern, Democrat, 57.54
Sanborn, George McGovern, Democrat, 50.07
Shannon, George McGovern, Democrat, 77.34
Spink, Richard M Nixon, Republican, 52.19
Stanley, Richard M Nixon, Republican, 60.95
Sully, Richard M Nixon, Republican, 64.9
Todd, George McGovern, Democrat, 52.64
Tripp, Richard M Nixon, Republican, 62.73
Turner, Richard M Nixon, Republican, 60.02
Union, George McGovern, Democrat, 52.75
Walworth, Richard M Nixon, Republican, 65.1
Washabaugh, Richard M Nixon, Republican, 53.73
Yankton, Richard M Nixon, Republican, 53.08
Ziebach, Richard M Nixon, Republican, 55.86
