Albany, Richard M Nixon, Republican, 58.92
Big Horn, Richard M Nixon, Republican, 75.44
Campbell, Richard M Nixon, Republican, 78.64
Carbon, Richard M Nixon, Republican, 63.69
Converse, Richard M Nixon, Republican, 77.06
Crook, Richard M Nixon, Republican, 83.41
Fremont, Richard M Nixon, Republican, 69.12
Goshen, Richard M Nixon, Republican, 70.27
Hot Springs, Richard M Nixon, Republican, 70.89
Johnson, Richard M Nixon, Republican, 83.13
Laramie, Richard M Nixon, Republican, 65.67
Lincoln, Richard M Nixon, Republican, 67.08
Natrona, Richard M Nixon, Republican, 70.49
Niobrara, Richard M Nixon, Republican, 81
Park, Richard M Nixon, Republican, 74.79
Platte, Richard M Nixon, Republican, 70.35
Sheridan, Richard M Nixon, Republican, 69.03
Sublette, Richard M Nixon, Republican, 81.55
Sweetwater, Richard M Nixon, Republican, 58.05
Teton, Richard M Nixon, Republican, 70.03
Uinta, Richard M Nixon, Republican, 67.03
Washakie, Richard M Nixon, Republican, 75.92
Weston, Richard M Nixon, Republican, 78.47
