Aitkin, Jimmy Carter, Democrat, 61.99
Anoka, Jimmy Carter, Democrat, 61.51
Becker, Jimmy Carter, Democrat, 52.5
Beltrami, Jimmy Carter, Democrat, 56.76
Benton, Jimmy Carter, Democrat, 56.86
Big Stone, Jimmy Carter, Democrat, 64.41
Blue Earth, Jimmy Carter, Democrat, 50.33
Brown, Gerald Ford, Republican, 53.27
Carlton, Jimmy Carter, Democrat, 66.28
Carver, Gerald Ford, Republican, 50.16
Cass, Jimmy Carter, Democrat, 53
Chippewa, Jimmy Carter, Democrat, 57.77
Chisago, Jimmy Carter, Democrat, 60.96
Clay, Jimmy Carter, Democrat, 50.1
Clearwater, Jimmy Carter, Democrat, 60.7
Cook, Gerald Ford, Republican, 48.54
Cottonwood, Gerald Ford, Republican, 49.7
Crow Wing, Jimmy Carter, Democrat, 54.45
Dakota, Jimmy Carter, Democrat, 52.63
Dodge, Gerald Ford, Republican, 52.23
Douglas, Jimmy Carter, Democrat, 53.3
Faribault, Gerald Ford, Republican, 51.48
Fillmore, Gerald Ford, Republican, 54.61
Freeborn, Jimmy Carter, Democrat, 52.56
Goodhue, Gerald Ford, Republican, 51.59
Grant, Jimmy Carter, Democrat, 60.49
Hennepin, Jimmy Carter, Democrat, 53.25
Houston, Gerald Ford, Republican, 54.37
Hubbard, Jimmy Carter, Democrat, 49.25
Isanti, Jimmy Carter, Democrat, 63.85
Itasca, Jimmy Carter, Democrat, 64
Jackson, Jimmy Carter, Democrat, 59.16
Kanabec, Jimmy Carter, Democrat, 60.03
Kandiyohi, Jimmy Carter, Democrat, 58.33
Kittson, Jimmy Carter, Democrat, 55.33
Koochiching, Jimmy Carter, Democrat, 60.52
Lac qui Parle, Jimmy Carter, Democrat, 60.13
Lake, Jimmy Carter, Democrat, 53.1
Lake of the Woods, Jimmy Carter, Democrat, 56.23
Le Sueur, Jimmy Carter, Democrat, 57.6
Lincoln, Jimmy Carter, Democrat, 60.79
Lyon, Jimmy Carter, Democrat, 57.17
Mahnomen, Jimmy Carter, Democrat, 60.85
Marshall, Jimmy Carter, Democrat, 57.7
Martin, Gerald Ford, Republican, 51.92
McLeod, Gerald Ford, Republican, 49.24
Meeker, Jimmy Carter, Democrat, 54.25
Mille Lacs, Jimmy Carter, Democrat, 59.65
Morrison, Jimmy Carter, Democrat, 61.5
Mower, Jimmy Carter, Democrat, 59.74
Murray, Jimmy Carter, Democrat, 57.59
Nicollet, Gerald Ford, Republican, 49.58
Nobles, Jimmy Carter, Democrat, 56.21
Norman, Jimmy Carter, Democrat, 58.78
Olmsted, Gerald Ford, Republican, 60.69
Otter Tail, Gerald Ford, Republican, 49.42
Pennington, Jimmy Carter, Democrat, 54.5
Pine, Jimmy Carter, Democrat, 61.24
Pipestone, Jimmy Carter, Democrat, 51.12
Polk, Jimmy Carter, Democrat, 56.62
Pope, Jimmy Carter, Democrat, 61.14
Ramsey, Jimmy Carter, Democrat, 58.62
Red Lake, Jimmy Carter, Democrat, 67.23
Redwood, Gerald Ford, Republican, 50.15
Renville, Jimmy Carter, Democrat, 54.64
Rice, Jimmy Carter, Democrat, 54.01
Rock, Gerald Ford, Republican, 50.39
Roseau, Jimmy Carter, Democrat, 55.9
Saint Louis, Jimmy Carter, Democrat, 65.78
Scott, Jimmy Carter, Democrat, 56.34
Sherburne, Jimmy Carter, Democrat, 58.36
Sibley, Gerald Ford, Republican, 49.25
Stearns, Jimmy Carter, Democrat, 52.33
Steele, Gerald Ford, Republican, 51.68
Stevens, Jimmy Carter, Democrat, 54.78
Swift, Jimmy Carter, Democrat, 65.48
Todd, Jimmy Carter, Democrat, 58.05
Traverse, Jimmy Carter, Democrat, 62.99
Wabasha, Gerald Ford, Republican, 49.55
Wadena, Jimmy Carter, Democrat, 49.25
Waseca, Gerald Ford, Republican, 52.04
Washington, Jimmy Carter, Democrat, 54.45
Watonwan, Gerald Ford, Republican, 50.3
Wilkin, Jimmy Carter, Democrat, 51.17
Winona, Jimmy Carter, Democrat, 49.92
Wright, Jimmy Carter, Democrat, 57.02
Yellow Medicine, Jimmy Carter, Democrat, 58.12
