Aurora, Jimmy Carter, Democrat, 60.17
Beadle, Jimmy Carter, Democrat, 50.13
Bennett, Gerald Ford, Republican, 54.91
Bon Homme, Jimmy Carter, Democrat, 52.88
Brookings, Gerald Ford, Republican, 52.64
Brown, Jimmy Carter, Democrat, 53.44
Brule, Jimmy Carter, Democrat, 56.33
Buffalo, Jimmy Carter, Democrat, 55.3
Butte, Gerald Ford, Republican, 59.19
Campbell, Gerald Ford, Republican, 64.49
Charles Mix, Jimmy Carter, Democrat, 59.01
Clark, Gerald Ford, Republican, 51.06
Clay, Gerald Ford, Republican, 49.93
Codington, Jimmy Carter, Democrat, 50.8
Corson, Jimmy Carter, Democrat, 53.04
Custer, Gerald Ford, Republican, 57.09
Davison, Jimmy Carter, Democrat, 54.68
Day, Jimmy Carter, Democrat, 61.31
Deuel, Jimmy Carter, Democrat, 55.24
Dewey, Gerald Ford, Republican, 53.46
Douglas, Gerald Ford, Republican, 57.3
Edmunds, Jimmy Carter, Democrat, 55.56
Fall River, Gerald Ford, Republican, 56.6
Faulk, Jimmy Carter, Democrat, 54.88
Grant, Jimmy Carter, Democrat, 53.72
Gregory, Jimmy Carter, Democrat, 52.72
Haakon, Gerald Ford, Republican, 61.89
Hamlin, Gerald Ford, Republican, 50.66
Hand, Gerald Ford, Republican, 50.43
Hanson, Jimmy Carter, Democrat, 58.88
Harding, Gerald Ford, Republican, 49.74
Hughes, Gerald Ford, Republican, 61.15
Hutchinson, Gerald Ford, Republican, 57.52
Hyde, Gerald Ford, Republican, 54.39
Jackson, Gerald Ford, Republican, 61.5
Jerauld, Jimmy Carter, Democrat, 50.63
Jones, Gerald Ford, Republican, 57.87
Kingsbury, Gerald Ford, Republican, 50.98
Lake, Jimmy Carter, Democrat, 53.51
Lawrence, Gerald Ford, Republican, 56.46
Lincoln, Gerald Ford, Republican, 51.04
Lyman, Gerald Ford, Republican, 51.29
Marshall, Jimmy Carter, Democrat, 58
McCook, Jimmy Carter, Democrat, 50.92
McPherson, Gerald Ford, Republican, 70.22
Meade, Gerald Ford, Republican, 54.41
Mellette, Gerald Ford, Republican, 53.53
Miner, Jimmy Carter, Democrat, 60.23
Minnehaha, Gerald Ford, Republican, 51.12
Moody, Jimmy Carter, Democrat, 56.65
Pennington, Gerald Ford, Republican, 56.34
Perkins, Gerald Ford, Republican, 50.08
Potter, Gerald Ford, Republican, 55.36
Roberts, Jimmy Carter, Democrat, 59.96
Sanborn, Jimmy Carter, Democrat, 53.61
Shannon, Jimmy Carter, Democrat, 69.94
Spink, Jimmy Carter, Democrat, 56.64
Stanley, Gerald Ford, Republican, 53.57
Sully, Gerald Ford, Republican, 55.31
Todd, Jimmy Carter, Democrat, 57.6
Tripp, Gerald Ford, Republican, 51.87
Turner, Gerald Ford, Republican, 58.34
Union, Jimmy Carter, Democrat, 52.26
Walworth, Gerald Ford, Republican, 58.66
Washabaugh, Jimmy Carter, Democrat, 52.47
Yankton, Gerald Ford, Republican, 49.82
Ziebach, Jimmy Carter, Democrat, 48.62
