Anderson, Jimmy Carter, Democrat, 56.6
Andrews, Gerald Ford, Republican, 54.03
Angelina, Jimmy Carter, Democrat, 56.98
Aransas, Jimmy Carter, Democrat, 51.09
Archer, Jimmy Carter, Democrat, 61.58
Armstrong, Jimmy Carter, Democrat, 49.95
Atascosa, Jimmy Carter, Democrat, 64.55
Austin, Gerald Ford, Republican, 53.37
Bailey, Jimmy Carter, Democrat, 51.62
Bandera, Gerald Ford, Republican, 56.18
Bastrop, Jimmy Carter, Democrat, 66.46
Baylor, Jimmy Carter, Democrat, 62.68
Bee, Jimmy Carter, Democrat, 54.89
Bell, Jimmy Carter, Democrat, 53.17
Bexar, Jimmy Carter, Democrat, 54
Blanco, Gerald Ford, Republican, 51.89
Borden, Jimmy Carter, Democrat, 60
Bosque, Jimmy Carter, Democrat, 60.5
Bowie, Jimmy Carter, Democrat, 56.02
Brazoria, Jimmy Carter, Democrat, 52.01
Brazos, Gerald Ford, Republican, 58.75
Brewster, Gerald Ford, Republican, 52.13
Briscoe, Jimmy Carter, Democrat, 73.55
Brooks, Jimmy Carter, Democrat, 81.13
Brown, Jimmy Carter, Democrat, 55.25
Burleson, Jimmy Carter, Democrat, 71.65
Burnet, Jimmy Carter, Democrat, 57.53
Caldwell, Jimmy Carter, Democrat, 61.59
Calhoun, Jimmy Carter, Democrat, 60.09
Callahan, Jimmy Carter, Democrat, 58
Cameron, Jimmy Carter, Democrat, 60.1
Camp, Jimmy Carter, Democrat, 65.33
Carson, Jimmy Carter, Democrat, 54.6
Cass, Jimmy Carter, Democrat, 57.85
Castro, Jimmy Carter, Democrat, 66.09
Chambers, Jimmy Carter, Democrat, 60.33
Cherokee, Jimmy Carter, Democrat, 62.2
Childress, Jimmy Carter, Democrat, 60.09
Clay, Jimmy Carter, Democrat, 67.88
Cochran, Jimmy Carter, Democrat, 59.29
Coke, Jimmy Carter, Democrat, 61.29
Coleman, Jimmy Carter, Democrat, 57.24
Collin, Gerald Ford, Republican, 60.02
Collingsworth, Jimmy Carter, Democrat, 64.8
Colorado, Jimmy Carter, Democrat, 49.84
Comal, Gerald Ford, Republican, 60.42
Comanche, Jimmy Carter, Democrat, 72.16
Concho, Jimmy Carter, Democrat, 59.83
Cooke, Gerald Ford, Republican, 51.5
Coryell, Jimmy Carter, Democrat, 52.75
Cottle, Jimmy Carter, Democrat, 76.93
Crane, Gerald Ford, Republican, 57.32
Crockett, Jimmy Carter, Democrat, 50
Crosby, Jimmy Carter, Democrat, 70.38
Culberson, Jimmy Carter, Democrat, 51.72
Dallam, Jimmy Carter, Democrat, 51.27
Dallas, Gerald Ford, Republican, 56.65
Dawson, Gerald Ford, Republican, 53.17
Deaf Smith, Gerald Ford, Republican, 51.08
Delta, Jimmy Carter, Democrat, 78.5
Denton, Gerald Ford, Republican, 51.5
DeWitt, Gerald Ford, Republican, 51.7
Dickens, Jimmy Carter, Democrat, 77.78
Dimmit, Jimmy Carter, Democrat, 65.59
Donley, Jimmy Carter, Democrat, 60.7
Duval, Jimmy Carter, Democrat, 86.36
Eastland, Jimmy Carter, Democrat, 64.53
Ector, Gerald Ford, Republican, 62.56
Edwards, Gerald Ford, Republican, 61.31
Ellis, Jimmy Carter, Democrat, 58.58
El Paso, Jimmy Carter, Democrat, 50.83
Erath, Jimmy Carter, Democrat, 61.89
Falls, Jimmy Carter, Democrat, 65.13
Fannin, Jimmy Carter, Democrat, 73.2
Fayette, Jimmy Carter, Democrat, 52.8
Fisher, Jimmy Carter, Democrat, 77.37
Floyd, Jimmy Carter, Democrat, 58.32
Foard, Jimmy Carter, Democrat, 74.32
Fort Bend, Gerald Ford, Republican, 60.28
Franklin, Jimmy Carter, Democrat, 68.05
Freestone, Jimmy Carter, Democrat, 61.43
Frio, Jimmy Carter, Democrat, 66.48
Gaines, Jimmy Carter, Democrat, 53.05
Galveston, Jimmy Carter, Democrat, 59.42
Garza, Jimmy Carter, Democrat, 55.48
Gillespie, Gerald Ford, Republican, 72.49
Glasscock, Gerald Ford, Republican, 52.78
Goliad, Jimmy Carter, Democrat, 50.55
Gonzales, Jimmy Carter, Democrat, 64.05
Gray, Gerald Ford, Republican, 60.33
Grayson, Jimmy Carter, Democrat, 58.48
Gregg, Gerald Ford, Republican, 63.68
Grimes, Jimmy Carter, Democrat, 64.03
Guadalupe, Gerald Ford, Republican, 52.31
Hale, Jimmy Carter, Democrat, 50.7
Hall, Jimmy Carter, Democrat, 70.57
Hamilton, Jimmy Carter, Democrat, 62.12
Hansford, Gerald Ford, Republican, 58.23
Hardeman, Jimmy Carter, Democrat, 63.06
Hardin, Jimmy Carter, Democrat, 61.36
Harris, Gerald Ford, Republican, 52.17
Harrison, Jimmy Carter, Democrat, 49.85
Hartley, Gerald Ford, Republican, 50.78
Haskell, Jimmy Carter, Democrat, 74.78
