Albany, Gerald Ford, Republican, 57.94
Big Horn, Gerald Ford, Republican, 65.66
Campbell, Gerald Ford, Republican, 66.19
Carbon, Gerald Ford, Republican, 54.01
Converse, Gerald Ford, Republican, 65.37
Crook, Gerald Ford, Republican, 67.23
Fremont, Gerald Ford, Republican, 59.51
Goshen, Gerald Ford, Republican, 54.86
Hot Springs, Gerald Ford, Republican, 59.39
Johnson, Gerald Ford, Republican, 71.25
Laramie, Gerald Ford, Republican, 53.48
Lincoln, Gerald Ford, Republican, 60.93
Natrona, Gerald Ford, Republican, 60.83
Niobrara, Gerald Ford, Republican, 70.55
Park, Gerald Ford, Republican, 68.33
Platte, Gerald Ford, Republican, 53.45
Sheridan, Gerald Ford, Republican, 62.21
Sublette, Gerald Ford, Republican, 70.32
Sweetwater, Jimmy Carter, Democrat, 52.72
Teton, Gerald Ford, Republican, 67.4
Uinta, Gerald Ford, Republican, 55.73
Washakie, Gerald Ford, Republican, 66.68
Weston, Gerald Ford, Republican, 65.2
