Apache, Ronald Reagan, Republican, 56.55
Cochise, Ronald Reagan, Republican, 59.48
Coconino, Ronald Reagan, Republican, 55.78
Gila, Ronald Reagan, Republican, 55.27
Graham, Ronald Reagan, Republican, 59.85
Greenlee, Jimmy Carter, Democrat, 54.02
Maricopa, Ronald Reagan, Republican, 64.97
Mohave, Ronald Reagan, Republican, 68.86
Navajo, Ronald Reagan, Republican, 63.91
Pima, Ronald Reagan, Republican, 49.75
Pinal, Ronald Reagan, Republican, 52.43
Santa Cruz, Ronald Reagan, Republican, 50.07
Yavapai, Ronald Reagan, Republican, 68.37
Yuma, Ronald Reagan, Republican, 63.34
