Barnstable, Ronald Reagan, Republican, 56.1
Berkshire, Ronald Reagan, Republican, 53.5
Bristol, Walter Mondale, Democrat, 49.3
Dukes, Walter Mondale, Democrat, 53.6
Essex, Ronald Reagan, Republican, 54
Franklin, Ronald Reagan, Republican, 49.99
Hampden, Ronald Reagan, Republican, 50.4
Hampshire, Walter Mondale, Democrat, 55.1
Middlesex, Walter Mondale, Democrat, 49.6
Nantucket, Ronald Reagan, Republican, 53.1
Norfolk, Ronald Reagan, Republican, 52.8
Plymouth, Ronald Reagan, Republican, 59.4
Suffolk, Ronald Reagan, Republican, 61.2
Worcester, Ronald Reagan, Republican, 55.4
